step,season,popn,popi,popp,tokix,tokiy,tokpx,tokpy,bn,wn,bi,wi,bp,wp,score
1000,a,185,149,151,48,0,50,0,86,93,65,97,71,74,222
2000,a,259,232,246,65,0,76,0,76,104,64,77,71,63,433
3000,a,291,282,308,76,0,101,0,60,77,58,70,88,67,639
4000,a,278,313,337,89,0,115,0,48,78,69,58,78,56,834
5000,a,304,327,400,92,0,111,0,53,51,73,27,87,70,1047
6000,a,308,343,413,82,0,107,0,48,69,61,37,77,42,1233
7000,a,326,349,423,82,0,109,0,55,64,60,67,70,37,1418
8000,a,314,353,401,98,0,113,0,39,53,75,58,73,79,1605
9000,b,318,356,399,59,36,25,49,50,59,48,81,76,135,1779
10000,b,328,346,375,38,54,19,68,45,54,55,97,66,90,1945
11000,b,312,381,371,25,78,11,70,52,61,68,46,49,77,2114
12000,b,313,392,375,17,95,7,88,45,52,78,72,62,64,2299
13000,b,281,379,384,13,98,5,102,55,63,63,43,75,70,2492
14000,b,262,397,361,9,101,3,105,47,58,80,66,62,43,2681
15000,b,287,382,379,3,113,2,112,45,52,75,84,78,43,2879
16000,b,279,388,390,3,114,2,119,48,63,77,39,69,57,3073
17000,a,297,343,376,23,79,33,26,35,57,31,122,50,129,3189
18000,a,297,334,375,56,48,63,18,39,67,53,93,64,74,3345
19000,a,309,337,366,76,26,71,11,44,63,56,63,61,84,3506
20000,a,314,344,377,81,16,92,5,45,59,58,57,78,70,3687
21000,a,310,359,357,88,11,88,3,56,58,71,54,67,59,3881
22000,a,325,373,370,99,8,105,3,44,62,69,55,78,51,4072
23000,a,327,368,351,105,7,112,2,58,61,61,70,75,64,4266
24000,a,314,354,405,99,5,110,0,49,53,58,52,80,53,4453
25000,b,311,355,378,66,32,23,49,49,57,40,100,62,139,4604
26000,b,318,352,387,45,54,16,71,47,58,52,117,64,78,4767
27000,b,315,356,394,28,71,5,99,37,49,58,92,82,64,4944
28000,b,326,338,382,16,80,2,100,51,62,56,66,59,58,5110
29000,b,312,335,403,7,98,1,94,39,51,66,56,80,53,5295
30000,b,309,354,393,3,99,1,88,48,62,71,45,67,64,5481
31000,b,316,346,410,3,95,1,95,47,51,73,66,78,41,5679
32000,b,293,356,413,2,100,1,87,42,49,65,58,69,78,5855
33000,a,321,333,392,34,69,33,19,46,50,41,150,43,134,5985
34000,a,317,326,395,55,38,61,8,50,52,58,80,56,74,6149
35000,a,321,346,368,72,24,87,5,46,63,59,90,67,62,6321
36000,a,327,353,364,80,12,94,5,51,72,58,54,78,57,6508
37000,a,314,377,359,84,7,108,4,45,68,69,59,72,77,6694
38000,a,324,359,391,87,4,118,2,52,34,71,45,83,42,6900
39000,a,297,376,392,104,2,106,2,48,56,76,60,63,64,7087
40000,a,287,378,389,94,2,105,2,49,82,72,47,60,43,7268
41000,b,282,377,364,54,39,33,27,35,43,53,178,35,123,7391
42000,b,299,376,378,30,66,19,62,58,53,65,82,66,74,7580
43000,b,287,356,371,24,83,9,71,48,76,61,81,57,62,7746
44000,b,284,370,364,13,89,5,79,48,76,84,54,60,37,7938
45000,b,292,367,347,6,92,3,86,56,62,73,55,66,59,8133
46000,b,282,387,389,2,98,1,98,44,61,75,73,70,48,8322
47000,b,286,369,392,2,99,1,109,48,61,62,60,85,57,8517
48000,b,281,384,392,1,104,1,103,42,49,72,72,80,46,8711
49000,a,279,364,382,39,64,37,17,43,42,49,92,46,149,8849
50000,a,302,351,379,69,36,75,10,50,43,61,84,75,70,9035
51000,a,308,352,386,78,17,94,6,41,57,64,66,76,67,9216
52000,a,297,352,373,93,11,107,3,45,78,70,47,67,66,9398
53000,a,309,359,386,100,8,107,1,50,66,61,72,73,62,9582
54000,a,314,360,365,108,5,107,0,47,54,72,52,72,45,9773
55000,a,312,382,382,108,4,118,0,40,55,76,58,76,49,9965
56000,a,296,363,385,99,1,107,0,42,52,63,62,75,49,10145
57000,b,291,363,395,60,42,21,44,37,45,52,117,62,127,10296
58000,b,300,357,398,38,65,12,69,35,48,64,114,64,67,10459
59000,b,301,363,388,21,66,8,85,46,49,53,87,70,75,10628
60000,b,313,334,390,16,76,7,100,46,66,58,38,95,78,10827
61000,b,319,331,395,8,80,3,99,50,65,53,68,82,52,11012
62000,b,321,364,402,4,87,1,104,46,63,66,50,76,47,11200
63000,b,309,365,423,0,94,1,119,43,67,68,44,86,67,11397
64000,b,308,354,398,0,97,0,119,43,61,65,57,71,56,11576
65000,a,313,348,404,43,62,35,26,39,66,51,137,50,141,11716
66000,a,305,337,401,50,38,66,11,49,83,50,80,74,69,11889
67000,a,307,325,381,65,28,81,3,45,67,54,92,64,79,12052
68000,a,315,340,400,81,11,89,3,50,46,65,78,67,51,12234
69000,a,321,357,377,83,7,106,3,59,55,58,52,70,63,12421
70000,a,311,354,406,84,5,114,1,49,54,51,60,99,44,12620
71000,a,322,348,381,93,2,106,0,55,67,72,60,54,61,12801
72000,a,318,364,384,93,2,99,0,50,50,73,68,75,39,12999
73000,b,311,337,372,63,25,25,32,48,62,36,125,48,158,13131
74000,b,335,344,364,40,67,9,62,59,76,71,67,60,72,13321
75000,b,339,354,361,22,86,1,82,53,80,60,71,63,56,13497
76000,b,346,368,376,12,89,1,84,48,57,79,77,55,37,13679
77000,b,328,358,364,11,87,0,87,36,63,70,69,60,70,13845
78000,b,299,341,382,5,93,0,94,50,63,63,53,77,59,14035
79000,b,311,351,396,2,98,0,98,51,60,70,62,70,68,14226
80000,b,311,343,391,2,98,0,107,53,58,68,46,68,69,14415
81000,a,310,337,399,45,64,45,29,41,46,50,131,56,128,14562
82000,a,324,331,404,67,47,74,14,48,46,62,99,75,68,14747
83000,a,330,329,401,83,31,96,8,46,67,57,57,88,73,14938
84000,a,326,352,385,85,18,94,4,41,47,63,48,68,58,15110
85000,a,338,375,385,86,6,94,3,58,52,59,60,70,57,15297
86000,a,349,344,385,87,4,90,1,54,57,66,54,66,44,15483
87000,a,338,360,366,90,3,75,1,63,69,51,61,55,63,15652
88000,a,354,338,362,90,1,86,0,56,70,60,76,65,63,15833
89000,b,359,337,361,56,39,20,41,58,69,52,100,58,116,16001
90000,b,347,351,373,32,61,14,58,60,67,58,75,61,68,16180
91000,b,345,370,350,20,71,10,76,49,69,60,88,62,54,16351
92000,b,336,371,354,12,76,3,88,48,42,63,44,71,57,16533
93000,b,341,370,373,7,90,1,97,45,75,67,38,83,53,16728
94000,b,361,382,358,3,104,1,99,57,56,79,57,56,54,16920
95000,b,351,400,370,3,98,0,96,52,60,65,45,77,54,17114
96000,b,343,397,368,2,103,0,105,50,55,70,55,73,43,17307
97000,a,349,364,365,35,63,41,24,52,76,43,128,51,127,17453
98000,a,306,346,359,62,44,67,10,41,66,68,93,73,54,17635
99000,a,286,356,394,77,21,84,7,50,61,65,60,68,64,17818
100000,a,292,361,391,91,11,96,5,47,67,72,54,70,73,18007
101000,a,289,360,393,85,5,114,3,48,48,65,58,85,70,18205
102000,a,296,367,398,86,4,106,1,44,47,69,51,76,52,18394
103000,a,327,349,423,93,4,103,1,49,64,65,46,77,63,18585
104000,a,304,348,405,98,4,106,1,37,31,74,53,79,53,18775
105000,b,317,346,390,61,38,25,50,28,56,52,95,59,126,18914
106000,b,328,341,409,37,62,12,73,49,61,57,98,78,66,19098
107000,b,327,336,386,26,59,11,85,50,49,48,65,70,69,19266
108000,b,340,345,388,17,69,4,90,61,67,67,58,72,36,19466
109000,b,335,356,403,10,91,2,111,45,57,67,77,73,57,19651
110000,b,323,347,415,4,95,2,105,49,62,66,46,80,44,19846
111000,b,308,337,405,3,100,0,110,48,50,66,81,68,68,20028
112000,b,310,342,385,2,92,0,120,51,50,64,47,67,81,20210
113000,a,307,344,387,41,62,42,33,50,57,51,108,55,147,20366
114000,a,349,328,378,63,43,64,21,56,53,65,82,62,55,20549
115000,a,334,334,396,78,32,87,11,59,55,61,83,65,59,20734
116000,a,301,342,396,80,19,96,5,38,51,56,64,78,62,20906
117000,a,294,328,386,78,9,98,3,50,66,59,60,66,64,21081
118000,a,310,352,379,93,7,107,2,42,56,76,72,74,63,21273
119000,a,315,366,385,94,3,103,2,44,42,76,59,77,56,21470
120000,a,307,368,371,95,1,105,1,48,69,74,52,63,57,21655
121000,b,289,341,355,63,40,17,36,38,50,50,138,47,138,21790
122000,b,311,320,382,43,53,12,71,52,78,44,92,71,80,21957
123000,b,333,326,400,28,71,7,98,46,59,61,91,81,39,22145
124000,b,314,338,390,21,88,4,102,46,58,69,60,72,39,22332
