step,season,popn,popi,popp,tokix,tokiy,tokpx,tokpy,bn,wn,bi,wi,bp,wp,score
1000,a,140,179,171,58,0,50,0,57,90,76,87,78,88,211
2000,a,214,256,267,79,0,95,0,64,94,66,71,80,91,421
3000,a,272,298,346,85,0,114,0,63,83,59,60,89,65,632
4000,a,300,315,401,86,0,138,0,54,50,69,61,99,54,854
5000,b,319,295,388,60,26,28,36,51,51,38,107,51,166,994
6000,b,339,285,386,39,56,21,77,58,70,58,97,68,73,1178
7000,b,363,288,389,24,61,13,85,57,68,54,81,57,60,1346
8000,b,346,285,382,17,66,10,86,70,69,47,60,65,60,1528
9000,a,348,279,392,49,44,50,15,54,66,48,73,61,126,1691
10000,a,328,321,384,59,26,70,10,43,75,54,70,76,55,1864
11000,a,342,345,379,77,15,73,6,63,70,76,67,55,66,2058
12000,a,340,349,374,84,10,78,2,43,62,62,57,68,62,2231
13000,b,315,325,359,59,44,14,44,50,64,48,108,57,128,2386
14000,b,321,320,363,44,70,7,67,60,86,53,77,67,65,2566
15000,b,316,349,371,32,82,5,80,53,55,61,76,75,59,2755
16000,b,302,373,371,15,95,3,108,40,80,62,55,93,57,2950
17000,a,329,344,367,45,48,44,28,50,73,50,99,58,121,3108
18000,a,345,298,356,65,32,62,20,60,88,54,69,58,56,3280
19000,a,362,314,340,73,21,89,11,60,81,63,46,77,61,3480
20000,a,371,307,351,83,11,85,5,62,83,59,48,59,39,3660
21000,b,351,296,375,52,37,12,41,52,83,34,76,57,134,3803
22000,b,336,300,378,30,49,7,72,59,98,51,79,70,53,3983
23000,b,331,296,384,18,59,4,87,56,94,43,57,84,56,4166
24000,b,341,296,402,9,62,2,90,57,67,57,39,75,70,4355
25000,a,337,300,413,38,43,39,8,49,72,41,88,62,134,4507
26000,a,334,296,410,66,26,76,4,50,59,53,93,77,66,4687
27000,a,298,317,385,69,18,86,4,43,75,49,56,68,74,4847
28000,a,290,347,393,86,12,92,1,42,56,74,61,72,54,5035
29000,b,284,313,400,54,44,18,42,36,65,50,123,59,123,5180
30000,b,296,318,391,31,66,8,71,37,82,51,71,69,86,5337
31000,b,314,327,374,16,83,3,77,55,77,52,56,66,71,5510
32000,b,302,360,378,11,95,1,87,42,55,82,61,69,57,5703
33000,a,321,349,374,40,53,49,24,48,68,45,99,64,124,5860
34000,a,340,361,372,66,32,80,11,60,69,61,64,70,59,6051
35000,a,321,344,396,78,17,108,6,49,61,64,50,86,72,6250
36000,a,313,343,403,94,10,114,0,52,63,58,63,80,64,6440
37000,b,336,335,368,71,44,20,39,58,61,48,114,51,128,6597
38000,b,327,337,358,42,63,13,60,52,68,55,84,66,57,6770
39000,b,337,344,357,26,74,6,73,51,56,71,68,67,68,6959
40000,b,344,356,360,18,90,3,85,51,59,63,77,67,54,7140
41000,a,339,355,342,52,55,40,17,38,68,63,95,48,109,7289
42000,a,370,347,340,69,34,55,13,68,71,57,93,56,45,7470
43000,a,343,377,330,91,21,71,7,42,67,72,67,63,77,7647
44000,a,339,366,343,98,10,77,4,48,74,59,64,61,63,7815
45000,b,319,359,333,56,45,17,38,46,75,61,67,58,113,7980
46000,b,300,367,336,36,72,8,65,47,63,71,97,55,55,8153
47000,b,292,391,331,22,84,4,92,46,60,78,86,74,41,8351
48000,b,305,403,333,13,97,3,93,57,44,73,58,65,50,8546
49000,a,313,367,329,45,64,32,19,41,80,58,119,44,117,8689
50000,a,307,352,340,55,39,62,9,57,71,51,104,58,58,8855
51000,a,295,373,363,71,27,80,5,52,73,57,58,76,67,9040
52000,a,320,364,370,85,19,82,3,57,57,68,51,68,59,9233
53000,b,341,346,365,58,52,11,36,51,56,56,100,48,119,9388
54000,b,355,341,369,32,66,8,64,65,70,55,79,69,56,9577
55000,b,348,339,378,17,68,4,86,49,75,47,64,70,67,9743
56000,b,332,349,368,10,83,2,98,46,63,67,64,82,51,9938
57000,a,337,339,362,36,57,40,19,53,64,42,121,51,151,10084
58000,a,337,351,363,64,39,69,8,47,48,63,105,76,66,10270
59000,a,344,336,358,79,20,84,5,57,89,69,60,69,49,10465
60000,a,339,335,371,85,8,98,2,57,60,60,60,73,48,10655
61000,b,338,336,349,52,32,18,50,50,45,36,84,64,140,10805
62000,b,344,343,367,31,70,11,81,53,51,65,85,67,64,10990
63000,b,322,350,373,18,78,6,97,47,50,59,67,80,48,11176
64000,b,330,332,378,10,83,4,107,57,63,57,52,75,60,11365
65000,a,326,332,377,32,53,49,26,44,47,42,96,65,123,11516
66000,a,344,314,369,47,28,79,13,55,61,46,67,74,90,11691
67000,a,333,323,381,72,16,115,7,47,61,62,82,86,58,11886
68000,a,316,323,373,88,9,103,5,45,68,60,55,68,51,12059
69000,b,307,325,379,54,41,29,61,35,54,52,94,74,135,12220
70000,b,312,329,362,29,66,16,83,49,73,61,76,70,65,12400
71000,b,302,341,373,17,84,11,100,51,56,71,72,69,69,12591
72000,b,302,349,374,9,87,6,99,36,57,65,88,64,62,12756
73000,a,303,368,359,42,55,38,23,48,76,46,126,44,129,12894
74000,a,289,372,367,72,36,69,12,38,61,69,75,59,64,13060
75000,a,306,356,372,79,27,84,8,64,58,52,67,72,53,13248
76000,a,322,372,365,87,18,95,5,46,41,63,63,76,58,13433
77000,b,323,364,361,59,37,16,41,50,50,43,103,53,141,13579
78000,b,321,334,369,41,59,9,66,53,65,61,85,68,70,13761
79000,b,339,334,372,25,82,6,83,54,58,78,75,62,41,13955
80000,b,322,350,387,15,95,4,89,42,55,76,75,62,50,14135
81000,a,318,338,373,38,63,43,17,51,68,35,133,51,109,14272
82000,a,326,340,372,63,39,75,11,48,63,62,84,71,59,14453
83000,a,315,350,389,73,25,92,9,49,56,53,78,84,61,14639
