step,season,popn,popi,popp,tokix,tokiy,tokpx,tokpy,bn,wn,bi,wi,bp,wp,score
1000,a,187,185,210,64,0,69,0,76,79,86,48,96,74,258
2000,a,267,287,305,92,0,99,0,62,53,91,64,79,73,490
3000,a,307,332,347,111,0,99,0,73,75,84,57,71,40,718
4000,a,334,377,349,108,0,105,0,64,67,79,40,74,59,935
5000,b,371,386,360,74,41,24,38,57,37,53,171,47,118,1092
6000,b,376,393,365,51,69,19,54,57,57,64,179,41,53,1254
7000,b,384,402,369,30,85,12,64,58,55,65,126,48,54,1425
8000,b,365,403,393,19,100,9,94,53,59,71,75,84,67,1633
9000,a,359,411,384,54,62,45,19,59,41,60,106,56,119,1808
10000,a,364,413,384,76,44,67,9,42,52,72,153,60,55,1982
11000,a,348,443,385,90,25,74,5,46,64,73,107,54,69,2155
12000,a,348,453,368,98,16,87,2,51,46,79,100,67,48,2352
13000,b,318,427,389,70,54,22,46,35,42,56,160,61,122,2504
14000,b,309,421,400,48,80,13,66,46,36,70,212,62,51,2682
15000,b,319,396,403,33,86,8,77,47,51,60,119,67,51,2856
16000,b,326,393,396,19,91,5,86,49,50,77,118,62,59,3044
17000,a,336,390,402,52,68,52,19,50,45,61,129,64,123,3219
18000,a,327,384,404,74,43,81,11,46,36,64,151,77,54,3406
19000,a,321,391,393,89,26,96,8,49,43,60,132,70,52,3585
20000,a,319,394,412,107,16,110,3,47,35,88,84,79,69,3799
21000,b,315,393,430,72,51,28,40,51,42,58,133,54,134,3962
22000,b,324,404,427,52,73,14,68,47,36,58,201,57,49,4124
23000,b,310,406,431,30,83,9,86,39,46,70,120,71,37,4304
24000,b,319,406,410,22,96,7,94,47,46,64,103,78,39,4493
25000,a,321,417,408,53,64,56,15,42,44,59,100,71,124,4665
26000,a,305,416,411,89,36,66,11,41,31,79,145,60,55,4845
27000,a,299,429,428,99,27,71,6,46,46,71,81,66,56,5028
28000,a,292,427,423,104,20,81,2,50,45,75,115,65,30,5218
29000,b,338,443,408,71,43,13,43,43,50,54,164,50,117,5365
30000,b,331,443,390,54,84,11,73,34,44,74,195,59,42,5532
31000,b,328,433,370,34,100,7,92,47,40,77,146,74,56,5730
32000,b,324,422,380,18,124,4,90,45,35,85,111,74,42,5934
33000,a,315,423,383,60,89,45,22,44,32,62,172,53,103,6093
34000,a,316,422,377,79,55,58,14,41,49,75,180,52,50,6261
35000,a,342,413,391,84,31,69,9,54,59,66,132,59,56,6440
36000,a,347,409,386,97,22,87,6,50,48,75,117,69,58,6634
37000,b,357,379,414,63,59,18,47,55,44,57,144,58,119,6804
38000,b,357,389,401,40,90,9,62,46,53,70,137,67,40,6987
39000,b,351,409,414,29,98,7,89,48,55,77,108,66,58,7178
40000,b,342,401,400,20,98,1,99,56,42,66,92,61,48,7361
41000,a,327,422,392,65,68,50,25,35,36,69,127,61,107,7526
42000,a,312,431,418,75,42,79,19,26,47,50,178,81,57,7683
43000,a,318,402,415,91,28,89,14,52,41,66,154,55,23,7856
44000,a,322,399,399,101,17,93,14,57,41,65,116,63,62,8041
45000,b,321,386,396,63,43,20,47,41,46,52,141,52,107,8186
46000,b,336,369,401,42,63,11,69,50,32,55,141,63,57,8354
47000,b,348,374,404,30,86,6,87,57,49,69,112,63,46,8543
48000,b,342,399,395,14,90,4,82,50,44,78,97,58,45,8729
49000,a,334,374,412,40,62,54,23,45,64,45,179,66,88,8885
50000,a,332,369,401,69,38,85,22,48,51,60,166,72,48,9065
51000,a,323,392,377,91,27,81,18,50,46,65,135,62,45,9242
52000,a,323,407,368,109,13,90,15,50,70,83,98,61,53,9436
53000,b,340,406,378,77,42,20,53,55,52,53,175,59,109,9603
54000,b,338,416,396,45,76,15,71,56,59,75,123,62,43,9796
55000,b,324,415,382,31,88,12,85,44,39,58,170,64,48,9962
56000,b,327,423,389,22,95,7,100,46,44,65,125,76,49,10149
57000,a,325,435,384,62,68,45,22,46,36,66,145,50,115,10311
58000,a,332,427,374,95,47,74,12,53,39,67,170,55,65,10486
