step,season,popn,popi,popp,tokix,tokiy,tokpx,tokpy,bn,wn,bi,wi,bp,wp,score
1000,a,172,203,148,73,0,46,0,75,89,97,96,66,80,238
2000,a,232,307,226,107,0,73,0,71,71,92,50,80,67,481
3000,a,299,349,271,106,0,81,0,56,67,88,74,59,72,684
4000,a,324,345,300,105,0,92,0,48,54,83,70,83,43,898
5000,b,343,345,299,70,34,15,41,60,66,40,88,51,117,1049
6000,b,342,335,325,48,66,14,72,53,78,65,103,68,53,1235
7000,b,345,336,356,28,70,7,76,53,85,54,47,69,61,1411
8000,b,340,342,372,22,69,4,95,45,72,53,64,71,58,1580
9000,a,344,326,349,53,47,41,20,52,57,51,93,57,122,1740
10000,a,357,346,363,72,30,65,13,75,62,65,85,64,65,1944
11000,a,386,343,348,66,16,74,9,57,67,48,59,66,57,2115
12000,a,393,363,330,77,11,81,5,48,60,67,73,65,41,2295
13000,b,377,368,340,53,45,18,37,55,87,53,66,51,98,2454
14000,b,367,367,354,33,68,13,64,66,87,59,74,59,53,2638
15000,b,336,366,388,23,80,8,70,59,79,56,65,64,51,2817
16000,b,339,370,386,13,95,6,75,59,64,72,62,64,27,3012
17000,a,324,340,376,44,60,41,15,48,71,52,102,53,107,3165
18000,a,327,357,371,73,37,69,10,55,56,71,98,63,61,3354
19000,a,319,361,349,81,22,85,7,54,59,65,86,70,68,3543
20000,a,313,361,340,88,11,87,5,44,57,61,63,61,74,3709
21000,b,306,334,367,55,39,23,56,46,44,43,130,74,130,3872
22000,b,314,343,379,28,62,14,84,56,73,61,61,69,74,4058
23000,b,310,354,374,16,78,4,99,56,57,62,53,72,57,4248
24000,b,315,365,385,9,75,2,101,56,67,61,50,84,42,4449
25000,a,302,352,383,39,46,50,23,36,49,41,100,65,141,4591
26000,a,289,344,386,57,24,77,8,47,73,53,73,67,70,4758
27000,a,306,362,388,63,18,94,4,45,65,58,77,67,67,4928
28000,a,315,364,384,79,13,90,3,51,52,68,51,68,61,5115
29000,b,314,360,410,46,51,12,55,40,49,52,79,74,139,5281
30000,b,297,336,395,29,73,8,70,39,58,62,126,67,56,5449
31000,b,301,332,400,16,69,7,92,51,61,43,77,85,47,5628
32000,b,312,329,376,11,73,6,78,45,44,54,90,54,66,5781
33000,a,300,353,385,55,47,56,13,51,48,63,89,68,109,5963
34000,a,302,354,366,79,31,74,8,45,56,66,63,71,76,6145
35000,a,304,360,363,82,21,84,5,49,65,63,62,66,52,6323
36000,a,302,379,369,92,13,87,1,57,71,70,70,70,55,6520
37000,b,284,368,371,49,44,19,43,37,63,49,112,59,116,6665
38000,b,304,376,358,35,63,14,63,42,43,67,97,66,60,6840
39000,b,299,357,378,21,87,7,91,41,57,77,82,68,63,7026
40000,b,300,337,383,15,89,3,87,47,49,65,50,71,74,7209
41000,a,305,305,374,43,61,41,20,42,62,40,135,51,141,7342
42000,a,288,338,349,83,40,66,9,43,64,78,105,67,66,7530
43000,a,307,336,333,91,21,80,3,53,69,67,86,67,61,7717
44000,a,300,356,368,106,17,83,2,53,67,67,60,72,64,7909
45000,b,300,337,378,74,48,11,44,42,54,52,101,56,127,8059
46000,b,329,331,396,41,60,8,74,46,49,51,84,72,72,8228
47000,b,306,329,413,24,66,1,103,37,40,50,66,91,62,8406
48000,b,318,333,410,12,75,0,115,47,63,63,75,72,60,8588
49000,a,301,349,409,49,49,42,27,39,47,65,97,59,163,8751
50000,a,302,354,388,71,29,64,19,47,79,58,42,75,71,8931
51000,a,290,354,394,73,17,86,12,56,58,53,63,78,48,9118
52000,a,293,389,366,95,10,96,8,39,73,81,55,63,50,9301
53000,b,305,371,379,65,51,22,53,40,55,56,89,61,140,9458
54000,b,310,368,371,42,63,12,73,49,61,63,96,60,51,9630
55000,b,317,361,356,24,75,9,91,42,51,63,70,69,73,9804
56000,b,324,362,358,15,84,7,90,59,62,68,60,65,66,9996
57000,a,320,348,357,41,60,33,24,55,73,49,106,42,118,10142
58000,a,314,355,358,64,43,69,17,46,76,56,106,63,68,10307
59000,a,330,367,376,86,29,87,11,45,57,66,61,65,56,10483
60000,a,310,372,346,91,25,86,9,45,64,82,70,60,52,10670
61000,b,313,334,342,65,51,21,39,50,62,47,132,50,124,10817
62000,b,318,341,339,38,75,11,58,53,69,70,103,47,56,10987
63000,b,309,362,356,23,91,6,77,52,62,68,77,61,56,11168
64000,b,319,351,379,19,96,3,92,51,64,62,69,77,63,11358
