step,season,popn,popi,popp,tokix,tokiy,tokpx,tokpy,bn,wn,bi,wi,bp,wp,score
93000,b,344,424,339,48,88,11,74,70,69,72,147,36,46,18812
94000,b,342,405,343,33,92,8,79,49,33,68,117,58,46,18987
95000,b,337,402,362,19,115,2,86,52,52,66,102,62,46,19167
96000,b,318,392,377,11,108,2,99,44,42,69,75,71,62,19351
97000,b,322,391,370,7,108,2,99,47,44,82,89,65,42,19545
98000,b,336,393,377,5,112,2,100,51,54,79,43,79,53,19754
99000,b,342,385,405,2,95,2,122,60,42,62,24,78,57,19954
100000,b,348,395,401,2,100,1,118,63,70,76,36,82,33,20175
101000,b,344,389,388,1,106,1,108,46,50,69,68,64,49,20354
102000,b,371,394,378,1,107,1,102,62,70,75,46,58,46,20549
103000,b,383,387,372,1,105,1,104,76,56,71,33,74,34,20770
104000,b,372,389,385,1,97,0,100,50,54,75,29,71,50,20966
105000,b,356,386,393,0,102,0,94,51,41,64,59,67,48,21148
106000,b,361,400,390,0,115,0,106,63,61,70,58,72,42,21353
107000,b,346,389,394,0,103,0,103,61,68,67,43,74,51,21555
108000,b,361,405,394,0,104,0,90,63,69,76,30,62,44,21756
109000,b,344,389,416,0,113,0,106,47,38,93,41,80,50,21976
110000,b,330,388,424,0,100,0,108,46,51,76,60,78,39,22176
111000,b,322,408,435,0,94,0,116,46,58,61,36,97,65,22380
112000,b,331,385,445,0,93,0,126,47,33,69,39,87,56,22583
113000,b,317,388,410,0,104,0,115,52,51,76,45,82,49,22793
114000,b,320,383,425,0,105,0,123,49,52,73,43,87,52,23002
115000,b,338,388,395,0,94,0,126,55,54,64,48,76,68,23197
116000,b,339,379,402,0,103,0,117,56,58,76,50,76,55,23405
117000,b,348,391,418,0,107,0,122,59,78,73,35,87,50,23624
118000,b,334,377,422,0,105,0,117,63,59,64,54,72,53,23823
119000,b,331,386,422,0,106,0,127,50,62,71,42,82,48,24026
120000,b,333,383,413,0,100,0,111,49,49,57,39,88,53,24220
121000,b,311,387,399,0,109,0,122,47,53,80,48,76,58,24423
122000,b,331,394,409,0,114,0,125,51,32,75,48,88,49,24637
123000,b,315,383,408,0,103,0,120,39,37,65,67,77,39,24818
124000,b,320,385,426,0,96,0,119,41,42,67,36,85,54,25011
125000,b,340,375,421,0,98,0,124,58,68,71,51,81,55,25221
126000,b,336,388,415,0,103,0,118,53,65,69,49,78,47,25421
127000,b,330,386,390,0,110,0,112,58,48,71,47,79,61,25629
128000,b,331,370,400,0,111,0,116,52,64,61,56,74,60,25816
129000,b,344,371,405,0,99,0,124,63,63,53,50,86,52,26018
130000,b,347,389,382,0,109,0,106,57,56,72,50,79,59,26226
131000,b,364,405,377,0,103,0,112,56,58,64,51,75,53,26421
132000,b,361,410,397,0,85,0,107,59,58,65,38,71,63,26616
133000,b,351,391,409,0,97,0,103,55,52,79,47,74,38,26824
134000,b,358,371,414,0,88,0,113,53,65,64,50,80,34,27021
135000,b,340,388,402,0,101,0,106,53,62,71,61,64,56,27209
136000,b,339,372,427,0,108,0,114,56,49,73,41,87,49,27425
137000,b,321,379,427,0,101,0,111,46,46,66,43,84,42,27621
138000,b,342,362,427,0,102,0,105,66,62,69,47,72,46,27828
139000,b,342,376,419,0,102,0,113,55,33,70,30,75,69,28028
140000,b,357,381,435,0,102,0,115,55,51,74,41,88,56,28245
141000,b,342,389,425,0,110,0,109,63,65,75,47,71,34,28454
142000,b,342,397,408,0,114,0,98,57,50,79,38,73,40,28663
143000,b,340,394,402,0,110,0,102,43,59,72,68,68,34,28846
144000,b,334,404,389,0,114,0,98,48,46,78,44,69,62,29041
145000,b,340,407,411,0,105,0,114,63,46,67,43,90,62,29261
146000,b,336,413,411,0,98,0,112,51,52,74,40,74,62,29460
147000,b,327,402,416,0,103,0,110,50,62,68,47,66,48,29644
148000,b,329,414,391,0,110,0,109,41,55,86,33,78,48,29849
149000,b,344,408,383,0,117,0,110,49,55,80,34,74,54,30052
150000,b,328,397,393,0,112,0,112,40,60,78,48,86,30,30256
151000,b,308,397,412,0,119,0,104,47,48,76,43,77,58,30456
152000,b,323,394,426,0,104,0,125,47,45,76,51,91,56,30670
153000,b,327,399,438,0,111,0,122,43,33,73,42,85,47,30871
154000,b,314,375,410,0,111,0,116,54,52,68,62,63,50,31056
155000,b,319,404,418,0,115,0,120,34,46,78,54,91,49,31259
156000,b,326,399,401,0,114,0,127,46,42,72,38,88,44,31465
157000,b,355,402,383,0,102,0,127,53,51,67,51,85,49,31670
158000,b,350,416,389,0,107,0,123,54,42,77,50,77,46,31878
159000,b,354,411,387,0,113,0,116,47,55,75,53,69,57,32069
160000,b,349,400,375,0,110,0,123,55,50,71,34,75,45,32270
161000,b,351,392,380,0,119,0,130,58,49,78,37,82,49,32488
162000,b,327,382,399,0,110,0,119,56,49,65,39,74,42,32683
163000,b,314,397,364,0,123,0,102,45,30,85,51,72,43,32885
164000,b,310,393,381,0,132,0,111,44,41,97,64,72,45,33098
165000,b,310,403,385,0,139,0,102,53,35,96,60,68,50,33315
166000,b,316,395,401,0,139,0,118,40,46,74,40,83,59,33512
167000,b,325,382,385,0,121,0,121,51,65,65,48,81,45,33709
168000,b,331,376,393,0,122,0,112,56,59,79,47,70,42,33914
169000,b,339,403,394,0,120,0,113,50,52,89,45,58,50,34111
170000,b,317,417,380,0,110,0,107,41,61,76,48,60,39,34288
171000,b,291,417,396,0,111,0,108,37,40,90,59,79,39,34494
172000,b,308,395,390,0,108,0,110,46,40,72,59,68,60,34680
173000,b,331,390,404,0,109,0,105,57,58,76,62,75,41,34888
174000,b,348,388,393,0,105,0,118,53,68,64,50,76,58,35081
175000,b,335,393,396,0,104,0,126,62,60,63,49,86,51,35292
176000,b,324,406,420,0,102,0,114,56,53,69,28,74,43,35491
177000,b,302,451,404,0,111,0,105,41,47,98,57,76,23,35706
178000,b,303,436,400,0,102,0,113,39,42,80,59,72,46,35897
179000,b,340,427,387,0,100,0,111,54,60,70,53,71,55,36092
180000,b,350,402,407,0,118,0,118,63,54,73,44,85,50,36313
