step,season,popn,popi,popp,tokix,tokiy,tokpx,tokpy,bn,wn,bi,wi,bp,wp,score
93000,a,299,353,394,90,0,110,0,48,44,72,58,73,47,17691
94000,a,306,361,383,96,0,109,0,66,63,61,58,67,54,17885
95000,a,308,367,376,104,0,105,0,38,35,75,70,76,45,18074
96000,a,310,370,379,94,0,102,0,53,49,62,53,76,66,18265
97000,a,323,346,399,86,0,115,0,48,60,55,60,78,53,18446
98000,a,322,328,382,78,0,105,0,54,53,52,61,65,57,18617
99000,a,334,335,400,84,0,90,0,48,87,61,61,69,48,18795
100000,a,312,321,406,85,0,103,0,47,68,65,55,80,68,18987
101000,a,312,341,402,92,0,112,0,55,71,62,65,82,73,19186
102000,a,316,355,412,85,0,127,0,53,61,57,50,82,68,19378
103000,a,327,349,422,79,0,123,0,53,71,55,34,87,54,19573
104000,a,319,348,416,96,0,124,0,44,53,73,48,76,63,19766
105000,a,318,353,397,91,0,113,0,55,80,72,51,53,53,19946
106000,a,333,353,378,90,0,113,0,57,76,58,49,67,42,20128
107000,a,331,350,362,79,0,115,0,62,55,57,55,68,50,20315
108000,a,335,347,362,83,0,109,0,64,53,51,49,75,67,20505
109000,a,317,365,352,106,0,107,0,48,67,85,60,59,65,20697
110000,a,308,363,371,111,0,98,0,43,74,70,67,73,43,20883
111000,a,313,362,382,106,0,111,0,57,66,66,53,74,60,21080
112000,a,308,388,382,101,0,123,0,50,43,70,47,80,56,21280
113000,a,311,399,356,116,0,113,0,59,59,68,68,66,51,21473
114000,a,300,397,343,101,0,114,0,43,58,71,60,60,73,21647
115000,a,298,411,335,97,0,111,0,49,58,73,62,77,48,21846
116000,a,312,416,350,107,0,108,0,66,59,76,54,59,46,22047
117000,a,325,409,344,112,0,104,0,43,63,67,75,61,60,22218
118000,a,329,414,336,112,0,97,0,44,61,79,65,58,48,22399
119000,a,332,426,329,111,0,96,0,42,55,78,65,54,63,22573
120000,a,331,402,345,110,0,89,0,47,54,73,54,65,58,22758
121000,a,328,368,330,116,0,87,0,43,61,72,67,60,52,22933
122000,a,323,375,322,120,0,76,0,51,61,78,54,59,59,23121
123000,a,297,414,336,118,0,83,0,45,45,78,49,54,85,23298
124000,a,314,406,347,112,0,103,0,55,64,69,57,67,82,23489
125000,a,306,399,348,118,0,97,0,40,54,85,57,60,62,23674
126000,a,296,406,365,129,0,106,0,37,36,96,65,70,47,23877
127000,a,309,394,360,115,0,100,0,40,43,78,49,65,55,24060
128000,a,301,407,335,107,0,98,0,42,46,82,71,58,49,24242
129000,a,288,420,357,117,0,99,0,39,43,79,65,79,48,24439
130000,a,267,399,361,109,0,99,0,30,53,77,35,75,54,24621
131000,a,290,404,351,128,0,90,0,45,44,91,79,58,53,24815
132000,a,285,407,357,118,0,95,0,41,63,82,61,61,59,24999
133000,a,303,389,351,122,0,97,0,40,37,80,60,75,55,25194
134000,a,306,394,344,117,0,101,0,53,62,77,57,64,52,25388
135000,a,294,401,357,113,0,110,0,44,48,67,63,76,66,25575
136000,a,288,406,348,113,0,91,0,53,68,86,50,47,60,25761
137000,a,303,403,362,115,0,103,0,53,53,72,56,80,51,25966
138000,a,307,406,340,116,0,95,0,47,52,73,49,60,35,26146
139000,a,316,394,371,118,0,104,0,46,61,75,45,78,39,26345
140000,a,315,395,357,111,0,94,0,56,65,69,59,55,56,26525
141000,a,345,382,360,99,0,95,0,53,63,75,55,64,60,26717
142000,a,330,375,369,97,0,103,0,51,75,65,50,76,65,26909
143000,a,326,364,371,103,0,97,0,48,56,69,37,84,50,27110
144000,a,315,391,371,105,0,98,0,50,58,75,62,65,71,27300
145000,a,311,377,370,106,0,116,0,44,68,63,62,75,65,27482
146000,a,300,366,370,98,0,107,0,51,66,58,39,87,56,27678
147000,a,280,362,411,104,0,113,0,38,59,63,51,97,69,27876
148000,a,274,359,413,101,0,115,0,44,51,66,53,68,61,28054
149000,a,295,338,395,96,0,115,0,41,71,64,55,75,51,28234
150000,a,297,332,396,95,0,117,0,44,47,69,53,71,57,28418
151000,a,301,341,408,100,0,105,0,45,68,56,58,67,72,28586
152000,a,301,344,395,95,0,113,0,47,53,59,58,79,67,28771
153000,a,286,346,386,86,0,125,0,36,48,63,71,77,65,28947
154000,a,299,346,395,99,0,126,0,50,45,75,54,83,68,29155
155000,a,306,342,388,99,0,112,0,50,51,70,52,67,67,29342
156000,a,314,328,405,95,0,114,0,49,54,65,64,69,49,29525
157000,a,307,334,376,99,0,98,0,34,36,68,59,69,92,29696
158000,a,314,350,378,101,0,102,0,62,72,72,48,67,62,29897
159000,a,322,377,348,105,0,99,0,48,54,81,40,64,68,30090
160000,a,320,373,347,119,0,103,0,49,59,82,71,64,55,30285
161000,a,308,384,347,110,0,95,0,48,82,69,64,56,49,30458
162000,a,324,359,345,104,0,95,0,42,63,69,48,72,53,30641
163000,a,335,351,368,101,0,101,0,55,54,62,58,79,61,30837
164000,a,342,363,378,111,0,114,0,34,64,73,54,74,59,31018
165000,a,302,363,363,87,0,93,0,45,75,60,46,66,51,31189
166000,a,302,379,372,97,0,96,0,51,50,71,63,71,59,31382
167000,a,320,386,390,98,0,99,0,39,46,74,75,74,31,31569
168000,a,314,382,386,87,0,104,0,53,71,56,54,78,55,31756
169000,a,307,360,380,89,0,103,0,53,81,58,49,74,55,31941
170000,a,298,364,388,90,0,115,0,43,66,72,45,77,41,32133
171000,a,303,352,384,109,0,117,0,39,44,79,76,78,67,32329
172000,a,298,366,408,109,0,100,0,40,55,71,74,75,51,32515
173000,a,302,367,405,109,0,115,0,46,64,80,39,74,80,32715
174000,a,288,355,434,104,0,110,0,45,53,72,69,79,53,32911
175000,a,293,379,434,110,0,118,0,47,53,70,55,78,49,33106
176000,a,288,388,410,116,0,123,0,39,47,75,50,88,54,33308
177000,a,291,359,414,109,0,120,0,46,49,70,41,85,47,33509
178000,a,297,358,399,103,0,111,0,40,54,71,58,71,48,33691
179000,a,279,360,403,103,0,97,0,50,67,71,46,73,34,33885
180000,a,284,337,400,99,0,108,0,41,46,69,57,77,74,34072
