step,season,popn,popi,popp,tokix,tokiy,tokpx,tokpy,bn,wn,bi,wi,bp,wp,score
1000,a,165,181,175,61,0,56,0,67,71,86,82,80,100,233
2000,a,234,280,247,80,0,76,0,55,74,85,72,61,81,434
3000,a,274,345,307,101,0,95,0,71,69,82,61,77,48,664
4000,a,295,364,326,93,0,92,0,49,61,80,72,68,61,861
5000,a,314,380,331,116,0,94,0,49,69,96,52,69,44,1075
6000,a,316,370,342,105,0,92,0,44,49,76,63,57,53,1252
7000,a,330,370,350,116,0,103,0,48,53,83,71,70,53,1453
8000,a,335,358,336,96,0,88,0,68,63,63,49,58,48,1642
9000,b,340,339,329,64,39,19,36,42,48,52,108,58,120,1794
10000,b,340,346,340,36,62,12,56,45,47,60,105,58,64,1957
11000,b,339,359,334,24,77,4,76,54,55,63,64,67,69,2141
12000,b,356,357,354,11,100,1,86,54,61,73,42,67,54,2335
13000,b,342,361,362,9,97,1,85,51,80,61,56,61,36,2508
14000,b,330,369,364,5,105,1,100,60,69,71,60,71,52,2710
15000,b,342,374,354,4,105,1,96,44,55,78,65,63,52,2895
16000,b,315,393,355,2,131,1,84,30,56,89,72,48,62,3062
17000,a,318,384,356,35,78,41,27,44,44,49,122,51,125,3206
18000,a,328,361,341,50,48,63,13,54,60,56,90,58,67,3374
19000,a,335,347,349,73,28,69,7,58,48,68,98,52,57,3552
20000,a,349,385,352,85,18,74,6,46,72,75,67,63,39,3736
21000,a,329,376,362,89,13,83,3,46,54,69,44,65,61,3916
22000,a,310,343,373,98,11,87,3,49,62,67,58,67,56,4099
23000,a,317,357,380,93,6,92,3,45,73,62,60,70,84,4276
24000,a,325,335,387,94,5,102,2,61,80,55,59,75,54,4467
25000,b,320,323,373,64,37,25,50,46,57,44,92,68,165,4625
26000,b,327,316,397,43,52,13,74,52,57,48,81,70,97,4795
27000,b,340,296,405,32,53,9,93,54,45,46,53,83,84,4978
28000,b,309,326,413,21,66,3,105,46,66,57,77,81,56,5162
29000,b,316,351,385,13,89,1,112,57,54,73,65,71,62,5363
30000,b,324,333,380,7,92,1,118,41,77,63,53,74,58,5541
31000,b,316,368,373,5,99,0,108,51,58,75,57,56,47,5723
32000,b,315,378,378,4,94,0,95,53,72,65,60,50,54,5891
33000,a,328,343,376,34,62,45,19,44,58,44,121,61,139,6040
34000,a,324,339,383,65,36,70,13,50,63,61,116,64,62,6215
35000,a,322,340,388,70,24,83,8,39,56,58,77,68,77,6380
36000,a,328,360,381,88,15,107,5,54,70,63,54,81,54,6578
37000,a,327,349,389,85,10,102,4,55,60,55,63,73,56,6761
38000,a,286,349,404,97,6,110,1,36,61,67,46,79,64,6943
39000,a,280,364,424,100,4,116,1,49,39,77,51,75,58,7144
40000,a,288,374,388,109,3,121,0,41,47,75,43,74,57,7334
41000,b,286,351,368,72,38,30,42,42,53,45,79,58,142,7479
42000,b,291,346,379,45,62,18,66,47,67,65,62,82,84,7673
43000,b,295,326,381,24,67,11,72,45,55,51,81,64,63,7833
44000,b,300,334,383,15,89,5,96,41,52,69,88,81,56,8024
45000,b,334,330,362,10,90,3,93,67,65,57,66,56,62,8204
46000,b,319,359,342,5,109,3,99,67,75,74,63,60,47,8405
47000,b,324,366,348,4,111,2,86,59,87,71,43,55,42,8590
48000,b,333,367,327,3,110,2,86,54,68,81,49,57,44,8782
49000,a,334,321,333,41,81,47,24,48,66,45,130,56,111,8931
50000,a,338,325,322,56,56,63,17,59,86,61,106,52,41,9103
51000,a,343,340,324,79,38,75,10,58,54,71,100,58,50,9290
52000,a,340,359,328,95,25,92,7,53,71,71,73,58,44,9472
53000,a,344,358,344,93,15,101,5,57,51,71,79,59,40,9659
54000,a,345,357,323,93,8,102,2,55,69,62,64,60,67,9836
55000,a,346,382,312,110,4,93,2,67,66,80,55,57,53,10040
56000,a,342,380,320,106,2,94,2,56,73,75,45,53,39,10224
57000,b,327,364,329,65,37,29,30,38,56,43,152,44,109,10349
