step,season,popn,popi,popp,tokix,tokiy,tokpx,tokpy,bn,wn,bi,wi,bp,wp,score
1000,a,185,149,151,48,0,50,0,86,93,65,97,71,74,222
2000,a,259,232,246,65,0,76,0,76,104,64,77,71,63,433
3000,a,291,282,308,76,0,101,0,60,77,58,70,88,67,639
4000,a,278,313,337,89,0,115,0,48,78,69,58,78,56,834
5000,a,304,327,400,92,0,111,0,53,51,73,27,87,70,1047
6000,a,308,343,413,82,0,107,0,48,69,61,37,77,42,1233
7000,a,326,349,423,82,0,109,0,55,64,60,67,70,37,1418
8000,a,314,353,401,98,0,113,0,39,53,75,58,73,79,1605
9000,a,327,359,380,97,0,122,0,46,45,69,62,89,69,1809
10000,a,288,363,381,100,0,117,0,47,69,62,45,81,66,1999
11000,a,307,372,351,108,0,103,0,48,56,59,47,75,65,2181
12000,a,309,387,337,106,0,92,0,45,44,83,66,59,44,2368
13000,a,306,389,343,110,0,97,0,52,48,77,41,67,64,2564
14000,a,313,380,361,105,0,93,0,49,67,76,48,59,46,2748
15000,a,299,399,371,120,0,86,0,40,48,88,61,59,42,2935
16000,a,300,404,355,117,0,95,0,43,64,72,55,67,62,3117
17000,a,290,391,367,108,0,103,0,39,53,73,61,71,57,3300
18000,a,293,387,351,113,0,104,0,44,46,82,59,64,58,3490
19000,a,315,400,358,117,0,96,0,54,65,81,55,63,35,3688
20000,a,315,399,373,128,0,105,0,45,47,83,68,75,53,3891
21000,a,315,401,367,146,0,89,0,46,50,91,59,70,44,4098
22000,a,307,396,340,135,0,80,0,46,70,86,59,50,42,4280
23000,a,299,410,335,137,0,89,0,39,48,96,67,65,52,4480
24000,a,278,428,357,129,0,100,0,38,64,77,65,69,50,4664
25000,a,302,414,375,119,0,90,0,48,50,75,65,64,51,4851
26000,a,312,405,376,121,0,97,0,43,48,85,54,69,58,5048
27000,a,287,388,354,112,0,97,0,47,53,69,62,66,40,5230
28000,a,294,386,341,100,0,93,0,35,49,68,74,51,77,5384
29000,a,306,400,355,109,0,94,0,41,66,79,61,68,71,5572
30000,a,299,397,364,107,0,99,0,47,47,71,82,74,58,5764
31000,a,291,387,375,97,0,99,0,36,61,76,73,78,58,5954
32000,a,291,385,360,109,0,93,0,46,54,64,42,85,67,6149
33000,a,305,377,359,118,0,107,0,47,47,71,58,81,74,6348
34000,a,291,386,365,117,0,103,0,41,56,71,59,70,41,6530
35000,a,292,398,365,114,0,107,0,50,57,85,43,71,67,6736
36000,a,309,399,356,110,0,95,0,46,45,66,71,66,66,6914
37000,a,293,402,385,123,0,88,0,42,42,78,47,71,70,7105
38000,a,307,403,376,113,0,91,0,49,57,68,58,68,49,7290
39000,a,311,379,372,113,0,87,0,49,65,75,68,54,45,7468
40000,a,303,374,376,110,0,88,0,40,48,70,54,70,63,7648
41000,a,292,390,379,99,0,106,0,41,65,59,66,63,51,7811
42000,a,309,387,364,103,0,98,0,39,70,76,58,58,60,7984
43000,a,328,369,365,99,0,102,0,52,64,65,34,82,69,8183
44000,a,328,385,364,102,0,98,0,50,59,72,38,72,52,8377
45000,a,319,372,372,97,0,86,0,45,67,62,58,70,52,8554
46000,a,315,380,356,101,0,85,0,51,55,72,54,58,61,8735
47000,a,306,390,348,107,0,88,0,43,73,74,52,66,39,8918
48000,a,306,360,353,99,0,98,0,53,65,56,51,77,58,9104
49000,a,289,349,377,107,0,108,0,47,65,66,69,71,59,9288
50000,a,286,353,377,106,0,104,0,51,64,70,56,66,59,9475
51000,a,320,334,366,106,0,96,0,51,73,60,59,70,76,9656
52000,a,320,371,357,100,0,103,0,54,70,79,48,76,35,9865
53000,a,340,372,351,104,0,86,0,48,41,75,69,59,39,10047
54000,a,330,373,360,113,0,93,0,42,55,83,53,57,60,10229
55000,a,342,381,344,117,0,90,0,49,52,83,64,61,48,10422
56000,a,332,383,357,100,0,90,0,50,77,62,57,64,45,10598
57000,a,338,367,372,109,0,91,0,61,65,63,59,69,59,10791
58000,a,329,378,373,107,0,92,0,57,62,71,47,63,54,10982
59000,a,350,363,360,105,0,90,0,52,58,70,45,68,63,11172
60000,a,354,374,374,96,0,101,0,50,62,73,46,74,64,11369
61000,a,354,373,360,98,0,74,0,59,69,63,52,49,34,11540
62000,a,366,372,367,101,0,84,0,55,74,69,49,69,48,11733
63000,a,338,364,358,100,0,82,0,49,76,65,59,51,47,11898
64000,a,331,376,376,116,0,82,0,57,73,81,44,63,52,12099
65000,a,319,373,389,107,0,89,0,45,60,70,59,70,57,12284
66000,a,325,365,392,102,0,98,0,38,45,57,74,80,68,12459
67000,a,305,355,416,104,0,121,0,50,56,63,39,90,57,12662
68000,a,286,384,403,112,0,114,0,42,40,89,57,64,60,12857
69000,a,289,356,417,107,0,117,0,49,52,63,51,79,61,13048
70000,a,267,350,418,112,0,135,0,38,50,71,60,86,57,13243
71000,a,269,357,411,101,0,145,0,47,61,69,47,84,71,13443
72000,a,287,347,389,107,0,121,0,41,64,66,52,72,48,13622
73000,a,286,337,393,97,0,120,0,47,57,62,49,80,61,13811
74000,a,279,342,396,91,0,117,0,43,77,56,43,76,41,13986
75000,a,296,353,414,80,0,122,0,35,61,66,48,81,80,14168
76000,a,289,347,406,88,0,112,0,47,62,64,59,71,59,14350
77000,a,284,348,412,94,0,115,0,40,56,67,63,86,69,14543
78000,a,291,346,408,83,0,113,0,41,55,65,51,68,57,14717
79000,a,306,365,415,93,0,120,0,36,56,63,69,82,75,14898
80000,a,300,364,423,100,0,107,0,56,52,69,36,70,44,15093
81000,a,289,365,413,107,0,99,0,51,63,58,68,56,65,15258
82000,a,305,347,414,106,0,101,0,55,67,63,56,76,57,15452
83000,a,302,370,407,107,0,114,0,40,49,75,56,90,53,15657
84000,a,272,358,415,96,0,129,0,43,48,67,46,90,58,15857
85000,a,283,367,415,89,0,112,0,46,48,56,48,82,52,16041
86000,a,264,385,406,84,0,128,0,36,44,71,53,80,62,16228
87000,a,265,399,400,99,0,122,0,40,53,78,52,70,59,16416
88000,a,288,392,383,95,0,108,0,45,50,65,42,74,63,16600
89000,a,298,388,404,110,0,96,0,47,75,60,57,77,52,16784
90000,a,307,383,388,109,0,103,0,51,47,84,58,58,59,16977
91000,a,310,400,390,110,0,104,0,46,51,75,50,66,61,17164
92000,a,309,389,356,101,0,103,0,50,58,66,42,67,36,17347
93000,a,318,394,348,85,0,94,0,49,62,71,63,61,38,17528
94000,a,315,396,363,104,0,95,0,48,62,71,66,65,47,17712
95000,a,309,388,366,102,0,90,0,54,60,78,71,61,34,17905
96000,a,325,395,365,100,0,87,0,42,49,68,67,64,56,18079
97000,a,291,392,368,91,0,86,0,31,53,73,60,66,53,18249
98000,a,281,399,394,97,0,101,0,38,70,79,58,82,47,18448
99000,a,264,408,390,113,0,100,0,45,70,88,48,61,62,18642
100000,a,254,417,396,115,0,107,0,40,57,85,52,76,66,18843
101000,a,245,388,390,107,0,107,0,38,66,76,72,64,50,19021
102000,a,281,383,378,114,0,96,0,42,54,73,56,68,48,19204
103000,a,276,384,379,113,0,106,0,54,47,62,68,80,59,19400
104000,a,283,385,374,101,0,96,0,51,53,70,56,61,37,19582
105000,a,273,371,379,95,0,111,0,42,59,59,61,73,72,19756
106000,a,272,363,397,91,0,108,0,45,59,57,45,73,71,19931
107000,a,287,379,381,99,0,103,0,50,62,76,51,67,59,20124
108000,a,284,374,361,108,0,99,0,43,70,74,55,64,75,20305
109000,a,292,383,350,102,0,102,0,41,61,73,56,75,48,20494
110000,a,306,399,339,104,0,101,0,44,82,73,64,67,40,20678
111000,a,292,380,343,119,0,85,0,51,61,65,52,57,56,20851
112000,a,287,389,347,111,0,85,0,61,85,70,57,59,60,21041
113000,a,318,376,368,104,0,92,0,66,62,66,60,56,53,21229
114000,a,307,376,379,121,0,89,0,37,51,83,49,74,63,21423
115000,a,304,382,370,126,0,95,0,41,65,85,71,62,40,21611
116000,a,299,378,363,111,0,88,0,50,68,63,64,53,52,21777
117000,a,282,403,354,130,0,89,0,43,43,88,69,64,65,21972
118000,a,276,411,353,121,0,89,0,46,64,74,63,69,41,22161
119000,a,278,408,348,124,0,93,0,43,59,88,54,62,59,22354
120000,a,306,415,365,110,0,98,0,46,64,64,50,70,59,22534
121000,a,294,405,357,114,0,94,0,50,77,82,69,61,31,22727
122000,a,297,415,350,115,0,86,0,57,65,66,48,74,53,22924
123000,a,305,384,352,100,0,92,0,47,47,59,49,70,64,23100
124000,a,294,393,351,110,0,113,0,44,65,68,61,86,56,23298
