step,season,popn,popi,popp,tokix,tokiy,tokpx,tokpy,bn,wn,bi,wi,bp,wp,score
1000,a,140,179,171,58,0,50,0,57,90,76,87,78,88,211
2000,b,218,237,269,31,48,6,61,52,64,62,110,86,128,411
3000,a,273,268,308,66,30,54,5,58,88,61,93,59,131,589
4000,b,286,309,337,40,65,7,39,54,75,59,98,46,134,748
5000,a,316,321,376,49,33,58,4,52,69,47,77,71,94,918
6000,b,306,323,377,30,59,5,48,43,78,59,80,58,121,1078
7000,a,301,316,396,56,38,63,6,46,80,56,58,75,105,1255
8000,b,288,329,395,40,62,10,35,44,46,58,81,51,124,1408
9000,a,284,331,386,67,38,51,3,46,49,54,115,76,100,1584
10000,b,324,333,389,43,66,11,51,60,61,53,105,62,115,1759
11000,a,320,342,378,58,38,52,7,45,71,59,87,60,113,1923
12000,b,314,329,375,30,59,8,53,45,69,54,56,66,122,2088
13000,a,317,337,388,52,39,61,10,39,63,45,90,74,114,2246
14000,b,314,332,386,28,60,7,44,47,52,54,95,56,123,2403
15000,a,310,367,380,71,39,42,8,50,56,74,100,46,96,2573
16000,b,318,352,379,45,56,8,38,47,53,45,123,52,86,2717
17000,a,309,347,367,68,35,55,3,43,62,62,87,67,105,2889
18000,b,321,348,372,40,68,11,47,50,45,63,127,60,101,3062
19000,a,333,346,363,67,39,45,7,51,58,58,100,57,104,3228
20000,b,340,344,379,45,65,7,52,50,53,66,98,61,95,3405
21000,a,359,333,355,69,46,45,6,52,45,55,96,56,112,3568
22000,b,343,345,367,34,74,7,49,48,46,65,90,64,86,3745
23000,a,338,353,374,60,51,55,5,40,55,70,96,60,112,3915
24000,b,368,341,380,44,68,11,45,47,51,61,75,61,129,4084
25000,a,340,335,374,61,43,45,7,50,54,58,92,51,93,4243
26000,b,322,322,386,36,60,4,54,50,60,48,97,67,96,4408
27000,a,306,326,366,58,38,48,13,49,59,58,124,65,101,4580
28000,b,309,326,384,39,63,3,51,47,57,49,101,58,113,4734
29000,a,309,336,397,70,43,62,12,51,76,56,89,81,89,4922
30000,b,337,328,367,45,66,9,49,52,49,57,52,57,132,5088
31000,a,348,313,365,64,38,40,11,47,47,51,124,50,97,5236
32000,b,371,335,366,44,58,6,52,65,70,55,101,59,72,5415
33000,a,358,342,365,65,35,47,5,53,56,57,102,61,97,5586
34000,b,357,366,391,45,71,3,42,55,64,72,99,55,75,5768
35000,a,356,349,398,60,50,49,8,55,46,52,85,70,113,5945
36000,b,348,348,375,38,68,6,55,53,49,54,71,69,91,6121
37000,a,346,338,359,65,43,43,10,51,65,59,77,49,106,6280
38000,b,317,338,376,41,73,13,57,43,54,56,64,77,101,6456
39000,a,335,306,377,56,44,60,7,54,51,43,93,62,115,6615
40000,b,326,310,347,37,57,9,47,62,55,49,66,55,127,6781
41000,a,326,338,362,56,33,50,8,48,64,55,58,65,109,6949
42000,b,326,337,355,43,53,9,54,57,59,44,112,74,103,7124
43000,a,331,336,352,74,36,44,5,53,62,61,90,58,110,7296
44000,b,339,316,365,52,53,3,52,53,89,46,102,65,101,7460
45000,a,323,306,384,61,38,47,8,61,84,45,92,57,114,7623
46000,b,323,309,413,41,59,6,60,63,58,51,54,81,116,7818
47000,a,321,333,416,60,29,56,6,49,62,54,68,72,125,7993
48000,b,335,330,409,32,46,11,56,49,60,45,90,73,127,8160
49000,a,327,355,396,65,29,42,8,39,63,59,78,62,127,8320
50000,b,308,343,395,42,58,6,55,45,60,53,95,70,107,8488
51000,a,320,341,396,65,38,45,8,59,75,53,73,60,99,8660
52000,b,318,349,392,38,68,7,51,45,48,65,105,62,82,8832
53000,a,323,363,374,61,42,50,5,47,55,61,60,62,111,9002
54000,b,310,354,372,34,56,6,46,51,41,48,78,57,122,9158
55000,a,339,360,375,64,33,50,7,54,55,64,87,58,100,9334
56000,b,335,332,366,44,46,5,33,45,71,47,105,47,102,9473
57000,a,337,332,369,59,32,49,2,67,76,53,67,62,85,9655
58000,b,340,321,385,39,55,3,43,51,66,49,65,62,104,9817
59000,a,359,354,374,66,36,47,4,61,67,58,80,62,103,9998
