cond,seed,popn,popi,popp,births,recon
p2,1,367,394,384,31643,ok
p2,2,342,430,385,31443,ok
p2,3,364,397,429,31538,ok
p2,4,407,368,356,31479,ok
p2,5,383,388,404,31645,ok
p2,6,327,389,420,31528,ok
