cond,seed,popn,popi,popp,births,recon
const,1,278,350,405,33735,ok
const,2,324,385,328,34017,ok
const,3,301,352,385,33899,ok
const,4,328,344,393,33782,ok
const,5,305,361,373,33587,ok
const,6,330,351,398,33958,ok
p2,1,347,323,384,30384,ok
p2,2,300,346,366,30443,ok
p2,3,356,334,351,30290,ok
p2,4,322,351,388,30367,ok
p2,5,355,361,350,30405,ok
p2,6,277,373,384,30484,ok
