step,season,popn,popi,popp,tokix,tokiy,tokpx,tokpy,bn,wn,bi,wi,bp,wp,score
1000,a,140,179,171,58,0,50,0,57,90,76,87,78,88,211
2000,a,214,256,267,79,0,95,0,64,94,66,71,80,91,421
3000,a,272,298,346,85,0,114,0,63,83,59,60,89,65,632
4000,a,300,315,401,86,0,138,0,54,50,69,61,99,54,854
5000,a,327,334,410,80,0,110,0,55,56,52,43,73,54,1034
6000,a,340,354,396,98,0,110,0,40,53,70,35,87,69,1231
7000,a,300,335,417,98,0,128,0,46,55,59,34,94,46,1430
8000,a,290,349,411,92,0,114,0,43,61,58,62,74,63,1605
9000,a,282,357,427,88,0,102,0,47,70,62,47,70,52,1784
10000,a,289,375,410,96,0,102,0,39,64,74,46,72,53,1969
11000,a,292,384,380,91,0,103,0,49,65,68,56,52,60,2138
12000,a,274,360,387,95,0,107,0,32,56,73,64,68,58,2311
13000,a,280,390,371,104,0,105,0,39,68,76,48,83,54,2509
14000,a,291,383,364,115,0,100,0,52,54,81,63,55,67,2697
15000,a,295,361,362,111,0,102,0,41,53,65,58,78,63,2881
16000,a,307,381,364,118,0,86,0,62,78,88,49,53,43,3084
17000,a,303,382,367,114,0,92,0,54,64,81,67,64,42,3283
18000,a,296,406,358,116,0,93,0,45,70,85,57,58,36,3471
19000,a,316,421,343,117,0,99,0,44,71,85,55,55,49,3655
20000,a,316,414,344,117,0,82,0,53,61,71,53,54,51,3833
21000,a,319,392,332,92,0,87,0,60,56,63,65,63,45,4019
22000,a,332,395,345,96,0,93,0,56,58,69,67,66,52,4210
23000,a,322,396,354,109,0,92,0,51,53,79,64,64,59,4404
24000,a,314,396,355,113,0,101,0,43,65,79,65,67,64,4593
25000,a,297,384,362,120,0,98,0,52,66,85,39,72,45,4802
26000,a,309,401,345,114,0,99,0,58,64,75,35,68,53,5003
27000,a,296,389,343,109,0,103,0,48,79,64,61,65,60,5180
28000,a,289,394,344,110,0,93,0,47,74,69,60,58,73,5354
29000,a,270,394,342,114,0,97,0,35,71,81,73,66,60,5536
30000,a,288,395,342,131,0,99,0,40,69,77,69,70,57,5723
31000,a,306,394,338,118,0,102,0,43,49,80,52,61,54,5907
32000,a,306,409,335,114,0,110,0,47,34,84,43,76,49,6114
33000,a,308,403,335,111,0,106,0,51,67,70,50,71,46,6306
34000,a,314,389,344,113,0,99,0,48,75,71,54,68,62,6493
35000,a,313,390,358,107,0,97,0,43,49,68,52,66,47,6670
36000,a,290,395,369,121,0,89,0,39,53,78,50,60,69,6847
37000,a,280,375,390,106,0,104,0,34,44,74,51,75,77,7030
38000,a,286,362,401,99,0,111,0,50,64,65,52,74,68,7219
39000,a,308,343,398,98,0,116,0,55,56,67,61,66,56,7407
40000,a,305,352,380,88,0,115,0,55,57,56,42,80,75,7598
41000,a,301,369,389,94,0,105,0,47,66,68,60,81,54,7794
42000,a,307,348,413,82,0,118,0,48,72,54,46,83,61,7979
43000,a,317,387,406,94,0,111,0,47,51,85,58,76,57,8187
44000,a,306,370,383,89,0,116,0,34,43,68,45,85,68,8374
45000,a,303,372,400,89,0,116,0,42,63,67,56,79,67,8562
46000,a,306,373,392,100,0,119,0,49,44,75,58,72,51,8758
47000,a,308,369,393,99,0,115,0,39,62,65,45,72,54,8934
48000,a,319,344,376,96,0,117,0,49,55,63,59,80,55,9126
49000,a,292,343,386,99,0,119,0,40,69,69,60,78,71,9313
50000,a,292,344,400,90,0,120,0,42,40,59,50,80,63,9494
51000,a,276,352,394,81,0,121,0,54,63,65,45,77,50,9690
52000,a,290,351,418,79,0,127,0,42,54,54,60,86,72,9872
53000,a,298,347,446,88,0,140,0,39,54,65,55,94,61,10070
54000,a,278,344,426,85,0,134,0,46,56,52,46,88,55,10256
55000,a,301,342,400,91,0,121,0,51,51,67,42,79,68,10453
56000,a,309,347,378,97,0,120,0,36,58,79,50,72,56,10640
57000,a,319,364,371,98,0,105,0,63,64,73,55,49,54,10825
58000,a,315,370,388,103,0,106,0,49,101,68,64,69,51,11011
59000,a,309,364,382,94,0,95,0,46,59,63,67,58,47,11178
60000,a,305,352,397,91,0,95,0,51,52,65,55,75,68,11369
61000,a,313,373,401,107,0,89,0,35,44,87,63,70,68,11561
62000,a,313,375,403,108,0,99,0,44,55,70,54,78,53,11753
63000,a,305,362,383,96,0,99,0,55,69,63,54,75,56,11946
64000,a,301,396,365,97,0,100,0,47,77,71,54,72,49,12136
65000,a,310,383,361,86,0,86,0,46,53,65,57,70,66,12317
66000,a,290,370,385,97,0,89,0,46,57,66,55,73,49,12502
67000,a,304,376,388,111,0,104,0,43,51,71,48,84,55,12700
68000,a,315,380,366,104,0,99,0,40,46,78,59,77,84,12895
69000,a,310,390,356,94,0,98,0,47,81,64,44,72,53,13078
70000,a,305,410,374,93,0,99,0,42,63,76,57,70,61,13266
71000,a,336,398,367,100,0,93,0,68,64,79,47,61,60,13474
72000,a,336,396,368,109,0,95,0,58,63,88,54,58,55,13678
73000,a,330,400,354,113,0,86,0,50,73,73,57,61,50,13862
74000,a,315,400,354,105,0,92,0,44,46,73,52,68,42,14047
75000,a,286,404,348,105,0,95,0,41,47,69,75,72,65,14229
76000,a,304,400,369,111,0,104,0,48,65,73,36,81,58,14431
77000,a,285,408,367,116,0,101,0,36,59,80,56,69,69,14616
78000,a,294,385,384,110,0,103,0,43,49,71,66,88,61,14818
79000,a,305,391,383,106,0,100,0,48,70,69,59,71,52,15006
80000,a,305,387,394,106,0,108,0,46,45,75,52,85,67,15212
81000,a,300,379,377,107,0,98,0,43,76,67,59,73,46,15395
82000,a,301,392,397,109,0,97,0,45,61,79,59,74,49,15593
