step,season,popn,popi,popp,tokix,tokiy,tokpx,tokpy,bn,wn,bi,wi,bp,wp,score
1000,a,140,179,171,58,0,50,0,57,90,76,87,78,88,211
2000,a,214,256,267,79,0,95,0,64,94,66,71,80,91,421
3000,a,272,298,346,85,0,114,0,63,83,59,60,89,65,632
4000,a,300,315,401,86,0,138,0,54,50,69,61,99,54,854
5000,a,327,334,410,80,0,110,0,55,56,52,43,73,54,1034
6000,a,340,354,396,98,0,110,0,40,53,70,35,87,69,1231
7000,a,300,335,417,98,0,128,0,46,55,59,34,94,46,1430
8000,a,290,349,411,92,0,114,0,43,61,58,62,74,63,1605
9000,b,288,321,406,65,37,30,45,43,60,48,100,61,132,1757
10000,b,314,312,407,42,58,21,78,46,60,50,95,71,66,1924
11000,b,313,303,427,28,53,14,103,66,70,45,45,75,59,2110
12000,b,311,309,415,15,70,11,113,47,71,58,66,82,77,2297
13000,b,309,319,424,11,73,3,117,50,58,57,40,97,59,2501
14000,b,303,336,431,8,78,2,122,42,39,55,44,88,68,2686
15000,b,302,329,389,4,80,2,115,44,52,63,60,62,59,2855
16000,b,308,356,392,3,97,1,97,55,59,75,44,54,58,3039
17000,a,322,338,410,40,64,54,28,48,29,55,106,66,116,3208
18000,a,332,343,395,54,39,70,18,51,61,56,78,65,48,3380
19000,a,318,357,391,61,23,87,14,49,51,56,67,79,67,3564
20000,a,328,325,381,66,14,96,9,44,57,45,84,72,50,3725
21000,a,323,313,403,71,5,110,4,46,56,55,46,88,61,3914
22000,a,327,332,384,73,4,108,2,44,73,60,36,69,70,4087
23000,a,343,355,359,82,1,101,2,67,69,65,43,68,49,4287
24000,a,333,350,381,91,1,105,2,42,60,71,54,68,65,4468
25000,b,345,326,372,60,34,26,41,44,67,46,123,55,124,4613
26000,b,336,335,383,35,49,17,74,60,79,42,93,64,58,4779
27000,b,331,347,365,23,71,10,83,46,70,61,89,65,45,4951
28000,b,336,353,364,14,86,8,82,49,66,69,37,68,50,5137
29000,b,333,356,375,10,79,7,92,69,71,66,65,63,43,5335
30000,b,326,337,387,8,80,5,112,49,70,60,64,74,67,5518
31000,b,321,335,368,6,82,3,108,55,68,59,54,63,58,5695
32000,b,314,337,377,3,90,0,117,52,52,60,72,74,66,5881
33000,a,290,321,403,32,64,43,25,44,56,36,115,61,165,6022
34000,a,304,333,394,59,36,72,12,54,65,52,62,69,106,6197
35000,a,333,331,392,68,18,80,8,57,80,55,49,78,54,6387
36000,a,341,334,367,81,13,78,6,54,64,61,65,73,58,6575
37000,a,326,355,372,92,11,100,2,47,59,74,57,68,73,6764
38000,a,319,337,382,94,5,102,1,43,60,70,57,73,65,6950
39000,a,318,352,390,82,2,107,1,40,69,55,50,79,51,7124
40000,a,301,342,388,85,2,96,0,43,60,65,54,69,63,7301
41000,b,316,348,363,56,42,22,39,48,69,59,97,54,136,7462
42000,b,322,334,348,37,63,9,60,54,69,61,94,59,45,7636
43000,b,337,326,363,27,63,6,74,61,69,56,51,63,71,7816
44000,b,354,341,367,17,77,4,91,50,61,63,51,70,60,7999
45000,b,334,357,373,11,92,3,88,57,70,72,61,54,66,8182
46000,b,321,378,362,3,102,2,75,45,61,84,61,58,49,8369
47000,b,299,374,375,2,101,1,86,52,76,72,45,58,65,8551
48000,b,302,364,386,1,101,1,94,43,68,64,55,66,65,8724
49000,a,289,365,379,45,62,42,19,38,59,60,113,50,128,8872
50000,a,298,364,376,71,39,64,12,46,44,72,89,60,62,9050
51000,a,289,351,377,80,28,86,8,43,70,65,51,84,58,9242
52000,a,297,357,374,99,16,94,7,41,59,83,70,65,62,9431
53000,a,289,373,389,106,12,94,4,38,44,71,63,62,53,9602
54000,a,274,380,404,103,4,90,2,37,50,62,71,74,84,9775
55000,a,275,373,394,109,2,98,1,42,52,74,65,68,79,9959
56000,a,277,387,396,104,1,87,0,41,50,68,40,71,53,10139
57000,b,299,367,377,66,45,19,40,35,55,57,135,49,137,10280
58000,b,287,371,388,46,66,9,77,51,60,64,59,74,80,10469
59000,b,284,358,389,31,81,5,88,38,70,69,53,79,51,10655
60000,b,294,368,380,23,74,4,93,52,61,59,84,67,55,10833
61000,b,294,368,383,16,84,4,96,53,65,52,69,75,62,11013
62000,b,283,369,386,7,98,4,97,45,65,72,77,73,59,11203
63000,b,291,377,381,5,110,2,108,45,40,75,65,85,66,11408
64000,b,298,383,367,0,112,0,100,42,56,78,51,77,58,11605
65000,a,290,364,375,27,78,49,25,51,78,33,109,62,127,11751
66000,a,274,358,376,56,50,64,20,43,51,61,82,65,56,11920
67000,a,285,362,367,71,27,75,14,43,72,59,71,73,78,12095
68000,a,307,376,354,81,21,78,10,51,53,60,60,68,64,12274
69000,a,311,381,363,91,14,93,6,54,59,66,71,67,42,12461
70000,a,322,382,398,87,8,104,4,46,45,68,45,85,60,12660
71000,a,334,341,391,88,5,106,1,52,57,62,56,78,43,12852
72000,a,326,337,387,84,4,101,0,47,54,69,49,78,52,13046
73000,b,337,319,395,48,41,20,49,57,55,55,105,68,128,13226
74000,b,345,328,383,26,58,12,78,62,75,51,74,72,55,13411
75000,b,309,326,400,13,73,6,90,37,50,61,67,72,58,13581
76000,b,311,330,402,8,70,2,92,48,58,60,67,56,65,13745
77000,b,344,323,421,5,69,1,101,61,73,53,43,78,60,13937
78000,b,316,325,417,5,69,0,111,48,57,66,72,71,53,14122
79000,b,324,301,423,4,73,0,102,53,67,51,49,70,54,14296
80000,b,333,333,404,3,87,0,98,49,81,61,63,81,60,14487
81000,a,319,318,404,38,54,39,18,42,52,45,121,50,136,14624
82000,a,309,325,410,56,35,70,14,45,66,56,93,70,61,14795
