cond,seed,events,score,pop1,pop2,pop3,pop4,pop5,fire,meanrung,banktot,recon
p32000,1,300000,1648,123,34,39,207,168,797,3.4606,290,ok
p32000,2,300000,1606,80,34,73,181,184,750,3.6431,314,ok
p32000,3,300000,2038,1455,140,16,10,2,0,1.1294,425,ok
p32000,4,300000,1667,78,60,108,211,244,661,3.6890,315,ok
p32000,5,300000,2038,1052,228,114,114,37,0,1.6123,503,ok
p32000,6,300000,2038,819,234,156,218,185,0,2.2035,436,ok
