step,pop1,pop2,pop3,pop4,pop5,fire,share1,share2,share3,share4,share5,meanrung
1000,622,212,93,40,41,0,0.6171,0.2103,0.0923,0.0397,0.0407,1.6766
2000,1161,537,168,78,62,0,0.5788,0.2677,0.0837,0.0389,0.0309,1.6755
3000,1346,513,129,44,16,0,0.6572,0.2505,0.0630,0.0215,0.0078,1.4722
4000,1526,436,80,2,2,1,0.7458,0.2131,0.0391,0.0010,0.0010,1.2981
5000,1002,379,84,4,3,408,0.6807,0.2575,0.0571,0.0027,0.0020,1.3879
6000,643,327,89,16,6,559,0.5948,0.3025,0.0823,0.0148,0.0056,1.5338
7000,387,308,80,39,14,624,0.4674,0.3720,0.0966,0.0471,0.0169,1.7742
8000,249,256,102,92,31,638,0.3411,0.3507,0.1397,0.1260,0.0425,2.1781
9000,112,216,130,143,57,679,0.1702,0.3283,0.1976,0.2173,0.0866,2.7219
10000,51,201,182,176,76,702,0.0743,0.2930,0.2653,0.2566,0.1108,3.0364
11000,76,160,233,212,89,717,0.0987,0.2078,0.3026,0.2753,0.1156,3.1013
12000,45,100,229,236,96,829,0.0637,0.1416,0.3244,0.3343,0.1360,3.3371
13000,15,52,217,244,113,822,0.0234,0.0811,0.3385,0.3807,0.1763,3.6053
14000,8,63,232,291,138,755,0.0109,0.0861,0.3169,0.3975,0.1885,3.6667
15000,4,57,226,317,152,684,0.0053,0.0754,0.2989,0.4193,0.2011,3.7354
16000,8,60,232,359,186,638,0.0095,0.0710,0.2746,0.4249,0.2201,3.7751
17000,0,42,293,396,225,622,0.0000,0.0439,0.3065,0.4142,0.2354,3.8410
18000,1,38,306,428,263,587,0.0010,0.0367,0.2954,0.4131,0.2539,3.8822
19000,0,46,298,477,299,540,0.0000,0.0411,0.2661,0.4259,0.2670,3.9188
20000,0,33,280,508,340,567,0.0000,0.0284,0.2412,0.4376,0.2929,3.9948
21000,4,36,273,543,368,550,0.0033,0.0294,0.2230,0.4436,0.3007,4.0090
22000,1,11,239,561,405,564,0.0008,0.0090,0.1964,0.4610,0.3328,4.1159
23000,0,6,198,563,447,553,0.0000,0.0049,0.1631,0.4638,0.3682,4.1952
24000,0,29,173,587,482,526,0.0000,0.0228,0.1361,0.4618,0.3792,4.1975
25000,3,22,135,565,525,501,0.0024,0.0176,0.1080,0.4520,0.4200,4.2696
26000,0,29,154,618,560,444,0.0000,0.0213,0.1132,0.4541,0.4115,4.2557
27000,3,16,141,636,596,449,0.0022,0.0115,0.1013,0.4569,0.4282,4.2974
28000,1,10,122,637,646,432,0.0007,0.0071,0.0862,0.4499,0.4562,4.3538
29000,2,4,90,647,679,412,0.0014,0.0028,0.0633,0.4550,0.4775,4.4044
30000,0,7,102,667,740,365,0.0000,0.0046,0.0673,0.4400,0.4881,4.4116
31000,0,2,87,665,806,352,0.0000,0.0013,0.0558,0.4263,0.5167,4.4583
32000,0,4,65,679,847,327,0.0000,0.0025,0.0408,0.4257,0.5310,4.4853
33000,0,2,70,680,911,265,0.0000,0.0012,0.0421,0.4089,0.5478,4.5033
34000,0,4,67,671,1001,215,0.0000,0.0023,0.0384,0.3850,0.5743,4.5313
35000,0,1,73,644,1066,194,0.0000,0.0006,0.0409,0.3610,0.5975,4.5555
36000,0,2,73,617,1121,167,0.0000,0.0011,0.0403,0.3403,0.6183,4.5758
37000,0,2,58,645,1194,96,0.0000,0.0011,0.0305,0.3397,0.6288,4.5961
38000,1,3,56,621,1272,69,0.0005,0.0015,0.0287,0.3180,0.6513,4.6180
39000,1,4,58,635,1290,40,0.0005,0.0020,0.0292,0.3194,0.6489,4.6142
40000,2,5,66,640,1295,27,0.0010,0.0025,0.0329,0.3187,0.6449,4.6041
41000,2,9,85,676,1272,0,0.0010,0.0044,0.0416,0.3307,0.6223,4.5690
42000,2,14,117,702,1209,0,0.0010,0.0068,0.0572,0.3434,0.5915,4.5176
43000,6,19,140,751,1132,0,0.0029,0.0093,0.0684,0.3667,0.5527,4.4570
44000,12,25,173,756,1076,1,0.0059,0.0122,0.0847,0.3702,0.5269,4.4001
45000,13,41,202,798,991,0,0.0064,0.0200,0.0988,0.3902,0.4846,4.3267
46000,17,55,244,809,920,0,0.0083,0.0269,0.1193,0.3956,0.4499,4.2518
47000,26,73,271,830,845,0,0.0127,0.0357,0.1325,0.4059,0.4132,4.1711
48000,37,80,304,858,766,1,0.0181,0.0391,0.1487,0.4196,0.3746,4.0934
49000,47,108,358,840,693,0,0.0230,0.0528,0.1750,0.4106,0.3387,3.9892
50000,68,135,423,812,610,0,0.0332,0.0659,0.2065,0.3965,0.2979,3.8599
51000,85,169,472,776,542,0,0.0416,0.0827,0.2309,0.3796,0.2652,3.7441
52000,105,208,501,752,480,1,0.0513,0.1017,0.2449,0.3675,0.2346,3.6325
53000,138,242,535,736,396,0,0.0674,0.1182,0.2614,0.3596,0.1935,3.4934
54000,176,269,561,715,326,0,0.0860,0.1314,0.2741,0.3493,0.1593,3.3644
55000,212,306,596,662,271,0,0.1036,0.1495,0.2912,0.3234,0.1324,3.2316
56000,243,345,631,604,224,1,0.1187,0.1685,0.3083,0.2951,0.1094,3.1080
57000,127,295,625,603,238,110,0.0673,0.1562,0.3310,0.3194,0.1261,3.2807
58000,128,280,609,628,266,94,0.0670,0.1465,0.3187,0.3286,0.1392,3.3265
59000,130,253,562,664,297,105,0.0682,0.1327,0.2949,0.3484,0.1558,3.3909
60000,121,224,532,655,343,131,0.0645,0.1195,0.2837,0.3493,0.1829,3.4667
61000,92,178,486,635,363,217,0.0525,0.1015,0.2771,0.3620,0.2070,3.5696
62000,92,151,415,657,393,236,0.0539,0.0884,0.2430,0.3847,0.2301,3.6487
63000,88,120,359,684,408,267,0.0530,0.0723,0.2164,0.4123,0.2459,3.7257
64000,59,83,341,663,456,307,0.0368,0.0518,0.2129,0.4139,0.2846,3.8577
65000,30,61,295,649,483,387,0.0198,0.0402,0.1943,0.4275,0.3182,3.9842
66000,34,57,279,663,516,319,0.0219,0.0368,0.1801,0.4280,0.3331,4.0136
67000,9,45,254,673,582,345,0.0058,0.0288,0.1625,0.4306,0.3724,4.1350
68000,10,42,225,655,643,336,0.0063,0.0267,0.1429,0.4159,0.4083,4.1930
69000,6,34,194,655,700,321,0.0038,0.0214,0.1221,0.4122,0.4405,4.2643
70000,4,35,175,660,727,321,0.0025,0.0219,0.1093,0.4122,0.4541,4.2936
71000,3,17,164,680,755,301,0.0019,0.0105,0.1013,0.4200,0.4663,4.3385
72000,6,7,131,692,794,281,0.0037,0.0043,0.0804,0.4245,0.4871,4.3871
73000,1,10,121,686,847,255,0.0006,0.0060,0.0727,0.4120,0.5087,4.4222
74000,1,10,134,713,892,206,0.0006,0.0057,0.0766,0.4074,0.5097,4.4200
75000,1,10,90,703,928,214,0.0006,0.0058,0.0520,0.4059,0.5358,4.4706
76000,1,6,91,704,941,223,0.0006,0.0034,0.0522,0.4039,0.5399,4.4791
77000,2,4,77,712,1021,169,0.0011,0.0022,0.0424,0.3921,0.5622,4.5121
78000,1,4,79,716,1086,114,0.0005,0.0021,0.0419,0.3796,0.5758,4.5281
79000,2,5,78,729,1124,73,0.0010,0.0026,0.0402,0.3762,0.5800,4.5315
80000,3,5,86,754,1151,33,0.0015,0.0025,0.0430,0.3772,0.5758,4.5233
81000,4,6,93,777,1154,9,0.0020,0.0029,0.0457,0.3820,0.5674,4.5098
