step,pop1,pop2,pop3,pop4,pop5,fire,share1,share2,share3,share4,share5,meanrung
70000,315,287,186,76,14,684,0.3588,0.3269,0.2118,0.0866,0.0159,2.0740
71000,205,230,185,100,27,716,0.2744,0.3079,0.2477,0.1339,0.0361,2.3494
72000,124,209,200,128,40,745,0.1769,0.2981,0.2853,0.1826,0.0571,2.6448
73000,70,192,201,150,46,828,0.1062,0.2914,0.3050,0.2276,0.0698,2.8634
74000,33,139,227,167,63,829,0.0525,0.2210,0.3609,0.2655,0.1002,3.1399
75000,22,100,253,211,73,815,0.0334,0.1517,0.3839,0.3202,0.1108,3.3232
76000,11,93,224,227,91,810,0.0170,0.1440,0.3467,0.3514,0.1409,3.4551
77000,8,94,219,269,119,735,0.0113,0.1326,0.3089,0.3794,0.1678,3.5599
78000,5,110,237,293,146,708,0.0063,0.1391,0.2996,0.3704,0.1846,3.5879
79000,1,89,249,320,174,730,0.0012,0.1068,0.2989,0.3842,0.2089,3.6927
80000,14,83,271,337,212,671,0.0153,0.0905,0.2955,0.3675,0.2312,3.7088
81000,18,80,242,377,252,703,0.0186,0.0826,0.2497,0.3891,0.2601,3.7895
82000,8,60,213,401,280,705,0.0083,0.0624,0.2214,0.4168,0.2911,3.9200
83000,6,34,185,424,325,677,0.0062,0.0349,0.1899,0.4353,0.3337,4.0554
84000,3,30,191,462,376,585,0.0028,0.0282,0.1798,0.4350,0.3540,4.1092
85000,2,27,170,526,419,545,0.0017,0.0236,0.1486,0.4598,0.3663,4.1652
86000,2,25,206,568,455,501,0.0016,0.0199,0.1640,0.4522,0.3623,4.1537
87000,3,26,177,579,497,504,0.0023,0.0203,0.1381,0.4516,0.3877,4.2020
88000,1,10,164,600,546,478,0.0008,0.0076,0.1241,0.4542,0.4133,4.2718
89000,3,6,157,640,615,416,0.0021,0.0042,0.1105,0.4504,0.4328,4.3075
90000,1,1,137,651,651,378,0.0007,0.0007,0.0951,0.4518,0.4518,4.3532
91000,1,3,127,671,713,359,0.0007,0.0020,0.0838,0.4429,0.4706,4.3809
92000,2,18,121,650,752,353,0.0013,0.0117,0.0784,0.4213,0.4874,4.3817
93000,11,23,104,684,790,311,0.0068,0.0143,0.0645,0.4243,0.4901,4.3766
94000,5,13,91,680,835,306,0.0031,0.0080,0.0560,0.4187,0.5142,4.4329
95000,2,13,74,694,910,267,0.0012,0.0077,0.0437,0.4099,0.5375,4.4749
96000,0,2,76,688,956,218,0.0000,0.0012,0.0441,0.3995,0.5552,4.5087
97000,1,2,72,733,1027,153,0.0005,0.0011,0.0392,0.3995,0.5597,4.5166
98000,1,5,48,720,1082,137,0.0005,0.0027,0.0259,0.3879,0.5830,4.5501
99000,1,4,44,732,1106,117,0.0005,0.0021,0.0233,0.3879,0.5861,4.5570
100000,1,3,44,709,1146,101,0.0005,0.0016,0.0231,0.3726,0.6022,4.5744
101000,4,4,55,715,1173,71,0.0021,0.0021,0.0282,0.3665,0.6012,4.5628
102000,5,5,49,724,1198,43,0.0025,0.0025,0.0247,0.3655,0.6047,4.5674
103000,9,11,55,786,1185,0,0.0044,0.0054,0.0269,0.3842,0.5792,4.5283
104000,17,23,71,792,1139,0,0.0083,0.0113,0.0348,0.3879,0.5578,4.4755
105000,23,31,96,820,1076,0,0.0112,0.0152,0.0469,0.4008,0.5259,4.4150
106000,33,40,124,868,973,0,0.0162,0.0196,0.0608,0.4259,0.4774,4.3288
107000,49,51,156,876,910,0,0.0240,0.0250,0.0764,0.4290,0.4456,4.2473
