step,pop1,pop2,pop3,pop4,pop5,fire,share1,share2,share3,share4,share5,meanrung
1000,570,221,113,69,37,0,0.5644,0.2188,0.1119,0.0683,0.0366,1.7941
2000,1026,489,257,152,82,0,0.5115,0.2438,0.1281,0.0758,0.0409,1.8908
3000,1189,493,226,101,39,0,0.5806,0.2407,0.1104,0.0493,0.0190,1.6855
4000,1377,444,168,43,14,1,0.6730,0.2170,0.0821,0.0210,0.0068,1.4717
5000,1044,385,152,46,15,269,0.6358,0.2345,0.0926,0.0280,0.0091,1.5402
6000,754,348,124,51,25,523,0.5791,0.2673,0.0952,0.0392,0.0192,1.6521
7000,530,290,96,75,32,674,0.5181,0.2835,0.0938,0.0733,0.0313,1.8162
8000,326,248,91,87,50,721,0.4065,0.3092,0.1135,0.1085,0.0623,2.1110
9000,190,190,95,110,80,767,0.2857,0.2857,0.1429,0.1654,0.1203,2.5489
10000,74,164,104,140,110,736,0.1250,0.2770,0.1757,0.2365,0.1858,3.0811
11000,48,164,124,173,133,682,0.0748,0.2555,0.1931,0.2695,0.2072,3.2788
12000,59,119,161,199,162,732,0.0843,0.1700,0.2300,0.2843,0.2314,3.4086
13000,43,92,164,221,175,742,0.0619,0.1324,0.2360,0.3180,0.2518,3.5655
14000,29,65,169,254,192,725,0.0409,0.0917,0.2384,0.3583,0.2708,3.7264
15000,30,47,206,278,214,673,0.0387,0.0606,0.2658,0.3587,0.2761,3.7729
16000,13,52,220,323,253,637,0.0151,0.0604,0.2555,0.3751,0.2938,3.8722
17000,14,55,239,354,310,636,0.0144,0.0566,0.2459,0.3642,0.3189,3.9167
18000,10,63,254,380,367,599,0.0093,0.0587,0.2365,0.3538,0.3417,3.9600
19000,5,48,234,422,406,582,0.0045,0.0430,0.2099,0.3785,0.3641,4.0547
20000,2,48,227,448,427,582,0.0017,0.0417,0.1970,0.3889,0.3707,4.0851
21000,1,23,185,461,453,620,0.0009,0.0205,0.1647,0.4105,0.4034,4.1950
22000,0,18,169,486,505,552,0.0000,0.0153,0.1435,0.4126,0.4287,4.2547
23000,1,9,175,486,549,515,0.0008,0.0074,0.1434,0.3984,0.4500,4.2893
24000,0,4,157,514,615,475,0.0000,0.0031,0.1217,0.3984,0.4767,4.3488
25000,3,7,132,546,674,434,0.0022,0.0051,0.0969,0.4009,0.4949,4.3811
26000,4,3,114,532,731,457,0.0029,0.0022,0.0824,0.3844,0.5282,4.4328
27000,0,2,98,553,782,402,0.0000,0.0014,0.0683,0.3854,0.5449,4.4739
28000,0,3,67,571,844,374,0.0000,0.0020,0.0451,0.3845,0.5684,4.5192
29000,6,18,66,637,872,304,0.0038,0.0113,0.0413,0.3984,0.5453,4.4703
30000,7,4,51,673,913,284,0.0042,0.0024,0.0309,0.4084,0.5540,4.5055
31000,0,5,54,699,961,227,0.0000,0.0029,0.0314,0.4066,0.5590,4.5218
32000,0,4,35,688,1021,210,0.0000,0.0023,0.0200,0.3936,0.5841,4.5595
33000,0,1,49,660,1072,200,0.0000,0.0006,0.0275,0.3704,0.6016,4.5730
34000,0,3,48,654,1116,150,0.0000,0.0016,0.0264,0.3591,0.6129,4.5832
35000,0,4,41,668,1155,128,0.0000,0.0021,0.0219,0.3576,0.6183,4.5921
36000,0,9,56,644,1221,82,0.0000,0.0047,0.0290,0.3337,0.6326,4.5943
37000,0,6,57,627,1252,78,0.0000,0.0031,0.0294,0.3229,0.6447,4.6092
38000,0,8,67,654,1297,10,0.0000,0.0039,0.0331,0.3228,0.6402,4.5992
39000,0,11,79,686,1269,0,0.0000,0.0054,0.0386,0.3355,0.6205,4.5711
40000,3,19,92,741,1188,1,0.0015,0.0093,0.0450,0.3627,0.5815,4.5135
41000,6,23,115,801,1100,0,0.0029,0.0112,0.0562,0.3917,0.5379,4.4504
42000,17,30,132,830,1036,0,0.0083,0.0147,0.0645,0.4059,0.5066,4.3878
43000,23,45,163,853,961,0,0.0112,0.0220,0.0797,0.4171,0.4699,4.3125
44000,37,58,194,870,886,1,0.0181,0.0284,0.0949,0.4254,0.4333,4.2274
45000,40,61,205,861,861,12,0.0197,0.0301,0.1011,0.4246,0.4246,4.2041
46000,33,58,188,877,855,23,0.0164,0.0288,0.0935,0.4361,0.4252,4.2248
47000,34,45,181,874,858,34,0.0171,0.0226,0.0909,0.4388,0.4307,4.2435
48000,27,46,197,849,859,43,0.0137,0.0233,0.0996,0.4292,0.4343,4.2472
49000,24,38,180,868,862,58,0.0122,0.0193,0.0913,0.4402,0.4371,4.2708
50000,9,34,173,877,907,32,0.0045,0.0170,0.0865,0.4385,0.4535,4.3195
51000,7,35,187,832,940,36,0.0035,0.0175,0.0935,0.4158,0.4698,4.3308
52000,7,37,184,798,975,28,0.0035,0.0185,0.0920,0.3988,0.4873,4.3478
53000,9,37,166,818,988,20,0.0045,0.0183,0.0823,0.4054,0.4896,4.3573
54000,10,39,189,816,982,6,0.0049,0.0192,0.0928,0.4008,0.4823,4.3364
55000,15,40,192,792,971,22,0.0075,0.0199,0.0955,0.3940,0.4831,4.3254
56000,16,42,191,804,970,21,0.0079,0.0208,0.0944,0.3974,0.4795,4.3198
57000,21,51,210,820,946,0,0.0103,0.0249,0.1025,0.4004,0.4619,4.2788
58000,22,63,253,838,870,0,0.0108,0.0308,0.1237,0.4096,0.4252,4.2077
59000,29,71,281,871,792,0,0.0142,0.0347,0.1375,0.4261,0.3875,4.1380
60000,36,89,319,878,722,1,0.0176,0.0435,0.1561,0.4295,0.3532,4.0572
61000,55,106,359,858,666,0,0.0269,0.0519,0.1756,0.4198,0.3258,3.9658
62000,75,117,408,849,595,0,0.0367,0.0572,0.1996,0.4154,0.2911,3.8669
63000,93,146,449,827,531,0,0.0455,0.0714,0.2195,0.4042,0.2595,3.7610
64000,113,169,492,812,456,1,0.0553,0.0828,0.2409,0.3976,0.2233,3.6508
65000,115,126,433,825,444,70,0.0592,0.0648,0.2229,0.4246,0.2285,3.6984
66000,102,107,394,834,473,95,0.0534,0.0560,0.2063,0.4366,0.2476,3.7691
67000,63,99,371,839,478,144,0.0341,0.0535,0.2005,0.4535,0.2584,3.8486
68000,41,94,339,837,502,167,0.0226,0.0518,0.1870,0.4617,0.2769,3.9184
69000,35,88,300,861,555,152,0.0190,0.0479,0.1631,0.4682,0.3018,3.9859
70000,35,77,288,861,574,147,0.0191,0.0420,0.1569,0.4692,0.3128,4.0147
71000,35,74,277,860,603,152,0.0189,0.0400,0.1498,0.4651,0.3261,4.0395
72000,37,73,274,845,633,143,0.0199,0.0392,0.1472,0.4538,0.3400,4.0548
73000,33,44,239,841,662,167,0.0181,0.0242,0.1314,0.4623,0.3639,4.1297
74000,26,36,247,842,693,154,0.0141,0.0195,0.1339,0.4566,0.3758,4.1605
75000,4,35,220,842,703,172,0.0022,0.0194,0.1220,0.4667,0.3897,4.2223
76000,4,33,207,856,721,161,0.0022,0.0181,0.1137,0.4701,0.3959,4.2394
77000,0,20,190,845,758,160,0.0000,0.0110,0.1048,0.4661,0.4181,4.2912
78000,0,15,149,838,803,181,0.0000,0.0083,0.0825,0.4643,0.4449,4.3457
79000,1,13,139,830,820,167,0.0006,0.0072,0.0771,0.4603,0.4548,4.3616
80000,0,12,119,831,870,151,0.0000,0.0066,0.0650,0.4536,0.4749,4.3968
81000,0,6,92,783,913,169,0.0000,0.0033,0.0513,0.4365,0.5089,4.4509
82000,0,14,84,821,953,140,0.0000,0.0075,0.0449,0.4386,0.5091,4.4493
83000,0,7,97,774,995,127,0.0000,0.0037,0.0518,0.4132,0.5312,4.4720
84000,0,9,87,774,1030,118,0.0000,0.0047,0.0458,0.4074,0.5421,4.4868
85000,0,7,86,792,1093,49,0.0000,0.0035,0.0435,0.4004,0.5526,4.5020
86000,0,9,86,780,1146,20,0.0000,0.0045,0.0426,0.3859,0.5670,4.5156
87000,5,14,102,818,1105,0,0.0024,0.0068,0.0499,0.4002,0.5406,4.4697
88000,12,18,127,846,1041,1,0.0059,0.0088,0.0621,0.4139,0.5093,4.4119
89000,21,26,154,865,976,0,0.0103,0.0127,0.0754,0.4236,0.4780,4.3462
90000,28,40,179,897,904,0,0.0137,0.0195,0.0874,0.4380,0.4414,4.2739
91000,42,61,215,920,808,0,0.0205,0.0298,0.1051,0.4497,0.3949,4.1686
92000,54,73,245,934,736,1,0.0264,0.0357,0.1200,0.4574,0.3604,4.0896
93000,58,82,227,914,742,18,0.0287,0.0405,0.1122,0.4518,0.3668,4.0875
94000,63,75,236,918,727,19,0.0312,0.0371,0.1169,0.4547,0.3601,4.0753
95000,62,73,228,909,755,17,0.0306,0.0360,0.1125,0.4484,0.3725,4.0962
96000,44,70,231,906,752,36,0.0220,0.0349,0.1153,0.4523,0.3754,4.1243
97000,32,62,236,864,796,36,0.0161,0.0312,0.1186,0.4342,0.4000,4.1709
98000,24,47,235,882,804,41,0.0120,0.0236,0.1180,0.4428,0.4036,4.2023
99000,22,37,221,881,818,42,0.0111,0.0187,0.1117,0.4452,0.4133,4.2309
100000,25,39,215,887,836,35,0.0125,0.0195,0.1074,0.4431,0.4176,4.2338
101000,26,41,225,872,852,18,0.0129,0.0203,0.1116,0.4325,0.4226,4.2316
102000,40,53,261,885,807,0,0.0196,0.0259,0.1276,0.4326,0.3944,4.1564
103000,47,69,297,879,754,0,0.0230,0.0337,0.1452,0.4296,0.3685,4.0870
104000,60,84,339,878,679,1,0.0294,0.0412,0.1662,0.4304,0.3328,3.9961
105000,83,101,383,861,615,0,0.0406,0.0494,0.1875,0.4214,0.3010,3.8928
106000,96,124,430,834,563,0,0.0469,0.0606,0.2101,0.4074,0.2750,3.8031
107000,124,144,489,789,499,0,0.0606,0.0704,0.2391,0.3858,0.2440,3.6822
108000,153,173,511,780,424,1,0.0750,0.0848,0.2504,0.3822,0.2077,3.5630
109000,150,142,487,764,421,60,0.0764,0.0723,0.2480,0.3890,0.2144,3.5927
110000,108,141,437,741,420,142,0.0585,0.0763,0.2366,0.4012,0.2274,3.6627
111000,83,133,409,775,438,154,0.0452,0.0724,0.2225,0.4217,0.2383,3.7356
112000,75,110,390,780,456,151,0.0414,0.0607,0.2154,0.4307,0.2518,3.7907
113000,65,94,369,799,511,130,0.0354,0.0511,0.2008,0.4347,0.2780,3.8689
114000,68,91,328,830,564,112,0.0362,0.0484,0.1744,0.4413,0.2998,3.9203
115000,68,91,312,844,583,111,0.0358,0.0479,0.1644,0.4447,0.3072,3.9394
116000,72,94,315,864,628,61,0.0365,0.0476,0.1597,0.4379,0.3183,3.9539
117000,74,88,299,823,647,77,0.0383,0.0456,0.1548,0.4262,0.3351,3.9741
118000,44,66,282,820,700,105,0.0230,0.0345,0.1475,0.4289,0.3661,4.0805
119000,38,67,259,819,743,92,0.0197,0.0348,0.1345,0.4252,0.3858,4.1225
120000,32,58,222,810,796,100,0.0167,0.0302,0.1157,0.4223,0.4150,4.1887
121000,10,51,188,813,852,102,0.0052,0.0266,0.0982,0.4248,0.4451,4.2780
