step,pop1,pop2,pop3,pop4,pop5,fire,share1,share2,share3,share4,share5,meanrung,bank1,bank2,bank3,bank4,bank5,banktot,bankmean
50000,4,15,256,532,525,443,0.0030,0.0113,0.1922,0.3994,0.3941,4.1704,0,0,0,0,0,0,0.0000
51000,0,21,251,600,546,424,0.0000,0.0148,0.1770,0.4231,0.3850,4.1784,0,0,0,0,0,0,0.0000
52000,1,29,211,613,556,436,0.0007,0.0206,0.1496,0.4348,0.3943,4.2014,0,0,0,0,0,0,0.0000
53000,0,22,182,612,604,429,0.0000,0.0155,0.1282,0.4310,0.4254,4.2662,0,0,0,0,0,0,0.0000
54000,2,14,178,604,641,418,0.0014,0.0097,0.1237,0.4197,0.4454,4.2981,0,0,0,0,0,0,0.0000
55000,2,32,158,624,667,395,0.0013,0.0216,0.1065,0.4208,0.4498,4.2960,0,0,0,0,0,0,0.0000
56000,0,18,122,664,688,394,0.0000,0.0121,0.0818,0.4450,0.4611,4.3552,0,0,0,0,0,0,0.0000
57000,0,11,113,676,717,374,0.0000,0.0073,0.0745,0.4456,0.4726,4.3837,0,0,0,0,0,0,0.0000
58000,0,7,104,653,775,371,0.0000,0.0045,0.0676,0.4243,0.5036,4.4269,0,0,0,0,0,0,0.0000
59000,1,10,100,669,798,305,0.0006,0.0063,0.0634,0.4240,0.5057,4.4278,0,0,0,0,0,0,0.0000
60000,0,9,95,686,849,278,0.0000,0.0055,0.0580,0.4185,0.5180,4.4491,0,0,0,0,0,0,0.0000
61000,0,5,95,667,930,240,0.0000,0.0029,0.0560,0.3930,0.5480,4.4862,0,0,0,0,0,0,0.0000
62000,0,7,88,678,980,200,0.0000,0.0040,0.0502,0.3868,0.5590,4.5009,0,0,0,0,0,0,0.0000
63000,2,4,87,644,1068,180,0.0011,0.0022,0.0482,0.3568,0.5917,4.5357,0,0,0,0,0,0,0.0000
64000,2,6,82,629,1141,131,0.0011,0.0032,0.0441,0.3382,0.6134,4.5597,0,0,0,0,0,0,0.0000
65000,2,12,80,664,1200,67,0.0010,0.0061,0.0409,0.3391,0.6129,4.5567,0,0,0,0,0,0,0.0000
66000,2,8,92,669,1220,38,0.0010,0.0040,0.0462,0.3360,0.6128,4.5555,0,0,0,0,0,0,0.0000
67000,2,14,95,672,1239,21,0.0010,0.0069,0.0470,0.3323,0.6128,4.5490,0,0,0,0,0,0,0.0000
68000,2,18,106,680,1221,13,0.0010,0.0089,0.0523,0.3355,0.6024,4.5294,0,0,0,0,0,0,0.0000
69000,7,23,118,711,1177,5,0.0034,0.0113,0.0580,0.3492,0.5781,4.4872,0,0,0,0,0,0,0.0000
70000,9,28,136,742,1129,0,0.0044,0.0137,0.0665,0.3630,0.5523,4.4452,0,0,0,0,0,0,0.0000
71000,10,42,160,762,1074,0,0.0049,0.0205,0.0781,0.3721,0.5244,4.3906,0,0,0,0,0,0,0.0000
72000,16,49,186,798,993,0,0.0078,0.0240,0.0911,0.3908,0.4863,4.3237,0,0,0,0,0,0,0.0000
73000,24,73,214,815,918,0,0.0117,0.0357,0.1047,0.3987,0.4491,4.2378,0,0,0,0,0,0,0.0000
74000,30,87,248,832,849,0,0.0147,0.0425,0.1212,0.4066,0.4150,4.1647,0,0,0,0,0,0,0.0000
75000,40,110,279,853,764,0,0.0196,0.0538,0.1364,0.4169,0.3734,4.0709,0,0,0,0,0,0,0.0000
76000,55,130,318,859,684,0,0.0269,0.0635,0.1554,0.4198,0.3343,3.9712,0,0,0,0,0,0,0.0000
77000,74,169,351,849,603,0,0.0362,0.0826,0.1716,0.4150,0.2947,3.8495,0,0,0,0,0,0,0.0000
78000,102,205,375,813,551,0,0.0499,0.1002,0.1833,0.3974,0.2693,3.7361,0,0,0,0,0,0,0.0000
79000,132,244,417,782,469,0,0.0646,0.1194,0.2040,0.3826,0.2295,3.5930,0,0,0,0,0,0,0.0000
80000,160,295,458,735,398,0,0.0782,0.1442,0.2239,0.3592,0.1945,3.4477,0,0,0,0,0,0,0.0000
81000,197,346,479,691,335,0,0.0962,0.1689,0.2339,0.3374,0.1636,3.3032,0,0,0,0,0,0,0.0000
82000,240,391,489,624,302,0,0.1173,0.1911,0.2390,0.3050,0.1476,3.1745,0,0,0,0,0,0,0.0000
83000,278,442,522,576,226,0,0.1360,0.2162,0.2554,0.2818,0.1106,3.0147,0,0,0,0,0,0,0.0000
84000,314,490,532,529,181,0,0.1535,0.2395,0.2600,0.2586,0.0885,2.8891,0,0,0,0,0,0,0.0000
85000,380,533,541,466,126,0,0.1857,0.2605,0.2644,0.2278,0.0616,2.7190,0,0,0,0,0,0,0.0000
86000,443,582,552,382,89,0,0.2163,0.2842,0.2695,0.1865,0.0435,2.5566,0,0,0,0,0,0,0.0000
87000,504,633,549,306,56,0,0.2461,0.3091,0.2681,0.1494,0.0273,2.4028,0,0,0,0,0,0,0.0000
88000,602,657,519,227,41,0,0.2942,0.3211,0.2537,0.1109,0.0200,2.2414,0,0,0,0,0,0,0.0000
89000,687,695,470,169,27,0,0.3354,0.3394,0.2295,0.0825,0.0132,2.0986,0,0,0,0,0,0,0.0000
90000,799,709,424,104,12,0,0.3901,0.3462,0.2070,0.0508,0.0059,1.9360,0,0,0,0,0,0,0.0000
91000,893,731,344,71,7,0,0.4365,0.3573,0.1681,0.0347,0.0034,1.8113,0,0,0,0,0,0,0.0000
92000,999,723,278,45,3,0,0.4878,0.3530,0.1357,0.0220,0.0015,1.6963,0,0,0,0,0,0,0.0000
93000,1093,710,216,28,1,0,0.5337,0.3467,0.1055,0.0137,0.0005,1.6006,0,0,0,0,0,0,0.0000
94000,1194,687,147,19,1,0,0.5830,0.3354,0.0718,0.0093,0.0005,1.5088,0,0,0,0,0,0,0.0000
95000,1297,646,96,9,0,0,0.6333,0.3154,0.0469,0.0044,0.0000,1.4224,0,0,0,0,0,0,0.0000
