cond,seed,events,score,pop1,pop2,pop3,pop4,pop5,fire,meanrung,banktot,recon
p32000,1,300000,1695,19,81,238,342,349,608,3.8950,68,ok
p32000,2,300000,1548,18,76,253,259,199,685,3.6770,68,ok
p32000,3,300000,2038,1970,72,1,0,0,0,1.0362,5,ok
p32000,4,300000,1625,7,53,243,323,351,586,3.9806,72,ok
p32000,5,300000,2036,296,231,434,700,339,0,3.2775,46,ok
p32000,6,300000,2038,651,453,502,340,78,0,2.3780,24,ok
