step,pop1,pop2,pop3,pop4,pop5,fire,share1,share2,share3,share4,share5,meanrung
1000,507,202,149,57,55,16,0.5227,0.2082,0.1536,0.0588,0.0567,1.9186
2000,902,395,274,97,88,95,0.5137,0.2249,0.1560,0.0552,0.0501,1.9032
3000,636,350,288,119,98,462,0.4266,0.2347,0.1932,0.0798,0.0657,2.1234
4000,313,236,285,120,103,731,0.2961,0.2233,0.2696,0.1135,0.0974,2.4929
5000,97,141,278,118,112,856,0.1300,0.1890,0.3727,0.1582,0.1501,3.0094
6000,30,53,240,120,129,801,0.0524,0.0927,0.4196,0.2098,0.2255,3.4633
7000,11,35,247,164,180,631,0.0173,0.0549,0.3878,0.2575,0.2826,3.7331
8000,7,52,267,223,228,604,0.0090,0.0669,0.3436,0.2870,0.2934,3.7889
9000,14,58,221,278,289,570,0.0163,0.0674,0.2570,0.3233,0.3360,3.8953
10000,31,78,211,348,331,557,0.0310,0.0781,0.2112,0.3483,0.3313,3.8709
11000,34,54,228,394,385,583,0.0311,0.0493,0.2082,0.3598,0.3516,3.9516
12000,34,47,218,403,408,586,0.0306,0.0423,0.1964,0.3631,0.3676,3.9946
13000,16,56,222,441,448,531,0.0135,0.0473,0.1877,0.3728,0.3787,4.0558
14000,1,55,220,469,481,515,0.0008,0.0449,0.1794,0.3825,0.3923,4.1207
15000,4,26,212,502,532,511,0.0031,0.0204,0.1661,0.3934,0.4169,4.2006
16000,0,14,197,530,574,493,0.0000,0.0106,0.1498,0.4030,0.4365,4.2654
17000,0,6,171,547,617,473,0.0000,0.0045,0.1275,0.4079,0.4601,4.3236
18000,0,12,178,591,672,384,0.0000,0.0083,0.1225,0.4067,0.4625,4.3235
19000,1,16,157,569,744,377,0.0007,0.0108,0.1056,0.3826,0.5003,4.3712
20000,2,16,151,580,773,350,0.0013,0.0105,0.0992,0.3811,0.5079,4.3837
21000,4,13,158,602,810,315,0.0025,0.0082,0.0996,0.3793,0.5104,4.3869
22000,3,12,145,647,876,267,0.0018,0.0071,0.0862,0.3844,0.5205,4.4147
23000,3,7,117,649,920,248,0.0018,0.0041,0.0690,0.3827,0.5425,4.4599
24000,0,4,102,669,995,181,0.0000,0.0023,0.0576,0.3780,0.5621,4.5000
25000,2,4,98,683,1049,162,0.0011,0.0022,0.0534,0.3720,0.5714,4.5103
26000,3,5,89,659,1089,144,0.0016,0.0027,0.0482,0.3572,0.5902,4.5317
27000,3,6,84,668,1137,109,0.0016,0.0032,0.0443,0.3519,0.5991,4.5437
28000,4,3,84,637,1176,98,0.0021,0.0016,0.0441,0.3346,0.6176,4.5641
29000,1,3,85,632,1212,85,0.0005,0.0016,0.0440,0.3270,0.6270,4.5784
30000,1,4,79,636,1258,57,0.0005,0.0020,0.0399,0.3215,0.6360,4.5905
31000,2,4,77,616,1300,37,0.0010,0.0020,0.0385,0.3082,0.6503,4.6048
32000,2,4,71,615,1343,8,0.0010,0.0020,0.0349,0.3022,0.6600,4.6182
33000,3,5,65,647,1310,11,0.0015,0.0025,0.0320,0.3187,0.6453,4.6039
34000,4,9,73,663,1294,2,0.0020,0.0044,0.0357,0.3245,0.6334,4.5830
35000,4,17,90,697,1236,1,0.0020,0.0083,0.0440,0.3410,0.6047,4.5382
36000,7,26,111,723,1176,1,0.0034,0.0127,0.0543,0.3539,0.5756,4.4856
37000,12,30,136,735,1123,9,0.0059,0.0147,0.0668,0.3610,0.5516,4.4376
38000,14,31,143,744,1097,13,0.0069,0.0153,0.0705,0.3667,0.5407,4.4189
39000,3,27,156,764,1079,13,0.0015,0.0133,0.0769,0.3765,0.5318,4.4239
40000,4,27,188,782,1030,13,0.0020,0.0133,0.0926,0.3850,0.5071,4.3821
41000,6,32,207,819,978,1,0.0029,0.0157,0.1014,0.4011,0.4789,4.3374
42000,14,45,248,805,924,9,0.0069,0.0221,0.1218,0.3954,0.4538,4.2672
43000,12,42,214,819,903,40,0.0060,0.0211,0.1075,0.4116,0.4538,4.2859
44000,12,32,195,817,938,37,0.0060,0.0160,0.0978,0.4097,0.4704,4.3225
45000,10,38,151,809,952,64,0.0051,0.0194,0.0770,0.4128,0.4857,4.3546
46000,5,31,146,787,968,85,0.0026,0.0160,0.0754,0.4063,0.4997,4.3846
47000,1,22,141,767,992,91,0.0005,0.0114,0.0733,0.3989,0.5159,4.4181
48000,1,22,134,767,1010,85,0.0005,0.0114,0.0693,0.3966,0.5222,4.4286
49000,1,22,122,746,1055,71,0.0005,0.0113,0.0627,0.3834,0.5421,4.4553
50000,2,24,119,718,1098,49,0.0010,0.0122,0.0607,0.3661,0.5599,4.4717
51000,5,25,117,741,1121,28,0.0025,0.0124,0.0582,0.3688,0.5580,4.4674
52000,6,26,120,732,1112,29,0.0030,0.0130,0.0601,0.3667,0.5571,4.4619
53000,8,25,115,733,1123,32,0.0040,0.0125,0.0574,0.3658,0.5604,4.4661
54000,6,15,107,728,1128,48,0.0030,0.0076,0.0539,0.3669,0.5685,4.4904
55000,6,8,95,757,1103,49,0.0030,0.0041,0.0482,0.3845,0.5602,4.4947
56000,5,1,103,720,1139,64,0.0025,0.0005,0.0523,0.3659,0.5788,4.5178
57000,5,6,114,729,1159,26,0.0025,0.0030,0.0566,0.3621,0.5758,4.5057
58000,5,5,114,740,1160,19,0.0025,0.0025,0.0563,0.3656,0.5731,4.5044
59000,9,7,114,757,1136,13,0.0044,0.0035,0.0564,0.3742,0.5615,4.4849
60000,9,11,121,768,1127,7,0.0044,0.0054,0.0594,0.3772,0.5535,4.4700
61000,16,11,121,740,1137,15,0.0079,0.0054,0.0598,0.3654,0.5615,4.4672
62000,16,10,123,739,1148,5,0.0079,0.0049,0.0604,0.3630,0.5639,4.4700
63000,12,14,130,736,1142,9,0.0059,0.0069,0.0639,0.3618,0.5615,4.4661
64000,14,16,141,741,1120,11,0.0069,0.0079,0.0694,0.3647,0.5512,4.4454
65000,18,22,160,748,1092,1,0.0088,0.0108,0.0784,0.3667,0.5353,4.4088
66000,32,28,193,774,1015,1,0.0157,0.0137,0.0945,0.3790,0.4971,4.3281
67000,17,21,211,799,981,15,0.0084,0.0103,0.1040,0.3938,0.4835,4.3337
68000,20,22,205,787,991,16,0.0099,0.0109,0.1012,0.3886,0.4894,4.3368
69000,10,23,195,802,1006,7,0.0049,0.0113,0.0958,0.3939,0.4941,4.3610
70000,12,26,206,798,974,19,0.0060,0.0129,0.1022,0.3958,0.4831,4.3373
71000,14,30,203,775,982,34,0.0070,0.0150,0.1013,0.3867,0.4900,4.3378
72000,15,33,200,767,930,65,0.0077,0.0170,0.1028,0.3943,0.4781,4.3183
73000,13,34,173,766,972,68,0.0066,0.0174,0.0884,0.3912,0.4964,4.3534
74000,11,29,178,768,991,49,0.0056,0.0147,0.0900,0.3885,0.5013,4.3652
75000,5,16,155,779,1009,59,0.0025,0.0081,0.0789,0.3966,0.5137,4.4109
76000,4,16,141,776,1035,49,0.0020,0.0081,0.0715,0.3935,0.5248,4.4310
77000,4,17,139,767,1048,52,0.0020,0.0086,0.0704,0.3884,0.5306,4.4370
78000,4,17,133,781,1051,42,0.0020,0.0086,0.0670,0.3933,0.5292,4.4391
79000,2,17,95,779,1086,54,0.0010,0.0086,0.0480,0.3936,0.5488,4.4805
80000,5,18,97,761,1118,29,0.0025,0.0090,0.0485,0.3807,0.5593,4.4852
81000,7,17,91,756,1140,25,0.0035,0.0085,0.0453,0.3759,0.5669,4.4943
82000,9,14,91,761,1153,13,0.0044,0.0069,0.0449,0.3752,0.5685,4.4965
83000,9,17,94,759,1152,10,0.0044,0.0084,0.0463,0.3737,0.5672,4.4909
84000,9,14,98,753,1143,21,0.0045,0.0069,0.0486,0.3733,0.5667,4.4908
85000,8,11,90,760,1150,16,0.0040,0.0054,0.0446,0.3764,0.5696,4.5022
86000,13,12,113,750,1140,14,0.0064,0.0059,0.0557,0.3698,0.5621,4.4753
87000,18,13,131,749,1122,11,0.0089,0.0064,0.0644,0.3684,0.5519,4.4481
88000,21,18,138,750,1110,8,0.0103,0.0088,0.0677,0.3682,0.5449,4.4286
89000,19,19,143,753,1098,13,0.0094,0.0094,0.0704,0.3706,0.5404,4.4232
90000,23,19,144,757,1071,20,0.0114,0.0094,0.0715,0.3759,0.5318,4.4071
91000,26,22,163,770,1062,1,0.0127,0.0108,0.0798,0.3769,0.5198,4.3803
92000,34,31,173,794,1000,9,0.0167,0.0153,0.0851,0.3907,0.4921,4.3263
93000,7,18,175,797,1013,24,0.0035,0.0090,0.0871,0.3965,0.5040,4.3886
94000,8,18,200,825,983,9,0.0039,0.0088,0.0983,0.4056,0.4833,4.3555
95000,9,17,227,837,945,8,0.0044,0.0084,0.1115,0.4113,0.4644,4.3229
96000,12,25,237,859,872,26,0.0060,0.0125,0.1182,0.4284,0.4349,4.2738
97000,14,27,248,872,868,11,0.0069,0.0133,0.1222,0.4298,0.4278,4.2583
98000,20,33,265,871,840,12,0.0099,0.0163,0.1306,0.4293,0.4140,4.2213
99000,5,34,279,852,854,16,0.0025,0.0168,0.1378,0.4209,0.4219,4.2431
100000,6,36,290,823,859,26,0.0030,0.0179,0.1440,0.4086,0.4265,4.2378
101000,4,41,278,798,880,32,0.0020,0.0205,0.1389,0.3988,0.4398,4.2539
102000,4,38,251,757,923,52,0.0020,0.0193,0.1272,0.3837,0.4678,4.2960
103000,4,24,227,754,959,56,0.0020,0.0122,0.1153,0.3831,0.4873,4.3415
104000,5,24,216,761,964,52,0.0025,0.0122,0.1096,0.3863,0.4893,4.3477
105000,3,20,214,748,1008,39,0.0015,0.0100,0.1074,0.3753,0.5058,4.3738
106000,3,15,173,747,1020,60,0.0015,0.0077,0.0884,0.3815,0.5209,4.4127
107000,0,6,138,726,1086,73,0.0000,0.0031,0.0706,0.3712,0.5552,4.4785
108000,0,9,135,682,1123,63,0.0000,0.0046,0.0693,0.3499,0.5762,4.4977
109000,0,9,133,705,1157,29,0.0000,0.0045,0.0664,0.3518,0.5773,4.5020
110000,0,10,126,673,1183,40,0.0000,0.0050,0.0633,0.3379,0.5939,4.5206
111000,0,11,121,680,1209,22,0.0000,0.0054,0.0599,0.3365,0.5982,4.5275
112000,0,12,131,700,1199,3,0.0000,0.0059,0.0642,0.3428,0.5872,4.5113
113000,1,19,141,691,1191,1,0.0005,0.0093,0.0690,0.3382,0.5830,4.4939
