step,pop1,pop2,pop3,pop4,pop5,fire,share1,share2,share3,share4,share5,meanrung
70000,12,12,134,856,970,37,0.0060,0.0060,0.0675,0.4315,0.4889,4.3911
71000,13,14,137,874,977,25,0.0065,0.0069,0.0680,0.4337,0.4849,4.3836
72000,14,18,150,850,962,33,0.0070,0.0090,0.0752,0.4263,0.4824,4.3681
73000,14,7,147,842,993,28,0.0070,0.0035,0.0734,0.4204,0.4958,4.3944
74000,17,5,148,847,998,18,0.0084,0.0025,0.0734,0.4203,0.4953,4.3916
75000,18,7,147,839,977,44,0.0091,0.0035,0.0739,0.4220,0.4914,4.3833
76000,19,8,131,820,1008,48,0.0096,0.0040,0.0660,0.4129,0.5076,4.4048
77000,19,12,117,830,1013,39,0.0095,0.0060,0.0588,0.4169,0.5088,4.4093
78000,9,13,121,773,1009,88,0.0047,0.0068,0.0629,0.4016,0.5242,4.4338
79000,3,10,98,770,1010,117,0.0016,0.0053,0.0518,0.4072,0.5341,4.4669
80000,3,10,104,776,1022,101,0.0016,0.0052,0.0543,0.4052,0.5337,4.4642
81000,6,11,94,757,1088,57,0.0031,0.0056,0.0481,0.3870,0.5562,4.4877
82000,6,11,102,784,1109,25,0.0030,0.0055,0.0507,0.3897,0.5512,4.4806
83000,4,14,117,787,1114,5,0.0020,0.0069,0.0575,0.3865,0.5472,4.4700
84000,6,26,142,837,1018,11,0.0030,0.0128,0.0700,0.4125,0.5017,4.3972
85000,7,21,164,870,981,1,0.0034,0.0103,0.0803,0.4258,0.4802,4.3691
86000,12,20,164,862,947,34,0.0060,0.0100,0.0818,0.4299,0.4723,4.3526
87000,13,22,167,853,945,33,0.0065,0.0110,0.0835,0.4265,0.4725,4.3475
88000,14,22,177,874,936,15,0.0069,0.0109,0.0875,0.4320,0.4627,4.3327
89000,14,25,194,873,916,20,0.0069,0.0124,0.0959,0.4318,0.4530,4.3116
90000,13,23,174,860,916,41,0.0065,0.0116,0.0876,0.4330,0.4612,4.3308
91000,7,21,169,831,911,74,0.0036,0.0108,0.0872,0.4286,0.4698,4.3502
92000,2,12,156,828,918,82,0.0010,0.0063,0.0814,0.4322,0.4791,4.3820
93000,2,9,154,815,963,79,0.0010,0.0046,0.0793,0.4195,0.4956,4.4040
94000,2,14,145,807,1009,52,0.0010,0.0071,0.0733,0.4082,0.5104,4.4198
95000,1,11,136,811,1015,61,0.0005,0.0056,0.0689,0.4108,0.5142,4.4326
96000,2,13,131,777,1041,68,0.0010,0.0066,0.0667,0.3956,0.5300,4.4470
97000,4,15,141,795,1057,28,0.0020,0.0075,0.0701,0.3951,0.5253,4.4344
98000,6,20,137,786,1052,38,0.0030,0.0100,0.0685,0.3928,0.5257,4.4283
99000,6,17,135,782,1046,43,0.0030,0.0086,0.0680,0.3938,0.5267,4.4325
100000,6,22,128,765,1072,35,0.0030,0.0110,0.0642,0.3838,0.5379,4.4425
101000,8,23,113,742,1106,43,0.0040,0.0115,0.0567,0.3725,0.5552,4.4634
102000,8,33,108,701,1127,47,0.0040,0.0167,0.0546,0.3546,0.5701,4.4699
103000,12,34,115,716,1149,11,0.0059,0.0168,0.0568,0.3534,0.5671,4.4590
104000,16,35,130,727,1133,5,0.0078,0.0171,0.0637,0.3562,0.5551,4.4336
105000,24,41,160,758,1063,1,0.0117,0.0200,0.0782,0.3705,0.5196,4.3661
106000,39,46,196,770,994,1,0.0191,0.0225,0.0958,0.3765,0.4861,4.2880
107000,40,46,182,776,966,22,0.0199,0.0229,0.0905,0.3861,0.4806,4.2846
108000,35,42,169,756,975,55,0.0177,0.0212,0.0855,0.3824,0.4932,4.3121
109000,35,37,170,743,980,57,0.0178,0.0188,0.0865,0.3781,0.4987,4.3211
110000,27,28,137,727,1005,78,0.0140,0.0146,0.0712,0.3779,0.5223,4.3799
111000,33,27,134,753,1044,47,0.0166,0.0136,0.0673,0.3782,0.5244,4.3802
112000,23,24,150,746,1050,38,0.0115,0.0120,0.0753,0.3743,0.5268,4.3929
113000,12,23,155,746,1064,35,0.0060,0.0115,0.0775,0.3730,0.5320,4.4135
114000,11,18,163,744,1071,28,0.0055,0.0090,0.0812,0.3707,0.5336,4.4180
115000,11,19,155,748,1067,31,0.0055,0.0095,0.0775,0.3740,0.5335,4.4205
116000,12,24,148,737,1112,10,0.0059,0.0118,0.0728,0.3625,0.5470,4.4329
117000,15,30,179,777,1037,1,0.0074,0.0147,0.0878,0.3813,0.5088,4.3695
