step,pop1,pop2,pop3,pop4,pop5,fire,share1,share2,share3,share4,share5,meanrung
70000,27,118,286,960,653,0,0.0132,0.0577,0.1399,0.4697,0.3195,4.0245
71000,38,136,330,949,593,0,0.0186,0.0665,0.1613,0.4638,0.2898,3.9399
72000,48,164,362,931,539,1,0.0235,0.0802,0.1771,0.4555,0.2637,3.8557
73000,64,196,404,921,462,0,0.0313,0.0957,0.1974,0.4499,0.2257,3.7430
74000,75,228,443,933,368,0,0.0366,0.1114,0.2164,0.4558,0.1798,3.6307
75000,89,278,479,899,302,0,0.0435,0.1358,0.2340,0.4392,0.1475,3.5115
76000,114,329,499,844,261,1,0.0557,0.1607,0.2438,0.4123,0.1275,3.3952
77000,120,335,495,813,265,15,0.0592,0.1652,0.2441,0.4009,0.1307,3.3787
78000,100,296,437,794,273,118,0.0526,0.1558,0.2300,0.4179,0.1437,3.4442
79000,75,255,406,793,277,166,0.0415,0.1412,0.2248,0.4391,0.1534,3.5216
80000,70,215,374,768,300,238,0.0405,0.1245,0.2166,0.4447,0.1737,3.5866
81000,65,182,337,732,307,303,0.0400,0.1121,0.2076,0.4510,0.1892,3.6371
82000,35,140,305,726,350,321,0.0225,0.0900,0.1960,0.4666,0.2249,3.7815
83000,19,112,293,754,387,322,0.0121,0.0716,0.1872,0.4818,0.2473,3.8805
84000,7,95,301,780,418,300,0.0044,0.0593,0.1880,0.4872,0.2611,3.9413
85000,5,76,289,806,440,309,0.0031,0.0470,0.1788,0.4988,0.2723,3.9901
86000,6,68,235,793,465,330,0.0038,0.0434,0.1500,0.5061,0.2967,4.0485
87000,5,55,234,813,490,299,0.0031,0.0344,0.1465,0.5091,0.3068,4.0820
88000,6,40,211,817,524,318,0.0038,0.0250,0.1320,0.5113,0.3279,4.1345
89000,13,40,169,788,557,342,0.0083,0.0255,0.1078,0.5029,0.3555,4.1717
90000,4,35,145,798,595,333,0.0025,0.0222,0.0919,0.5060,0.3773,4.2334
91000,5,31,140,810,630,313,0.0031,0.0192,0.0866,0.5012,0.3899,4.2556
92000,1,22,134,787,663,311,0.0006,0.0137,0.0834,0.4897,0.4126,4.2999
93000,2,14,116,819,687,300,0.0012,0.0085,0.0708,0.5000,0.4194,4.3278
94000,0,11,98,806,717,304,0.0000,0.0067,0.0600,0.4939,0.4393,4.3658
95000,2,13,87,837,768,237,0.0012,0.0076,0.0510,0.4903,0.4499,4.3802
96000,1,12,90,814,814,229,0.0006,0.0069,0.0520,0.4702,0.4702,4.4027
97000,1,7,79,800,868,191,0.0006,0.0040,0.0450,0.4558,0.4946,4.4399
98000,0,8,62,783,907,213,0.0000,0.0045,0.0352,0.4449,0.5153,4.4710
99000,1,8,69,785,948,157,0.0006,0.0044,0.0381,0.4335,0.5235,4.4749
100000,1,5,77,804,1007,103,0.0005,0.0026,0.0407,0.4245,0.5317,4.4842
