step,pop1,pop2,pop3,pop4,pop5,fire,share1,share2,share3,share4,share5,meanrung
1000,551,205,95,88,31,17,0.5680,0.2113,0.0979,0.0907,0.0320,1.8072
2000,960,447,175,143,60,73,0.5378,0.2504,0.0980,0.0801,0.0336,1.8213
3000,707,420,198,156,76,378,0.4541,0.2697,0.1272,0.1002,0.0488,2.0199
4000,451,293,181,144,76,643,0.3939,0.2559,0.1581,0.1258,0.0664,2.2148
5000,242,163,174,151,80,793,0.2988,0.2012,0.2148,0.1864,0.0988,2.5852
6000,103,101,163,166,91,832,0.1651,0.1619,0.2612,0.2660,0.1458,3.0657
7000,28,87,158,170,107,774,0.0509,0.1582,0.2873,0.3091,0.1945,3.4382
8000,24,68,175,202,132,728,0.0399,0.1131,0.2912,0.3361,0.2196,3.5824
9000,28,67,185,250,173,674,0.0398,0.0953,0.2632,0.3556,0.2461,3.6728
10000,34,59,213,289,227,643,0.0414,0.0718,0.2591,0.3516,0.2762,3.7494
11000,12,60,219,325,281,624,0.0134,0.0669,0.2441,0.3623,0.3133,3.8952
12000,21,67,226,380,334,598,0.0204,0.0652,0.2198,0.3696,0.3249,3.9134
13000,27,52,236,423,383,604,0.0241,0.0464,0.2105,0.3773,0.3417,3.9661
14000,18,43,229,451,404,605,0.0157,0.0376,0.2000,0.3939,0.3528,4.0306
15000,3,33,196,447,440,629,0.0027,0.0295,0.1752,0.3995,0.3932,4.1510
16000,8,46,199,436,476,576,0.0069,0.0395,0.1708,0.3742,0.4086,4.1382
17000,3,33,187,460,525,573,0.0025,0.0273,0.1548,0.3808,0.4346,4.2177
18000,8,30,149,440,590,549,0.0066,0.0247,0.1224,0.3615,0.4848,4.2933
19000,6,20,156,444,652,489,0.0047,0.0156,0.1221,0.3474,0.5102,4.3427
20000,3,16,152,466,714,430,0.0022,0.0118,0.1125,0.3449,0.5285,4.3856
21000,2,11,124,499,792,421,0.0014,0.0077,0.0868,0.3494,0.5546,4.4482
22000,4,15,128,524,869,330,0.0026,0.0097,0.0831,0.3403,0.5643,4.4539
23000,1,18,122,509,929,320,0.0006,0.0114,0.0773,0.3224,0.5883,4.4864
24000,1,18,118,530,987,267,0.0006,0.0109,0.0713,0.3204,0.5967,4.5018
25000,2,13,85,549,1041,259,0.0012,0.0077,0.0503,0.3249,0.6160,4.5467
26000,0,9,95,551,1107,199,0.0000,0.0051,0.0539,0.3127,0.6283,4.5641
27000,1,9,87,536,1147,194,0.0006,0.0051,0.0489,0.3011,0.6444,4.5837
28000,1,8,91,555,1189,142,0.0005,0.0043,0.0493,0.3010,0.6448,4.5851
29000,2,7,85,559,1219,128,0.0011,0.0037,0.0454,0.2986,0.6512,4.5951
30000,2,8,98,567,1255,73,0.0010,0.0041,0.0508,0.2938,0.6503,4.5881
31000,2,13,96,583,1280,51,0.0010,0.0066,0.0486,0.2953,0.6484,4.5836
32000,3,21,102,604,1289,22,0.0015,0.0104,0.0505,0.2992,0.6384,4.5627
33000,6,26,115,608,1283,3,0.0029,0.0128,0.0564,0.2983,0.6295,4.5388
34000,8,39,152,665,1176,1,0.0039,0.0191,0.0745,0.3260,0.5765,4.4520
35000,12,46,186,677,1106,13,0.0059,0.0227,0.0918,0.3340,0.5456,4.3907
36000,19,41,186,668,1092,30,0.0095,0.0204,0.0927,0.3330,0.5444,4.3824
37000,20,43,188,649,1083,49,0.0101,0.0217,0.0948,0.3273,0.5461,4.3777
38000,21,40,180,645,1116,30,0.0105,0.0200,0.0899,0.3222,0.5574,4.3961
39000,14,35,196,657,1101,34,0.0070,0.0175,0.0979,0.3280,0.5497,4.3959
40000,15,40,197,673,1092,21,0.0074,0.0198,0.0977,0.3337,0.5414,4.3818
41000,16,46,183,687,1074,30,0.0080,0.0229,0.0912,0.3425,0.5354,4.3744
42000,20,48,202,695,1067,14,0.0098,0.0236,0.0994,0.3420,0.5251,4.3489
43000,22,49,230,678,1043,16,0.0109,0.0242,0.1137,0.3353,0.5158,4.3210
44000,27,62,241,697,1002,12,0.0133,0.0306,0.1188,0.3435,0.4938,4.2740
45000,33,78,243,676,996,16,0.0163,0.0385,0.1199,0.3337,0.4916,4.2458
46000,45,88,250,666,969,18,0.0223,0.0436,0.1239,0.3300,0.4802,4.2022
47000,40,99,266,671,969,2,0.0196,0.0484,0.1301,0.3281,0.4738,4.1883
48000,34,83,266,668,943,36,0.0171,0.0416,0.1334,0.3350,0.4729,4.2051
49000,36,70,252,635,940,84,0.0186,0.0362,0.1304,0.3285,0.4863,4.2276
50000,25,63,236,619,968,103,0.0131,0.0330,0.1235,0.3239,0.5065,4.2779
51000,11,47,204,617,1011,107,0.0058,0.0249,0.1079,0.3265,0.5349,4.3598
52000,10,50,195,601,1041,101,0.0053,0.0264,0.1028,0.3168,0.5488,4.3774
53000,8,52,177,598,1106,78,0.0041,0.0268,0.0912,0.3081,0.5698,4.4127
54000,9,51,180,583,1109,88,0.0047,0.0264,0.0932,0.3018,0.5740,4.4141
55000,9,46,167,606,1146,47,0.0046,0.0233,0.0846,0.3070,0.5805,4.4357
56000,8,45,173,635,1163,14,0.0040,0.0222,0.0855,0.3137,0.5746,4.4328
57000,5,44,169,627,1172,20,0.0025,0.0218,0.0838,0.3109,0.5811,4.4462
58000,5,47,175,630,1153,24,0.0025,0.0234,0.0871,0.3134,0.5736,4.4323
59000,4,36,162,640,1176,20,0.0020,0.0178,0.0803,0.3171,0.5828,4.4609
60000,6,35,168,633,1167,29,0.0030,0.0174,0.0836,0.3151,0.5809,4.4535
61000,7,39,170,611,1165,35,0.0035,0.0196,0.0853,0.3067,0.5848,4.4498
62000,11,43,172,621,1147,47,0.0055,0.0216,0.0863,0.3114,0.5752,4.4293
63000,8,41,161,609,1168,48,0.0040,0.0206,0.0810,0.3065,0.5878,4.4534
64000,10,45,170,650,1150,15,0.0049,0.0222,0.0840,0.3210,0.5679,4.4247
65000,13,50,163,641,1131,29,0.0065,0.0250,0.0816,0.3208,0.5661,4.4149
66000,11,50,186,631,1148,12,0.0054,0.0247,0.0918,0.3115,0.5666,4.4092
67000,13,64,223,632,1110,1,0.0064,0.0313,0.1092,0.3095,0.5436,4.3526
68000,20,76,259,640,1048,1,0.0098,0.0372,0.1268,0.3133,0.5130,4.2824
69000,26,78,266,671,971,25,0.0129,0.0388,0.1322,0.3335,0.4826,4.2341
70000,29,73,248,651,984,46,0.0146,0.0368,0.1249,0.3280,0.4957,4.2534
71000,29,67,238,660,992,47,0.0146,0.0337,0.1198,0.3323,0.4995,4.2684
72000,30,81,229,654,1010,29,0.0150,0.0404,0.1143,0.3263,0.5040,4.2640
73000,29,70,215,659,1020,34,0.0146,0.0351,0.1079,0.3307,0.5118,4.2900
74000,24,58,209,662,1025,49,0.0121,0.0293,0.1057,0.3347,0.5182,4.3175
75000,24,55,207,671,1030,43,0.0121,0.0277,0.1042,0.3377,0.5184,4.3226
76000,23,60,190,635,1053,57,0.0117,0.0306,0.0969,0.3238,0.5370,4.3437
77000,17,45,172,639,1072,73,0.0087,0.0231,0.0884,0.3285,0.5512,4.3902
78000,16,40,160,619,1094,77,0.0083,0.0207,0.0829,0.3209,0.5671,4.4178
79000,3,39,165,621,1132,60,0.0015,0.0199,0.0842,0.3168,0.5776,4.4490
80000,5,47,148,623,1166,40,0.0025,0.0236,0.0744,0.3132,0.5862,4.4570
81000,5,35,150,607,1172,55,0.0025,0.0178,0.0762,0.3083,0.5952,4.4759
82000,5,35,166,616,1190,22,0.0025,0.0174,0.0825,0.3062,0.5915,4.4667
83000,7,41,178,635,1159,20,0.0035,0.0203,0.0881,0.3144,0.5738,4.4347
84000,5,43,196,610,1165,21,0.0025,0.0213,0.0971,0.3021,0.5770,4.4299
85000,6,50,197,634,1156,2,0.0029,0.0245,0.0964,0.3103,0.5658,4.4116
86000,13,75,237,643,1068,3,0.0064,0.0368,0.1164,0.3158,0.5246,4.3153
87000,19,81,262,667,1006,6,0.0093,0.0398,0.1287,0.3278,0.4943,4.2580
88000,23,92,274,670,960,15,0.0114,0.0456,0.1357,0.3318,0.4755,4.2145
89000,25,92,263,665,953,41,0.0125,0.0460,0.1316,0.3328,0.4770,4.2157
90000,28,82,255,664,951,43,0.0141,0.0414,0.1288,0.3354,0.4803,4.2263
