step,pop1,pop2,pop3,pop4,pop5,fire,share1,share2,share3,share4,share5,meanrung,bank1,bank2,bank3,bank4,bank5,banktot,bankmean
50000,58,94,227,205,161,780,0.0779,0.1262,0.3047,0.2752,0.2161,3.4255,20,13,7,4,3,47,2.0851
51000,26,48,204,226,185,786,0.0377,0.0697,0.2961,0.3280,0.2685,3.7199,23,14,8,8,3,56,2.1786
52000,23,25,179,280,221,696,0.0316,0.0343,0.2459,0.3846,0.3036,3.8942,24,16,13,10,4,67,2.3134
53000,31,40,176,328,255,605,0.0373,0.0482,0.2120,0.3952,0.3072,3.8867,23,16,15,11,7,72,2.4861
54000,33,51,167,352,292,576,0.0369,0.0570,0.1866,0.3933,0.3263,3.9151,23,19,16,16,7,81,2.5679
55000,19,29,197,403,340,520,0.0192,0.0294,0.1994,0.4079,0.3441,4.0283,23,19,18,19,9,88,2.6818
56000,12,26,216,436,365,522,0.0114,0.0246,0.2047,0.4133,0.3460,4.0578,23,19,18,21,9,90,2.7111
57000,0,34,234,466,388,524,0.0000,0.0303,0.2086,0.4153,0.3458,4.0766,23,19,21,22,11,96,2.7812
58000,6,31,207,493,419,512,0.0052,0.0268,0.1791,0.4265,0.3625,4.1142,23,21,25,25,11,105,2.8095
59000,6,14,191,505,451,503,0.0051,0.0120,0.1637,0.4327,0.3865,4.1834,24,21,24,25,14,108,2.8519
60000,0,19,185,547,489,455,0.0000,0.0153,0.1492,0.4411,0.3944,4.2145,24,21,25,27,13,110,2.8545
61000,0,18,155,581,536,428,0.0000,0.0140,0.1202,0.4504,0.4155,4.2674,24,21,27,31,13,116,2.8966
62000,0,16,146,584,569,398,0.0000,0.0122,0.1110,0.4441,0.4327,4.2973,24,21,28,35,16,124,2.9839
63000,2,6,143,611,623,359,0.0014,0.0043,0.1032,0.4412,0.4498,4.3336,24,21,30,40,16,131,3.0229
64000,2,4,107,685,682,312,0.0014,0.0027,0.0723,0.4628,0.4608,4.3791,24,21,31,42,17,135,3.0519
65000,4,3,97,661,712,297,0.0027,0.0020,0.0657,0.4475,0.4821,4.4042,24,20,31,46,18,139,3.1007
66000,5,2,96,679,754,253,0.0033,0.0013,0.0625,0.4421,0.4909,4.4160,24,20,30,46,18,138,3.1014
67000,0,5,86,694,806,213,0.0000,0.0031,0.0541,0.4362,0.5066,4.4463,24,19,30,50,19,142,3.1479
68000,2,2,70,699,864,182,0.0012,0.0012,0.0428,0.4270,0.5278,4.4789,24,20,29,55,20,148,3.1824
69000,2,3,74,734,892,138,0.0012,0.0018,0.0434,0.4305,0.5232,4.4727,25,20,29,59,22,155,3.2129
70000,2,7,81,732,922,105,0.0011,0.0040,0.0464,0.4197,0.5287,4.4708,24,19,29,60,25,157,3.2739
71000,2,8,79,721,967,83,0.0011,0.0045,0.0445,0.4057,0.5442,4.4873,23,20,28,61,27,159,3.3082
72000,3,15,96,729,993,29,0.0016,0.0082,0.0523,0.3971,0.5408,4.4673,22,18,27,62,31,160,3.3875
73000,4,15,113,714,1019,19,0.0021,0.0080,0.0606,0.3828,0.5464,4.4633,21,16,25,62,32,156,3.4359
74000,12,22,126,753,991,1,0.0063,0.0116,0.0662,0.3955,0.5205,4.4123,15,15,20,58,32,140,3.5500
75000,27,30,146,775,945,1,0.0140,0.0156,0.0759,0.4030,0.4914,4.3422,13,14,19,46,28,120,3.5167
76000,28,35,154,757,931,23,0.0147,0.0184,0.0808,0.3974,0.4887,4.3270,10,13,19,45,24,111,3.5405
77000,28,40,161,763,946,1,0.0144,0.0206,0.0831,0.3937,0.4881,4.3204,10,11,19,43,23,106,3.5472
78000,38,43,170,763,916,11,0.0197,0.0223,0.0881,0.3953,0.4746,4.2829,5,11,18,41,25,100,3.7000
79000,43,43,171,757,908,21,0.0224,0.0224,0.0890,0.3939,0.4724,4.2716,5,11,17,40,26,99,3.7172
80000,49,44,162,716,906,50,0.0261,0.0234,0.0863,0.3815,0.4827,4.2712,4,13,17,39,31,104,3.7692
81000,44,45,154,685,921,61,0.0238,0.0243,0.0833,0.3705,0.4981,4.2948,4,12,19,41,33,109,3.7982
82000,40,42,161,653,963,55,0.0215,0.0226,0.0866,0.3513,0.5180,4.3217,4,12,19,42,35,112,3.8214
83000,42,47,168,676,983,6,0.0219,0.0245,0.0877,0.3528,0.5130,4.3105,5,13,19,42,41,120,3.8417
84000,53,54,178,709,940,1,0.0274,0.0279,0.0920,0.3666,0.4860,4.2559,4,12,22,37,37,112,3.8125
