step,pop1,pop2,pop3,pop4,pop5,fire,share1,share2,share3,share4,share5,meanrung,bank1,bank2,bank3,bank4,bank5,banktot,bankmean
220000,665,468,237,71,6,0,0.4596,0.3234,0.1638,0.0491,0.0041,1.8148,113,89,165,160,72,599,2.9816
221000,748,465,193,52,5,0,0.5113,0.3178,0.1319,0.0355,0.0034,1.7020,111,87,160,155,70,583,2.9760
222000,817,460,158,34,5,0,0.5543,0.3121,0.1072,0.0231,0.0034,1.6092,109,88,155,152,68,572,2.9685
223000,892,433,122,22,4,0,0.6056,0.2940,0.0828,0.0149,0.0027,1.5153,117,91,153,147,66,574,2.9199
224000,980,391,92,19,3,1,0.6599,0.2633,0.0620,0.0128,0.0020,1.4337,118,90,145,143,63,559,2.8980
225000,763,308,122,33,8,165,0.6183,0.2496,0.0989,0.0267,0.0065,1.5535,118,92,146,143,63,562,2.8950
226000,562,257,123,39,13,262,0.5654,0.2586,0.1237,0.0392,0.0131,1.6761,118,94,147,143,63,565,2.8920
227000,470,247,140,75,35,243,0.4860,0.2554,0.1448,0.0776,0.0362,1.9224,119,96,149,143,64,571,2.8897
228000,384,204,186,113,48,305,0.4107,0.2182,0.1989,0.1209,0.0513,2.1840,119,97,154,145,64,579,2.8929
229000,265,166,194,130,74,365,0.3197,0.2002,0.2340,0.1568,0.0893,2.4958,119,98,156,145,64,582,2.8918
230000,139,126,216,151,109,333,0.1876,0.1700,0.2915,0.2038,0.1471,2.9528,119,101,157,147,64,588,2.8912
231000,112,131,278,199,152,238,0.1284,0.1502,0.3188,0.2282,0.1743,3.1697,121,103,158,148,64,594,2.8838
232000,100,158,313,279,187,189,0.0964,0.1524,0.3018,0.2690,0.1803,3.2845,122,108,160,150,67,607,2.8880
233000,65,174,350,312,197,173,0.0592,0.1585,0.3188,0.2842,0.1794,3.3661,122,110,161,150,68,611,2.8887
234000,53,104,365,345,216,180,0.0489,0.0960,0.3370,0.3186,0.1994,3.5235,122,110,163,151,68,614,2.8909
235000,43,91,367,375,254,189,0.0381,0.0805,0.3248,0.3319,0.2248,3.6248,121,112,166,153,67,619,2.8918
236000,27,74,367,411,302,120,0.0229,0.0627,0.3108,0.3480,0.2557,3.7511,122,112,167,157,68,626,2.8994
237000,36,60,361,462,336,86,0.0287,0.0478,0.2876,0.3681,0.2677,3.7984,122,112,171,159,68,632,2.9035
238000,53,52,379,510,355,28,0.0393,0.0385,0.2809,0.3781,0.2632,3.7872,122,111,175,162,70,640,2.9172
239000,42,45,398,546,368,1,0.0300,0.0322,0.2845,0.3903,0.2630,3.8242,121,111,178,163,69,642,2.9190
240000,56,64,422,534,325,0,0.0400,0.0457,0.3012,0.3812,0.2320,3.7195,120,108,177,165,71,641,2.9360
241000,69,83,446,516,283,0,0.0494,0.0594,0.3193,0.3694,0.2026,3.6163,120,108,173,168,74,643,2.9502
242000,90,94,483,479,257,0,0.0641,0.0670,0.3443,0.3414,0.1832,3.5125,118,108,172,170,73,641,2.9563
243000,108,111,497,474,209,0,0.0772,0.0793,0.3553,0.3388,0.1494,3.4039,118,107,177,173,73,648,2.9630
244000,120,139,497,478,161,0,0.0860,0.0996,0.3563,0.3427,0.1154,3.3018,116,109,177,175,74,651,2.9724
245000,143,161,522,445,128,0,0.1022,0.1151,0.3731,0.3181,0.0915,3.1816,114,109,177,174,73,647,2.9737
246000,170,197,534,395,107,0,0.1212,0.1404,0.3806,0.2815,0.0763,3.0513,113,108,175,177,71,644,2.9767
247000,199,233,539,340,85,0,0.1426,0.1669,0.3861,0.2436,0.0609,2.9133,114,109,178,177,70,648,2.9691
248000,227,286,525,295,64,0,0.1625,0.2047,0.3758,0.2112,0.0458,2.7731,114,107,181,176,70,648,2.9707
249000,268,330,501,251,45,0,0.1921,0.2366,0.3591,0.1799,0.0323,2.6237,115,106,184,178,67,650,2.9631
250000,309,381,465,201,34,0,0.2223,0.2741,0.3345,0.1446,0.0245,2.4748,115,107,190,178,65,655,2.9557
251000,371,422,425,147,33,0,0.2654,0.3019,0.3040,0.1052,0.0236,2.3197,116,105,193,174,62,650,2.9400
252000,438,466,353,112,30,0,0.3131,0.3331,0.2523,0.0801,0.0214,2.1637,117,105,190,172,61,645,2.9302
253000,503,496,315,74,18,0,0.3578,0.3528,0.2240,0.0526,0.0128,2.0100,115,108,188,169,59,639,2.9202
254000,563,536,258,41,15,0,0.3984,0.3793,0.1826,0.0290,0.0106,1.8740,116,109,189,162,56,632,2.8940
255000,629,543,220,30,7,0,0.4402,0.3800,0.1540,0.0210,0.0049,1.7705,114,108,182,161,54,619,2.8918
256000,695,547,172,18,3,1,0.4843,0.3812,0.1199,0.0125,0.0021,1.6669,114,112,174,159,52,611,2.8740
257000,769,528,126,14,2,0,0.5344,0.3669,0.0876,0.0097,0.0014,1.5768,118,116,168,156,49,607,2.8386
258000,847,507,89,8,0,0,0.5837,0.3494,0.0613,0.0055,0.0000,1.4886,118,116,163,151,48,596,2.8238
259000,926,472,65,4,1,0,0.6308,0.3215,0.0443,0.0027,0.0007,1.4210,119,114,152,144,47,576,2.8021
260000,1011,439,42,3,1,0,0.6758,0.2934,0.0281,0.0020,0.0007,1.3583,117,111,143,136,45,552,2.7844
261000,1084,396,35,2,1,0,0.7141,0.2609,0.0231,0.0013,0.0007,1.3136,116,113,128,129,43,529,2.7543
262000,1157,349,32,1,1,0,0.7513,0.2266,0.0208,0.0006,0.0006,1.2727,112,109,122,124,41,508,2.7500
263000,1223,296,26,3,2,0,0.7890,0.1910,0.0168,0.0019,0.0013,1.2355,119,108,111,121,39,498,2.7048
264000,1304,244,22,0,0,0,0.8306,0.1554,0.0140,0.0000,0.0000,1.1834,115,108,102,116,37,478,2.6904
265000,1361,204,15,3,2,0,0.8587,0.1287,0.0095,0.0019,0.0013,1.1584,110,108,97,111,36,462,2.6861
266000,1409,176,15,3,1,0,0.8784,0.1097,0.0094,0.0019,0.0006,1.1365,116,102,88,103,34,443,2.6321
