step,pop1,pop2,pop3,pop4,pop5,fire,share1,share2,share3,share4,share5,meanrung
70000,244,247,419,428,305,250,0.1485,0.1503,0.2550,0.2605,0.1856,3.1844
71000,224,241,379,450,359,261,0.1355,0.1458,0.2293,0.2722,0.2172,3.2898
72000,150,204,343,459,393,340,0.0968,0.1317,0.2214,0.2963,0.2537,3.4784
73000,81,150,322,479,416,419,0.0559,0.1036,0.2224,0.3308,0.2873,3.6899
74000,44,115,272,488,457,436,0.0320,0.0836,0.1977,0.3547,0.3321,3.8714
75000,23,95,259,499,498,457,0.0167,0.0691,0.1885,0.3632,0.3624,3.9854
76000,22,78,249,502,559,430,0.0156,0.0553,0.1766,0.3560,0.3965,4.0624
77000,16,56,248,502,611,420,0.0112,0.0391,0.1731,0.3503,0.4264,4.1417
78000,11,45,224,519,663,384,0.0075,0.0308,0.1532,0.3550,0.4535,4.2161
79000,11,42,205,532,730,335,0.0072,0.0276,0.1349,0.3500,0.4803,4.2684
80000,6,39,173,526,805,346,0.0039,0.0252,0.1117,0.3396,0.5197,4.3460
81000,0,27,161,514,861,320,0.0000,0.0173,0.1030,0.3289,0.5509,4.4133
82000,6,20,151,525,887,307,0.0038,0.0126,0.0950,0.3304,0.5582,4.4267
83000,0,20,142,549,922,282,0.0000,0.0122,0.0870,0.3362,0.5646,4.4532
84000,0,19,138,558,983,252,0.0000,0.0112,0.0813,0.3286,0.5789,4.4753
85000,3,19,115,542,1031,258,0.0018,0.0111,0.0673,0.3170,0.6029,4.5082
86000,3,13,100,537,1063,216,0.0017,0.0076,0.0583,0.3129,0.6195,4.5408
87000,2,14,112,551,1139,171,0.0011,0.0077,0.0616,0.3031,0.6265,4.5462
88000,4,13,113,539,1213,129,0.0021,0.0069,0.0600,0.2864,0.6445,4.5643
89000,2,15,100,566,1243,84,0.0010,0.0078,0.0519,0.2939,0.6454,4.5748
90000,0,9,92,588,1285,46,0.0000,0.0046,0.0466,0.2979,0.6510,4.5952
91000,0,11,104,597,1302,22,0.0000,0.0055,0.0516,0.2964,0.6465,4.5839
92000,1,12,113,624,1287,7,0.0005,0.0059,0.0555,0.3063,0.6318,4.5631
93000,9,33,144,662,1193,0,0.0044,0.0162,0.0706,0.3244,0.5845,4.4684
94000,14,58,188,687,1098,0,0.0068,0.0284,0.0919,0.3359,0.5369,4.3677
95000,23,86,227,703,1004,0,0.0113,0.0421,0.1111,0.3441,0.4914,4.2624
96000,48,121,281,720,873,1,0.0235,0.0592,0.1375,0.3524,0.4273,4.1008
97000,55,135,305,719,830,0,0.0269,0.0660,0.1492,0.3518,0.4061,4.0440
98000,80,165,342,722,737,0,0.0391,0.0806,0.1672,0.3529,0.3602,3.9145
99000,117,206,380,702,641,0,0.0572,0.1007,0.1857,0.3431,0.3133,3.7546
100000,166,260,422,659,535,1,0.0813,0.1273,0.2067,0.3227,0.2620,3.5568
101000,215,293,462,632,443,0,0.1051,0.1433,0.2259,0.3090,0.2166,3.3888
102000,292,352,495,547,361,0,0.1426,0.1720,0.2418,0.2672,0.1764,3.1627
103000,362,411,501,497,276,0,0.1768,0.2008,0.2447,0.2428,0.1348,2.9580
104000,459,465,514,413,194,1,0.2244,0.2274,0.2513,0.2020,0.0949,2.7154
105000,579,515,476,334,142,0,0.2830,0.2517,0.2326,0.1632,0.0694,2.4844
106000,698,554,436,264,94,0,0.3412,0.2708,0.2131,0.1290,0.0459,2.2678
107000,855,584,368,180,59,0,0.4179,0.2854,0.1799,0.0880,0.0288,2.0244
108000,1025,614,272,102,33,1,0.5010,0.3001,0.1329,0.0499,0.0161,1.7801
109000,1224,574,193,46,10,0,0.5979,0.2804,0.0943,0.0225,0.0049,1.5559
110000,1470,472,97,6,2,0,0.7181,0.2306,0.0474,0.0029,0.0010,1.3381
111000,1794,235,17,1,0,0,0.8764,0.1148,0.0083,0.0005,0.0000,1.1329
112000,1832,1,0,0,0,158,0.9995,0.0005,0.0000,0.0000,0.0000,1.0005
113000,1282,7,3,9,4,493,0.9824,0.0054,0.0023,0.0069,0.0031,1.0429
114000,915,20,21,18,10,630,0.9299,0.0203,0.0213,0.0183,0.0102,1.1585
115000,576,28,29,31,20,679,0.8421,0.0409,0.0424,0.0453,0.0292,1.3787
116000,227,28,44,48,41,796,0.5851,0.0722,0.1134,0.1237,0.1057,2.0928
117000,76,63,66,79,68,777,0.2159,0.1790,0.1875,0.2244,0.1932,3.0000
118000,64,104,92,111,98,703,0.1365,0.2217,0.1962,0.2367,0.2090,3.1599
119000,73,98,120,135,131,673,0.1311,0.1759,0.2154,0.2424,0.2352,3.2747
120000,47,104,151,176,172,614,0.0723,0.1600,0.2323,0.2708,0.2646,3.4954
121000,58,113,202,236,224,602,0.0696,0.1357,0.2425,0.2833,0.2689,3.5462
122000,63,106,246,275,270,644,0.0656,0.1104,0.2562,0.2865,0.2812,3.6073
123000,55,84,277,298,308,653,0.0538,0.0822,0.2710,0.2916,0.3014,3.7045
124000,20,56,238,325,350,691,0.0202,0.0566,0.2406,0.3286,0.3539,3.9393
125000,6,37,240,349,410,621,0.0058,0.0355,0.2303,0.3349,0.3935,4.0749
126000,5,36,237,343,464,594,0.0046,0.0332,0.2184,0.3161,0.4276,4.1290
127000,13,55,225,369,483,607,0.0114,0.0480,0.1965,0.3223,0.4218,4.0952
128000,6,30,192,371,532,596,0.0053,0.0265,0.1698,0.3280,0.4704,4.2317
129000,2,23,171,395,607,535,0.0017,0.0192,0.1427,0.3297,0.5067,4.3205
130000,2,34,167,435,665,477,0.0015,0.0261,0.1282,0.3338,0.5104,4.3254
131000,1,29,134,443,730,446,0.0007,0.0217,0.1002,0.3313,0.5460,4.4001
132000,4,31,124,472,757,432,0.0029,0.0223,0.0893,0.3401,0.5454,4.4027
133000,4,33,107,479,828,398,0.0028,0.0227,0.0737,0.3301,0.5706,4.4431
134000,1,11,98,491,889,367,0.0007,0.0074,0.0658,0.3295,0.5966,4.5141
135000,2,11,98,519,954,307,0.0013,0.0069,0.0619,0.3277,0.6023,4.5227
136000,2,7,103,539,1031,265,0.0012,0.0042,0.0612,0.3205,0.6130,4.5398
137000,2,7,98,524,1087,243,0.0012,0.0041,0.0570,0.3050,0.6327,4.5640
138000,2,6,80,507,1114,240,0.0012,0.0035,0.0468,0.2967,0.6518,4.5945
139000,4,8,74,544,1163,173,0.0022,0.0045,0.0413,0.3034,0.6486,4.5917
140000,3,6,68,563,1251,106,0.0016,0.0032,0.0360,0.2977,0.6616,4.6145
141000,3,8,79,578,1285,65,0.0015,0.0041,0.0405,0.2960,0.6580,4.6047
142000,4,10,80,597,1319,28,0.0020,0.0050,0.0398,0.2970,0.6562,4.6005
143000,5,8,92,620,1308,11,0.0025,0.0039,0.0453,0.3050,0.6434,4.5829
144000,5,14,111,647,1267,0,0.0024,0.0068,0.0543,0.3165,0.6199,4.5445
145000,11,31,155,691,1158,0,0.0054,0.0152,0.0758,0.3377,0.5660,4.4438
146000,18,48,199,719,1062,0,0.0088,0.0235,0.0973,0.3514,0.5191,4.3485
147000,20,73,264,728,957,0,0.0098,0.0357,0.1293,0.3565,0.4687,4.2385
148000,34,89,309,715,890,10,0.0167,0.0437,0.1517,0.3510,0.4369,4.1478
149000,46,122,350,697,828,0,0.0225,0.0597,0.1713,0.3412,0.4053,4.0470
150000,68,158,410,661,746,0,0.0333,0.0773,0.2007,0.3235,0.3651,3.9099
150000,68,158,410,661,746,0,0.0333,0.0773,0.2007,0.3235,0.3651,3.9099
