step,pop1,pop2,pop3,pop4,pop5,fire,share1,share2,share3,share4,share5,meanrung
70000,12,36,222,934,834,6,0.0059,0.0177,0.1089,0.4583,0.4092,4.2473
71000,13,38,211,936,806,29,0.0065,0.0190,0.1053,0.4671,0.4022,4.2395
72000,15,38,226,935,812,14,0.0074,0.0188,0.1115,0.4615,0.4008,4.2295
73000,19,38,215,939,812,21,0.0094,0.0188,0.1063,0.4642,0.4014,4.2294
74000,11,38,221,908,828,28,0.0055,0.0189,0.1102,0.4526,0.4128,4.2483
75000,14,41,224,863,853,35,0.0070,0.0206,0.1123,0.4326,0.4276,4.2531
76000,17,41,227,862,874,19,0.0084,0.0203,0.1123,0.4265,0.4325,4.2543
77000,18,43,202,835,871,58,0.0091,0.0218,0.1026,0.4241,0.4424,4.2687
78000,19,42,194,816,914,34,0.0096,0.0212,0.0977,0.4111,0.4605,4.2917
79000,19,46,186,826,922,33,0.0095,0.0230,0.0930,0.4132,0.4612,4.2936
80000,22,48,190,856,911,13,0.0109,0.0237,0.0937,0.4223,0.4494,4.2758
81000,25,62,196,877,884,0,0.0122,0.0303,0.0959,0.4291,0.4325,4.2392
82000,35,76,223,892,818,0,0.0171,0.0372,0.1091,0.4364,0.4002,4.1654
83000,46,88,270,899,741,1,0.0225,0.0431,0.1321,0.4398,0.3625,4.0768
84000,54,99,305,907,681,0,0.0264,0.0484,0.1491,0.4433,0.3328,4.0078
85000,61,115,348,890,632,0,0.0298,0.0562,0.1701,0.4350,0.3089,3.9370
86000,73,138,388,876,571,0,0.0357,0.0674,0.1896,0.4282,0.2791,3.8475
87000,95,163,433,833,522,1,0.0464,0.0797,0.2116,0.4071,0.2551,3.7449
88000,118,203,461,808,453,0,0.0578,0.0994,0.2256,0.3955,0.2217,3.6241
89000,139,241,519,775,373,0,0.0679,0.1177,0.2535,0.3786,0.1822,3.4895
90000,163,287,554,720,321,0,0.0797,0.1403,0.2709,0.3521,0.1570,3.3663
91000,201,341,598,656,249,1,0.0983,0.1667,0.2924,0.3208,0.1218,3.2010
92000,211,302,530,661,241,78,0.1085,0.1553,0.2725,0.3398,0.1239,3.2154
93000,211,289,483,652,238,122,0.1127,0.1543,0.2579,0.3481,0.1271,3.2226
94000,187,255,475,648,280,138,0.1014,0.1382,0.2575,0.3512,0.1518,3.3138
95000,149,206,441,641,323,203,0.0847,0.1170,0.2506,0.3642,0.1835,3.4449
96000,138,153,391,641,364,272,0.0818,0.0907,0.2318,0.3800,0.2158,3.5572
97000,118,123,345,667,383,276,0.0721,0.0752,0.2109,0.4077,0.2341,3.6565
98000,80,106,309,700,420,311,0.0495,0.0656,0.1913,0.4334,0.2601,3.7889
99000,64,88,288,724,440,319,0.0399,0.0549,0.1796,0.4514,0.2743,3.8653
100000,29,87,260,735,468,314,0.0184,0.0551,0.1647,0.4655,0.2964,3.9664
101000,9,60,238,748,479,377,0.0059,0.0391,0.1551,0.4876,0.3123,4.0613
102000,3,48,236,727,522,356,0.0020,0.0312,0.1536,0.4733,0.3398,4.1178
103000,2,45,229,738,571,304,0.0013,0.0284,0.1445,0.4656,0.3603,4.1552
104000,2,41,237,726,595,309,0.0012,0.0256,0.1480,0.4535,0.3716,4.1686
105000,2,32,210,724,616,326,0.0013,0.0202,0.1326,0.4571,0.3889,4.2121
106000,2,22,216,752,673,261,0.0012,0.0132,0.1297,0.4517,0.4042,4.2444
107000,2,15,202,778,678,278,0.0012,0.0090,0.1206,0.4645,0.4048,4.2627
108000,0,12,154,798,702,277,0.0000,0.0072,0.0924,0.4790,0.4214,4.3145
109000,0,12,139,781,731,270,0.0000,0.0072,0.0836,0.4696,0.4396,4.3416
110000,2,13,132,791,792,234,0.0012,0.0075,0.0763,0.4572,0.4578,4.3630
111000,1,9,120,780,817,219,0.0006,0.0052,0.0695,0.4517,0.4731,4.3914
112000,6,8,103,798,888,168,0.0033,0.0044,0.0571,0.4426,0.4925,4.4165
113000,4,6,88,800,936,145,0.0022,0.0033,0.0480,0.4362,0.5104,4.4493
114000,3,5,77,812,984,106,0.0016,0.0027,0.0409,0.4317,0.5231,4.4721
