cond,seed,events,score,pop1,pop2,pop3,pop4,pop5,fire,meanrung,banktot,recon
p32000,1,300000,1482,34,66,186,284,228,694,3.7594,0,ok
p32000,2,300000,1557,4,72,283,374,167,667,3.6978,0,ok
p32000,3,300000,1545,12,111,288,333,168,643,3.5855,0,ok
p32000,4,300000,1516,2,70,224,382,221,627,3.8343,0,ok
p32000,5,300000,2035,93,207,438,822,485,0,3.6841,0,ok
p32000,6,300000,2033,51,39,307,901,745,0,4.1013,0,ok
