step,pop1,pop2,pop3,pop4,pop5,fire,share1,share2,share3,share4,share5,meanrung
70000,20,53,232,712,982,36,0.0100,0.0265,0.1161,0.3562,0.4912,4.2921
71000,21,52,229,687,993,43,0.0106,0.0262,0.1155,0.3466,0.5010,4.3012
72000,19,48,235,709,983,41,0.0095,0.0241,0.1179,0.3556,0.4930,4.2984
73000,21,51,233,701,1012,14,0.0104,0.0253,0.1155,0.3474,0.5015,4.3043
74000,31,64,246,697,982,20,0.0153,0.0317,0.1218,0.3450,0.4861,4.2550
75000,31,59,247,689,957,43,0.0156,0.0298,0.1246,0.3475,0.4826,4.2516
76000,31,54,225,678,995,46,0.0156,0.0272,0.1135,0.3419,0.5018,4.2869
77000,32,56,223,676,988,51,0.0162,0.0284,0.1129,0.3423,0.5003,4.2820
78000,34,64,211,688,987,49,0.0171,0.0323,0.1064,0.3468,0.4975,4.2752
79000,35,58,231,694,990,28,0.0174,0.0289,0.1150,0.3456,0.4930,4.2679
80000,33,61,242,690,978,32,0.0165,0.0304,0.1208,0.3443,0.4880,4.2570
81000,34,53,218,685,992,40,0.0172,0.0267,0.1100,0.3456,0.5005,4.2856
82000,36,60,212,701,995,26,0.0180,0.0299,0.1058,0.3498,0.4965,4.2769
83000,26,56,204,699,1037,21,0.0129,0.0277,0.1009,0.3457,0.5129,4.3180
84000,18,42,192,692,1041,41,0.0091,0.0212,0.0967,0.3486,0.5244,4.3582
85000,16,27,188,683,1058,43,0.0081,0.0137,0.0953,0.3463,0.5365,4.3895
86000,6,26,194,677,1061,53,0.0031,0.0132,0.0988,0.3447,0.5402,4.4058
87000,10,29,191,656,1091,43,0.0051,0.0147,0.0966,0.3318,0.5518,4.4107
88000,12,31,190,654,1111,36,0.0060,0.0155,0.0951,0.3273,0.5561,4.4119
89000,13,41,183,671,1094,36,0.0065,0.0205,0.0914,0.3352,0.5465,4.3946
90000,11,39,186,653,1093,48,0.0055,0.0197,0.0938,0.3295,0.5515,4.4016
91000,13,42,190,655,1113,26,0.0065,0.0209,0.0944,0.3254,0.5529,4.3974
92000,14,44,199,672,1102,10,0.0069,0.0217,0.0980,0.3309,0.5426,4.3806
93000,12,48,209,682,1069,19,0.0059,0.0238,0.1035,0.3376,0.5292,4.3604
94000,10,49,218,679,1066,17,0.0049,0.0242,0.1078,0.3358,0.5272,4.3561
95000,12,59,235,694,1042,1,0.0059,0.0289,0.1151,0.3399,0.5103,4.3198
96000,16,80,290,700,956,1,0.0078,0.0392,0.1420,0.3428,0.4682,4.2243
97000,19,101,308,692,912,12,0.0094,0.0497,0.1516,0.3406,0.4488,4.1698
98000,23,102,302,667,908,29,0.0115,0.0509,0.1508,0.3332,0.4535,4.1663
99000,22,92,271,660,950,41,0.0110,0.0461,0.1358,0.3308,0.4762,4.2150
100000,28,104,271,648,970,15,0.0139,0.0515,0.1341,0.3206,0.4800,4.2014
101000,37,122,281,658,944,1,0.0181,0.0597,0.1376,0.3222,0.4623,4.1508
102000,38,125,277,640,889,50,0.0193,0.0635,0.1407,0.3250,0.4515,4.1260
103000,38,105,255,651,893,70,0.0196,0.0541,0.1313,0.3352,0.4598,4.1617
104000,36,92,233,628,932,84,0.0187,0.0479,0.1213,0.3269,0.4852,4.2119
105000,36,82,214,625,967,94,0.0187,0.0426,0.1112,0.3248,0.5026,4.2500
106000,35,73,197,634,990,75,0.0181,0.0378,0.1021,0.3287,0.5132,4.2810
107000,35,73,187,612,1037,75,0.0180,0.0376,0.0962,0.3148,0.5334,4.3081
108000,25,55,180,638,1049,76,0.0128,0.0282,0.0924,0.3277,0.5388,4.3513
109000,26,55,187,611,1071,71,0.0133,0.0282,0.0959,0.3133,0.5492,4.3569
110000,27,48,160,602,1090,83,0.0140,0.0249,0.0830,0.3124,0.5656,4.3908
111000,16,40,169,564,1103,107,0.0085,0.0211,0.0893,0.2981,0.5830,4.4260
112000,6,26,150,588,1132,91,0.0032,0.0137,0.0789,0.3091,0.5952,4.4795
113000,4,21,156,601,1155,80,0.0021,0.0108,0.0805,0.3103,0.5963,4.4879
114000,3,19,155,622,1177,52,0.0015,0.0096,0.0784,0.3148,0.5956,4.4934
115000,4,25,165,620,1170,46,0.0020,0.0126,0.0832,0.3125,0.5897,4.4753
116000,5,19,162,633,1176,36,0.0025,0.0095,0.0812,0.3173,0.5895,4.4817
117000,4,26,167,656,1170,15,0.0020,0.0129,0.0826,0.3243,0.5783,4.4642
118000,6,26,183,674,1137,16,0.0030,0.0128,0.0903,0.3327,0.5612,4.4363
119000,13,43,216,672,1101,1,0.0064,0.0210,0.1056,0.3286,0.5384,4.3716
120000,21,62,240,695,1013,13,0.0103,0.0305,0.1182,0.3422,0.4988,4.2885
121000,20,70,258,683,1004,7,0.0098,0.0344,0.1268,0.3356,0.4934,4.2683
122000,26,80,264,705,960,8,0.0128,0.0393,0.1297,0.3464,0.4717,4.2251
123000,35,95,297,718,892,4,0.0172,0.0466,0.1458,0.3525,0.4379,4.1473
124000,38,80,304,726,877,13,0.0188,0.0395,0.1501,0.3585,0.4331,4.1477
125000,33,83,301,705,848,58,0.0168,0.0421,0.1528,0.3579,0.4305,4.1431
126000,35,80,276,714,864,54,0.0178,0.0406,0.1402,0.3626,0.4388,4.1640
127000,32,75,263,700,856,94,0.0166,0.0389,0.1366,0.3634,0.4444,4.1802
128000,28,70,258,687,881,84,0.0146,0.0364,0.1341,0.3571,0.4579,4.2074
129000,31,71,238,700,917,76,0.0158,0.0363,0.1216,0.3577,0.4686,4.2269
130000,32,61,238,700,919,74,0.0164,0.0313,0.1221,0.3590,0.4713,4.2374
131000,33,52,237,675,951,73,0.0169,0.0267,0.1217,0.3465,0.4882,4.2623
132000,31,55,236,695,983,35,0.0155,0.0275,0.1180,0.3475,0.4915,4.2720
133000,27,52,255,719,970,16,0.0133,0.0257,0.1261,0.3554,0.4795,4.2620
134000,29,50,256,716,969,16,0.0144,0.0248,0.1267,0.3545,0.4797,4.2604
135000,38,59,244,734,953,15,0.0187,0.0291,0.1203,0.3619,0.4699,4.2352
136000,40,49,251,719,941,32,0.0200,0.0245,0.1255,0.3595,0.4705,4.2360
137000,25,48,232,709,946,60,0.0128,0.0245,0.1184,0.3617,0.4827,4.2770
138000,28,47,203,697,982,70,0.0143,0.0240,0.1037,0.3562,0.5018,4.3071
