step,pop1,pop2,pop3,pop4,pop5,fire,share1,share2,share3,share4,share5,meanrung
1000,622,212,93,40,41,0,0.6171,0.2103,0.0923,0.0397,0.0407,1.6766
2000,1161,537,168,78,62,0,0.5788,0.2677,0.0837,0.0389,0.0309,1.6755
3000,1346,513,129,44,16,0,0.6572,0.2505,0.0630,0.0215,0.0078,1.4722
4000,1527,437,80,2,2,0,0.7456,0.2134,0.0391,0.0010,0.0010,1.2983
5000,1767,267,13,0,1,0,0.8628,0.1304,0.0063,0.0000,0.0005,1.1450
6000,1943,1,0,0,0,94,0.9995,0.0005,0.0000,0.0000,0.0000,1.0005
7000,1421,2,4,0,1,444,0.9951,0.0014,0.0028,0.0000,0.0007,1.0098
8000,933,14,8,3,1,679,0.9729,0.0146,0.0083,0.0031,0.0010,1.0448
9000,581,18,12,10,9,760,0.9222,0.0286,0.0190,0.0159,0.0143,1.1714
10000,326,41,32,31,25,836,0.7165,0.0901,0.0703,0.0681,0.0549,1.6549
11000,149,79,49,43,39,908,0.4150,0.2201,0.1365,0.1198,0.1086,2.2869
12000,19,95,74,63,54,835,0.0623,0.3115,0.2426,0.2066,0.1770,3.1246
13000,10,117,154,102,83,619,0.0215,0.2511,0.3305,0.2189,0.1781,3.2811
14000,29,163,182,154,115,591,0.0451,0.2535,0.2830,0.2395,0.1788,3.2535
15000,62,175,201,199,138,653,0.0800,0.2258,0.2594,0.2568,0.1781,3.2271
16000,64,137,176,218,161,779,0.0847,0.1812,0.2328,0.2884,0.2130,3.3638
17000,31,121,191,231,179,784,0.0412,0.1607,0.2537,0.3068,0.2377,3.5392
18000,19,92,191,282,219,730,0.0237,0.1146,0.2379,0.3512,0.2727,3.7347
19000,10,63,219,308,239,722,0.0119,0.0751,0.2610,0.3671,0.2849,3.8379
20000,8,34,186,343,267,708,0.0095,0.0406,0.2220,0.4093,0.3186,3.9869
21000,8,26,203,387,308,648,0.0086,0.0279,0.2178,0.4152,0.3305,4.0311
22000,13,35,220,442,337,591,0.0124,0.0334,0.2101,0.4222,0.3219,4.0076
23000,1,20,201,497,367,614,0.0009,0.0184,0.1851,0.4576,0.3379,4.1133
24000,2,16,179,515,410,594,0.0018,0.0143,0.1595,0.4590,0.3654,4.1720
25000,2,16,168,533,461,569,0.0017,0.0136,0.1424,0.4517,0.3907,4.2161
26000,2,8,141,568,532,512,0.0016,0.0064,0.1127,0.4540,0.4253,4.2950
27000,1,8,126,593,601,483,0.0008,0.0060,0.0948,0.4462,0.4522,4.3431
28000,3,15,104,587,661,455,0.0022,0.0109,0.0759,0.4285,0.4825,4.3781
29000,11,22,95,575,703,423,0.0078,0.0156,0.0676,0.4090,0.5000,4.3777
30000,7,18,93,601,781,367,0.0047,0.0120,0.0620,0.4007,0.5207,4.4207
31000,7,9,68,608,841,344,0.0046,0.0059,0.0444,0.3966,0.5486,4.4788
32000,5,12,73,652,897,291,0.0031,0.0073,0.0445,0.3978,0.5473,4.4790
33000,3,7,76,705,942,231,0.0017,0.0040,0.0439,0.4068,0.5436,4.4864
34000,0,7,64,698,1018,199,0.0000,0.0039,0.0358,0.3906,0.5697,4.5260
35000,0,3,49,664,1036,210,0.0000,0.0017,0.0280,0.3790,0.5913,4.5599
36000,0,5,43,675,1080,161,0.0000,0.0028,0.0238,0.3744,0.5990,4.5696
37000,0,3,37,657,1135,152,0.0000,0.0016,0.0202,0.3586,0.6195,4.5961
38000,0,3,31,638,1168,149,0.0000,0.0016,0.0168,0.3467,0.6348,4.6147
39000,1,6,35,654,1218,103,0.0005,0.0031,0.0183,0.3417,0.6364,4.6102
40000,1,7,35,669,1240,68,0.0005,0.0036,0.0179,0.3427,0.6352,4.6086
41000,1,5,39,662,1295,35,0.0005,0.0025,0.0195,0.3307,0.6469,4.6209
42000,1,5,50,657,1310,14,0.0005,0.0025,0.0247,0.3248,0.6476,4.6164
43000,3,5,59,661,1312,3,0.0015,0.0025,0.0289,0.3240,0.6431,4.6049
44000,5,7,72,699,1263,0,0.0024,0.0034,0.0352,0.3416,0.6173,4.5679
45000,10,12,95,748,1177,0,0.0049,0.0059,0.0465,0.3663,0.5764,4.5034
46000,11,19,109,809,1098,0,0.0054,0.0093,0.0533,0.3954,0.5367,4.4487
47000,12,23,142,820,1049,0,0.0059,0.0112,0.0694,0.4008,0.5127,4.4032
48000,19,33,160,856,976,0,0.0093,0.0161,0.0783,0.4188,0.4775,4.3390
49000,26,40,202,859,913,0,0.0127,0.0196,0.0990,0.4211,0.4475,4.2711
50000,36,53,229,876,852,0,0.0176,0.0259,0.1119,0.4282,0.4164,4.1999
51000,53,72,265,867,789,0,0.0259,0.0352,0.1295,0.4238,0.3856,4.1080
52000,68,95,315,861,705,0,0.0333,0.0465,0.1541,0.4212,0.3449,3.9980
53000,88,126,369,840,621,0,0.0431,0.0616,0.1805,0.4110,0.3038,3.8708
54000,110,150,416,838,532,0,0.0538,0.0733,0.2033,0.4096,0.2600,3.7488
55000,129,186,454,825,452,0,0.0630,0.0909,0.2219,0.4032,0.2209,3.6281
56000,171,232,492,765,388,0,0.0835,0.1133,0.2402,0.3735,0.1895,3.4722
57000,225,269,539,709,304,0,0.1100,0.1315,0.2634,0.3465,0.1486,3.2923
58000,272,326,556,655,237,0,0.1329,0.1593,0.2717,0.3201,0.1158,3.1266
59000,333,382,587,568,176,0,0.1628,0.1867,0.2869,0.2776,0.0860,2.9374
60000,396,457,588,497,110,0,0.1934,0.2231,0.2871,0.2427,0.0537,2.7402
61000,481,479,594,421,73,0,0.2349,0.2339,0.2900,0.2056,0.0356,2.5732
62000,563,530,556,346,51,0,0.2752,0.2590,0.2717,0.1691,0.0249,2.4096
63000,642,572,531,270,33,0,0.3135,0.2793,0.2593,0.1318,0.0161,2.2578
64000,735,634,470,189,18,0,0.3592,0.3099,0.2297,0.0924,0.0088,2.0816
65000,880,641,406,114,5,0,0.4301,0.3133,0.1984,0.0557,0.0024,1.8871
66000,1037,622,314,74,1,0,0.5063,0.3037,0.1533,0.0361,0.0005,1.7207
67000,1225,569,217,37,0,0,0.5981,0.2778,0.1060,0.0181,0.0000,1.5439
68000,1432,489,114,13,0,0,0.6992,0.2388,0.0557,0.0063,0.0000,1.3691
69000,1699,307,40,2,0,0,0.8296,0.1499,0.0195,0.0010,0.0000,1.1919
70000,1887,60,1,0,1,85,0.9682,0.0308,0.0005,0.0000,0.0005,1.0339
71000,1318,52,1,2,4,445,0.9572,0.0378,0.0007,0.0015,0.0029,1.0552
72000,887,53,4,15,16,596,0.9097,0.0544,0.0041,0.0154,0.0164,1.1744
73000,538,40,20,35,28,701,0.8139,0.0605,0.0303,0.0530,0.0424,1.4493
74000,267,74,64,56,53,727,0.5195,0.1440,0.1245,0.1089,0.1031,2.1323
75000,63,97,97,93,85,805,0.1448,0.2230,0.2230,0.2138,0.1954,3.0920
76000,34,68,137,132,114,734,0.0701,0.1402,0.2825,0.2722,0.2351,3.4619
77000,31,102,195,176,146,632,0.0477,0.1569,0.3000,0.2708,0.2246,3.4677
78000,47,65,267,221,182,587,0.0601,0.0831,0.3414,0.2826,0.2327,3.5448
79000,42,91,319,269,206,594,0.0453,0.0982,0.3441,0.2902,0.2222,3.5458
80000,38,99,312,314,231,620,0.0382,0.0996,0.3139,0.3159,0.2324,3.6046
81000,22,60,319,335,281,631,0.0216,0.0590,0.3137,0.3294,0.2763,3.7797
