step,pop1,pop2,pop3,pop4,pop5,fire,share1,share2,share3,share4,share5,meanrung
70000,1,3,61,798,1121,44,0.0005,0.0015,0.0307,0.4022,0.5650,4.5297
71000,1,5,65,763,1139,49,0.0005,0.0025,0.0329,0.3867,0.5773,4.5378
72000,1,6,63,753,1192,24,0.0005,0.0030,0.0313,0.3737,0.5916,4.5529
73000,1,9,81,792,1161,1,0.0005,0.0044,0.0396,0.3875,0.5680,4.5181
74000,2,15,112,824,1092,1,0.0010,0.0073,0.0548,0.4029,0.5340,4.4616
75000,7,20,145,833,1036,1,0.0034,0.0098,0.0710,0.4081,0.5076,4.4067
76000,12,24,169,850,989,1,0.0059,0.0117,0.0827,0.4159,0.4839,4.3601
77000,19,29,203,847,945,1,0.0093,0.0142,0.0994,0.4146,0.4626,4.3069
78000,27,45,236,860,875,1,0.0132,0.0220,0.1155,0.4209,0.4283,4.2291
79000,38,62,269,873,801,1,0.0186,0.0303,0.1317,0.4273,0.3921,4.1439
80000,17,70,293,856,799,9,0.0084,0.0344,0.1440,0.4206,0.3926,4.1548
81000,22,75,295,834,792,18,0.0109,0.0372,0.1462,0.4133,0.3925,4.1392
82000,25,74,286,827,782,39,0.0125,0.0371,0.1434,0.4147,0.3922,4.1369
83000,29,81,283,837,780,23,0.0144,0.0403,0.1408,0.4164,0.3881,4.1234
84000,30,83,271,832,775,39,0.0151,0.0417,0.1361,0.4179,0.3893,4.1246
85000,38,90,301,841,777,1,0.0186,0.0440,0.1470,0.4108,0.3796,4.0889
86000,44,66,308,831,774,15,0.0217,0.0326,0.1522,0.4108,0.3826,4.0999
87000,47,66,295,803,792,31,0.0235,0.0330,0.1473,0.4009,0.3954,4.1118
88000,50,68,284,812,799,25,0.0248,0.0338,0.1411,0.4034,0.3969,4.1138
89000,43,69,275,810,797,39,0.0216,0.0346,0.1379,0.4062,0.3997,4.1279
90000,45,62,271,760,812,73,0.0231,0.0318,0.1390,0.3897,0.4164,4.1446
91000,45,60,256,788,819,63,0.0229,0.0305,0.1301,0.4004,0.4162,4.1565
92000,47,62,225,773,834,73,0.0242,0.0319,0.1159,0.3982,0.4297,4.1772
93000,48,61,219,794,881,37,0.0240,0.0305,0.1093,0.3964,0.4398,4.1977
94000,32,64,211,801,908,23,0.0159,0.0317,0.1047,0.3973,0.4504,4.2346
95000,9,50,223,785,919,46,0.0045,0.0252,0.1123,0.3953,0.4627,4.2865
96000,8,46,225,772,928,37,0.0040,0.0232,0.1137,0.3901,0.4689,4.2966
97000,9,46,221,781,946,26,0.0045,0.0230,0.1103,0.3899,0.4723,4.3025
98000,11,47,209,783,972,16,0.0054,0.0232,0.1034,0.3872,0.4807,4.3145
99000,18,55,234,796,938,1,0.0088,0.0269,0.1146,0.3900,0.4596,4.2646
100000,24,71,261,824,864,1,0.0117,0.0347,0.1277,0.4031,0.4227,4.1903
101000,31,82,289,831,813,1,0.0152,0.0401,0.1413,0.4062,0.3974,4.1305
102000,38,104,334,843,726,1,0.0186,0.0509,0.1633,0.4122,0.3550,4.0342
103000,33,107,315,805,716,51,0.0167,0.0541,0.1594,0.4074,0.3623,4.0445
104000,21,106,296,771,719,88,0.0110,0.0554,0.1547,0.4030,0.3758,4.0774
105000,19,81,287,771,741,97,0.0100,0.0427,0.1511,0.4060,0.3902,4.1237
106000,18,59,274,779,770,105,0.0095,0.0311,0.1442,0.4100,0.4053,4.1705
107000,15,60,235,754,799,132,0.0081,0.0322,0.1261,0.4047,0.4289,4.2142
108000,14,56,247,731,850,105,0.0074,0.0295,0.1301,0.3851,0.4478,4.2366
109000,15,54,234,701,893,109,0.0079,0.0285,0.1234,0.3695,0.4707,4.2667
110000,14,54,240,697,919,89,0.0073,0.0281,0.1247,0.3623,0.4777,4.2749
111000,14,44,232,683,986,54,0.0071,0.0225,0.1184,0.3486,0.5033,4.3185
112000,15,43,202,696,1031,44,0.0075,0.0216,0.1017,0.3503,0.5189,4.3513
113000,12,31,183,689,1041,63,0.0061,0.0158,0.0936,0.3522,0.5322,4.3885
114000,13,33,192,703,1051,39,0.0065,0.0166,0.0964,0.3529,0.5276,4.3785
115000,13,36,200,714,1059,16,0.0064,0.0178,0.0989,0.3531,0.5237,4.3699
116000,16,26,195,712,1051,38,0.0080,0.0130,0.0975,0.3560,0.5255,4.3780
117000,3,25,188,717,1067,29,0.0015,0.0125,0.0940,0.3585,0.5335,4.4100
118000,3,26,175,731,1081,18,0.0015,0.0129,0.0868,0.3626,0.5362,4.4191
119000,4,39,204,778,1019,1,0.0020,0.0191,0.0998,0.3806,0.4985,4.3547
120000,7,54,241,806,936,1,0.0034,0.0264,0.1179,0.3943,0.4579,4.2769
121000,10,71,273,835,854,1,0.0049,0.0348,0.1336,0.4087,0.4180,4.2002
122000,14,71,311,853,796,1,0.0068,0.0347,0.1521,0.4171,0.3892,4.1472
123000,16,49,287,850,791,31,0.0080,0.0246,0.1440,0.4265,0.3969,4.1796
124000,17,52,307,842,799,23,0.0084,0.0258,0.1522,0.4175,0.3961,4.1671
125000,17,55,302,839,807,16,0.0084,0.0272,0.1495,0.4153,0.3995,4.1703
126000,12,44,300,861,791,27,0.0060,0.0219,0.1494,0.4288,0.3939,4.1828
127000,13,42,292,842,802,36,0.0065,0.0211,0.1467,0.4229,0.4028,4.1944
128000,20,41,279,850,835,15,0.0099,0.0202,0.1378,0.4198,0.4123,4.2044
129000,22,39,260,853,833,27,0.0110,0.0194,0.1295,0.4250,0.4150,4.2138
130000,18,36,256,848,841,39,0.0090,0.0180,0.1281,0.4242,0.4207,4.2296
131000,19,43,235,857,855,32,0.0095,0.0214,0.1170,0.4266,0.4256,4.2374
132000,20,49,236,857,867,14,0.0099,0.0241,0.1163,0.4224,0.4273,4.2331
133000,13,56,257,846,867,5,0.0064,0.0275,0.1260,0.4149,0.4252,4.2251
134000,17,71,276,859,823,1,0.0083,0.0347,0.1349,0.4198,0.4022,4.1730
135000,24,99,304,862,756,1,0.0117,0.0484,0.1487,0.4215,0.3697,4.0890
136000,32,121,347,832,712,1,0.0157,0.0592,0.1698,0.4070,0.3483,4.0132
137000,41,144,383,865,613,1,0.0200,0.0704,0.1872,0.4228,0.2996,3.9115
138000,56,169,404,877,539,1,0.0274,0.0826,0.1976,0.4289,0.2636,3.8186
139000,87,194,438,852,474,1,0.0425,0.0949,0.2142,0.4166,0.2318,3.7002
140000,125,219,451,834,413,1,0.0612,0.1072,0.2209,0.4084,0.2023,3.5833
141000,123,166,415,818,414,73,0.0635,0.0857,0.2144,0.4225,0.2138,3.6374
142000,110,162,341,817,419,134,0.0595,0.0876,0.1844,0.4419,0.2266,3.6885
143000,76,146,314,851,445,146,0.0415,0.0797,0.1714,0.4645,0.2429,3.7877
144000,69,118,311,845,455,189,0.0384,0.0656,0.1730,0.4700,0.2531,3.8337
145000,53,84,268,827,482,236,0.0309,0.0490,0.1564,0.4825,0.2812,3.9341
146000,44,65,230,827,505,275,0.0263,0.0389,0.1376,0.4949,0.3022,4.0078
147000,27,47,239,817,516,298,0.0164,0.0286,0.1452,0.4964,0.3135,4.0620
148000,22,40,207,814,552,265,0.0135,0.0245,0.1266,0.4979,0.3376,4.1217
149000,19,37,183,846,590,262,0.0113,0.0221,0.1093,0.5051,0.3522,4.1648
150000,17,18,150,845,620,291,0.0103,0.0109,0.0909,0.5121,0.3758,4.2321
150000,17,18,150,845,620,291,0.0103,0.0109,0.0909,0.5121,0.3758,4.2321
