step,pop1,pop2,pop3,pop4,pop5,fire,share1,share2,share3,share4,share5,meanrung
1000,524,332,106,26,20,1,0.5198,0.3294,0.1052,0.0258,0.0198,1.6964
2000,1011,602,241,59,38,22,0.5182,0.3086,0.1235,0.0302,0.0195,1.7242
3000,820,494,240,70,39,276,0.4931,0.2971,0.1443,0.0421,0.0235,1.8058
4000,617,379,232,81,36,485,0.4587,0.2818,0.1725,0.0602,0.0268,1.9145
5000,460,293,228,94,36,577,0.4140,0.2637,0.2052,0.0846,0.0324,2.0576
6000,334,202,211,99,51,665,0.3724,0.2252,0.2352,0.1104,0.0569,2.2542
7000,236,134,199,112,69,729,0.3147,0.1787,0.2653,0.1493,0.0920,2.5253
8000,142,109,182,144,105,798,0.2082,0.1598,0.2669,0.2111,0.1540,2.9428
9000,43,91,189,157,127,796,0.0708,0.1499,0.3114,0.2586,0.2092,3.3855
10000,27,76,171,179,140,779,0.0455,0.1282,0.2884,0.3019,0.2361,3.5548
11000,49,99,171,190,174,753,0.0717,0.1449,0.2504,0.2782,0.2548,3.4993
12000,17,76,210,233,207,711,0.0229,0.1023,0.2826,0.3136,0.2786,3.7227
13000,22,71,268,275,256,659,0.0247,0.0796,0.3004,0.3083,0.2870,3.7534
14000,5,52,253,294,300,660,0.0055,0.0575,0.2799,0.3252,0.3319,3.9204
15000,16,63,222,326,343,647,0.0165,0.0649,0.2289,0.3361,0.3536,3.9454
16000,14,53,207,373,397,619,0.0134,0.0508,0.1983,0.3573,0.3803,4.0402
17000,0,30,213,402,451,576,0.0000,0.0274,0.1943,0.3668,0.4115,4.1624
18000,7,32,210,440,501,520,0.0059,0.0269,0.1765,0.3697,0.4210,4.1731
19000,3,25,201,471,549,501,0.0024,0.0200,0.1609,0.3771,0.4396,4.2314
20000,0,30,173,490,617,465,0.0000,0.0229,0.1321,0.3740,0.4710,4.2931
21000,3,24,161,514,675,449,0.0022,0.0174,0.1169,0.3733,0.4902,4.3319
22000,0,21,125,567,723,403,0.0000,0.0146,0.0870,0.3948,0.5035,4.3872
23000,0,19,86,579,785,386,0.0000,0.0129,0.0585,0.3941,0.5344,4.4500
