step,season,bloomx,bloomy,paidx,paidy,policy,flx,fly,tokx,toky,score
1000,a,452,189,452,0,0.7051,230,64,440,0,452
2000,a,418,48,418,0,0.8970,219,39,826,0,870
3000,a,347,25,347,0,0.9328,79,11,1085,0,1217
4000,a,310,22,310,0,0.9337,30,1,1118,0,1527
5000,a,327,26,327,0,0.9263,46,1,1135,0,1854
6000,a,332,21,332,0,0.9405,43,1,1176,0,2186
7000,a,310,22,310,0,0.9337,32,3,1159,0,2496
8000,a,322,18,322,0,0.9471,34,2,1160,0,2818
9000,a,323,16,323,0,0.9528,33,1,1163,0,3141
10000,a,323,19,323,0,0.9444,25,5,1174,0,3464
11000,a,332,18,332,0,0.9486,48,2,1186,0,3796
12000,a,325,13,325,0,0.9615,33,1,1203,0,4121
13000,a,315,25,315,0,0.9265,38,3,1191,0,4436
14000,a,328,14,328,0,0.9591,37,1,1206,0,4764
15000,a,324,11,324,0,0.9672,44,1,1193,0,5088
16000,a,324,14,324,0,0.9586,47,2,1189,0,5412
17000,a,316,18,316,0,0.9461,33,3,1186,0,5728
18000,a,324,21,324,0,0.9391,34,1,1201,0,6052
19000,a,326,17,326,0,0.9504,37,3,1208,0,6378
20000,a,325,15,325,0,0.9559,38,0,1215,0,6703
21000,a,324,11,324,0,0.9672,25,1,1221,0,7027
22000,a,334,8,334,0,0.9766,40,1,1224,0,7361
23000,a,323,14,323,0,0.9585,36,2,1224,0,7684
24000,a,314,22,314,0,0.9345,28,2,1218,0,7998
25000,a,319,17,319,0,0.9494,31,3,1205,0,8317
26000,a,329,13,329,0,0.9620,41,2,1209,0,8646
27000,a,320,12,320,0,0.9639,28,1,1207,0,8966
28000,a,325,11,325,0,0.9673,29,2,1202,0,9291
29000,a,328,14,328,0,0.9591,39,0,1206,0,9619
30000,a,325,15,325,0,0.9559,37,4,1209,0,9944
31000,b,624,20,0,20,0.9689,355,16,713,19,9964
32000,b,451,50,0,50,0.9002,362,34,454,69,10014
33000,b,375,101,0,101,0.7878,303,64,302,165,10115
34000,b,299,187,0,187,0.6152,244,116,196,338,10302
35000,b,203,239,0,239,0.4593,133,140,140,556,10541
36000,b,150,292,0,292,0.3394,71,128,111,810,10833
37000,b,101,302,0,302,0.2506,24,81,91,1019,11135
38000,b,89,281,0,281,0.2405,12,45,59,1104,11416
39000,b,59,301,0,301,0.1639,9,42,39,1145,11717
40000,b,34,315,0,315,0.0974,3,46,31,1166,12032
41000,b,35,308,0,308,0.1020,3,44,15,1171,12340
42000,b,30,305,0,305,0.0896,3,29,10,1165,12645
43000,b,23,327,0,327,0.0657,1,39,7,1186,12972
44000,b,24,311,0,311,0.0716,4,29,5,1176,13283
45000,b,11,328,0,328,0.0324,1,37,4,1178,13611
46000,b,17,325,0,325,0.0497,1,43,2,1183,13936
47000,b,22,316,0,316,0.0651,0,33,2,1186,14252
48000,b,20,327,0,327,0.0576,5,43,1,1192,14579
49000,b,16,328,0,328,0.0465,1,40,0,1215,14907
50000,b,21,314,0,314,0.0627,1,38,0,1201,15221
51000,b,14,324,0,324,0.0414,1,32,0,1207,15545
52000,b,21,317,0,317,0.0621,3,35,0,1195,15862
53000,b,13,326,0,326,0.0383,4,38,0,1195,16188
54000,b,17,323,0,323,0.0500,4,38,0,1198,16511
55000,b,19,326,0,326,0.0551,1,42,0,1213,16837
56000,b,18,313,0,313,0.0544,5,31,0,1195,17150
57000,b,16,324,0,324,0.0471,4,30,0,1201,17474
58000,b,11,329,0,329,0.0324,1,33,0,1210,17803
59000,b,16,329,0,329,0.0464,1,43,0,1219,18132
60000,b,14,320,0,320,0.0419,2,33,0,1216,18452
61000,a,7,625,7,0,0.0111,5,348,7,711,18459
62000,a,44,466,44,0,0.0863,25,371,50,455,18503
63000,a,106,367,106,0,0.2241,74,291,153,292,18609
64000,a,173,299,173,0,0.3665,109,222,319,179,18782
65000,a,264,207,264,0,0.5605,158,144,559,118,19046
66000,a,315,121,315,0,0.7225,152,75,829,89,19361
67000,a,309,84,309,0,0.7863,91,28,1039,70,19670
68000,a,283,86,283,0,0.7669,49,11,1122,56,19953
69000,a,289,63,289,0,0.8210,36,10,1137,42,20242
70000,a,299,54,299,0,0.8470,36,5,1157,26,20541
71000,a,323,29,323,0,0.9176,34,3,1195,18,20864
72000,a,296,48,296,0,0.8605,33,5,1182,13,21160
73000,a,317,28,317,0,0.9188,32,3,1195,8,21477
74000,a,320,19,320,0,0.9440,32,2,1196,6,21797
75000,a,319,19,319,0,0.9438,32,1,1194,3,22116
76000,a,320,21,320,0,0.9384,38,4,1187,3,22436
77000,a,323,20,323,0,0.9417,38,1,1201,0,22759
78000,a,323,20,323,0,0.9417,38,1,1210,0,23082
79000,a,321,20,321,0,0.9413,37,3,1212,0,23403
80000,a,316,20,316,0,0.9405,35,3,1202,0,23719
81000,a,322,24,322,0,0.9306,43,3,1208,0,24041
82000,a,314,24,314,0,0.9290,32,3,1209,0,24355
83000,a,328,19,328,0,0.9452,42,2,1222,0,24683
84000,a,311,21,311,0,0.9367,33,4,1204,0,24994
85000,a,323,15,323,0,0.9556,35,0,1205,0,25317
86000,a,324,17,324,0,0.9501,43,2,1201,0,25641
87000,a,320,17,320,0,0.9496,33,2,1205,0,25961
88000,a,326,14,326,0,0.9588,36,4,1206,0,26287
89000,a,331,10,331,0,0.9707,36,2,1221,0,26618
90000,a,315,18,315,0,0.9459,35,0,1205,0,26933
91000,b,620,15,0,15,0.9764,337,10,701,15,26948
92000,b,476,45,0,45,0.9136,378,36,437,60,26993
93000,b,380,82,0,82,0.8225,296,63,269,135,27075
94000,b,271,201,0,201,0.5742,207,120,172,321,27276
95000,b,192,270,0,270,0.4156,117,163,121,571,27546
96000,b,113,317,0,317,0.2628,58,140,100,835,27863
97000,b,92,295,0,295,0.2377,18,58,76,1036,28158
98000,b,91,281,0,281,0.2446,12,46,56,1088,28439
99000,b,70,288,0,288,0.1955,8,33,39,1119,28727
100000,b,48,307,0,307,0.1352,5,40,30,1138,29034
101000,b,31,319,0,319,0.0886,4,38,19,1167,29353
102000,b,41,305,0,305,0.1185,6,35,12,1170,29658
103000,b,26,323,0,323,0.0745,3,43,12,1186,29981
104000,b,30,305,0,305,0.0896,2,27,6,1183,30286
105000,b,21,323,0,323,0.0610,1,35,6,1187,30609
106000,b,25,318,0,318,0.0729,1,36,6,1190,30927
107000,b,28,320,0,320,0.0805,2,36,4,1206,31247
108000,b,18,322,0,322,0.0529,4,34,4,1208,31569
109000,b,19,320,0,320,0.0560,4,37,2,1205,31889
110000,b,16,319,0,319,0.0478,4,35,2,1196,32208
111000,b,25,322,0,322,0.0720,1,36,1,1215,32530
