step,season,bloomx,bloomy,paidx,paidy,policy,flx,fly,tokx,toky,score
163000,b,46,300,0,300,0.1329,7,31,11,1181,46815
164000,b,24,317,0,317,0.0704,2,34,6,1185,47132
165000,b,17,327,0,327,0.0494,1,48,3,1188,47459
166000,b,25,310,0,310,0.0746,5,27,3,1185,47769
167000,b,19,325,0,325,0.0552,2,38,2,1191,48094
168000,b,16,324,0,324,0.0471,2,33,1,1201,48418
169000,b,19,327,0,327,0.0549,2,41,1,1212,48745
170000,b,19,315,0,315,0.0569,2,24,1,1212,49060
171000,b,23,327,0,327,0.0657,3,39,0,1224,49387
172000,b,14,320,0,320,0.0419,2,35,0,1217,49707
173000,b,22,316,0,316,0.0651,2,41,0,1203,50023
174000,b,18,316,0,316,0.0539,1,33,0,1196,50339
175000,b,11,329,0,329,0.0324,3,30,0,1206,50668
176000,b,23,321,0,321,0.0669,1,38,0,1209,50989
177000,b,19,321,0,321,0.0559,3,44,0,1202,51310
178000,b,18,324,0,324,0.0526,0,46,0,1211,51634
179000,b,24,309,0,309,0.0721,2,28,0,1202,51943
180000,b,20,326,0,326,0.0578,4,36,0,1210,52269
