step,season,bloomx,bloomy,paidx,paidy,policy,flx,fly,tokx,toky,score
106000,b,138,246,0,246,0.3594,19,31,182,996,31288
107000,b,101,270,0,270,0.2722,12,30,149,1049,31558
108000,b,89,276,0,276,0.2438,13,38,119,1076,31834
109000,b,61,298,0,298,0.1699,2,49,91,1120,32132
110000,b,59,294,0,294,0.1671,8,34,72,1148,32426
111000,b,62,287,0,287,0.1777,6,28,53,1160,32713
112000,b,36,313,0,313,0.1032,5,38,40,1175,33026
113000,b,22,314,0,314,0.0655,5,36,27,1176,33340
114000,b,35,316,0,316,0.0997,6,38,20,1198,33656
115000,b,30,311,0,311,0.0880,3,34,13,1205,33967
116000,b,22,316,0,316,0.0651,4,33,7,1203,34283
117000,b,24,316,0,316,0.0706,0,29,5,1209,34599
118000,b,29,320,0,320,0.0831,4,41,2,1214,34919
119000,b,23,313,0,313,0.0685,3,31,2,1210,35232
120000,b,20,324,0,324,0.0581,6,38,2,1212,35556
121000,b,23,319,0,319,0.0673,2,35,1,1223,35875
122000,b,16,329,0,329,0.0464,0,34,1,1245,36204
123000,b,21,311,0,311,0.0633,2,44,1,1208,36515
124000,b,16,326,0,326,0.0468,1,38,1,1225,36841
125000,b,21,317,0,317,0.0621,4,36,1,1217,37158
126000,b,11,321,0,321,0.0331,3,31,0,1209,37479
127000,b,21,316,0,316,0.0623,0,36,0,1197,37795
128000,b,12,334,0,334,0.0347,1,37,0,1221,38129
129000,b,16,319,0,319,0.0478,2,28,0,1218,38448
130000,b,15,326,0,326,0.0440,1,39,0,1216,38774
131000,b,10,323,0,323,0.0300,0,36,0,1209,39097
132000,b,21,314,0,314,0.0627,2,30,0,1197,39411
133000,b,16,330,0,330,0.0462,2,44,0,1205,39741
134000,b,23,318,0,318,0.0674,1,37,0,1213,40059
135000,b,20,317,0,317,0.0593,5,28,0,1209,40376
136000,b,11,324,0,324,0.0328,0,31,0,1205,40700
137000,b,16,325,0,325,0.0469,1,35,0,1207,41025
138000,b,21,324,0,324,0.0609,2,43,0,1212,41349
139000,b,21,319,0,319,0.0618,3,44,0,1209,41668
140000,b,29,315,0,315,0.0843,3,42,0,1214,41983
141000,b,20,319,0,319,0.0590,2,35,0,1219,42302
142000,b,21,323,0,323,0.0610,3,43,0,1221,42625
143000,b,12,323,0,323,0.0358,0,42,0,1218,42948
144000,b,22,319,0,319,0.0645,2,46,0,1213,43267
145000,b,16,322,0,322,0.0473,2,37,0,1220,43589
146000,b,18,323,0,323,0.0528,1,37,0,1226,43912
147000,b,14,320,0,320,0.0419,1,39,0,1212,44232
148000,b,18,313,0,313,0.0544,0,33,0,1194,44545
149000,b,17,324,0,324,0.0499,0,30,0,1203,44869
150000,b,25,318,0,318,0.0729,1,33,0,1203,45187
151000,b,9,331,0,331,0.0265,1,42,0,1205,45518
152000,b,18,320,0,320,0.0533,1,45,0,1198,45838
153000,b,20,321,0,321,0.0587,2,40,0,1205,46159
154000,b,24,318,0,318,0.0702,4,40,0,1205,46477
155000,b,15,323,0,323,0.0444,0,37,0,1211,46800
156000,b,19,321,0,321,0.0559,2,31,0,1216,47121
157000,b,16,326,0,326,0.0468,0,37,0,1222,47447
158000,b,18,326,0,326,0.0523,1,39,0,1233,47773
159000,b,13,322,0,322,0.0388,0,41,0,1224,48095
160000,b,19,313,0,313,0.0572,2,33,0,1207,48408
161000,b,18,326,0,326,0.0523,0,37,0,1219,48734
162000,b,21,316,0,316,0.0623,4,28,0,1214,49050
163000,b,22,320,0,320,0.0643,3,38,0,1209,49370
164000,b,27,313,0,313,0.0794,3,33,0,1207,49683
165000,b,23,320,0,320,0.0671,1,39,0,1209,50003
166000,b,18,317,0,317,0.0537,3,29,0,1204,50320
167000,b,11,331,0,331,0.0322,2,43,0,1206,50651
168000,b,18,314,0,314,0.0542,3,32,0,1194,50965
169000,b,20,322,0,322,0.0585,2,35,0,1198,51287
170000,b,14,324,0,324,0.0414,1,31,0,1203,51611
171000,b,22,318,0,318,0.0647,4,33,0,1196,51929
172000,b,29,319,0,319,0.0833,0,45,0,1203,52248
173000,b,15,320,0,320,0.0448,4,34,0,1200,52568
174000,b,19,322,0,322,0.0557,3,33,0,1206,52890
175000,b,23,322,0,322,0.0667,2,36,0,1216,53212
176000,b,13,327,0,327,0.0382,2,41,0,1218,53539
177000,b,17,324,0,324,0.0499,3,43,0,1221,53863
178000,b,20,310,0,310,0.0606,5,31,0,1201,54173
179000,b,17,326,0,326,0.0496,2,34,0,1213,54499
180000,b,14,321,0,321,0.0418,0,35,0,1205,54820
