step,season,bloomx,bloomy,paidx,paidy,policy,flx,fly,tokx,toky,score
166000,b,15,331,0,331,0.0434,2,36,0,1197,49170
167000,b,20,324,0,324,0.0581,3,37,0,1192,49494
168000,b,15,333,0,333,0.0431,2,37,0,1200,49827
169000,b,19,336,0,336,0.0535,2,41,0,1224,50163
170000,b,15,324,0,324,0.0442,2,37,0,1216,50487
171000,b,15,330,0,330,0.0435,2,42,0,1213,50817
172000,b,13,337,0,337,0.0371,2,49,0,1219,51154
173000,b,12,331,0,331,0.0350,1,44,0,1227,51485
174000,b,10,327,0,327,0.0297,0,30,0,1229,51812
175000,b,21,322,0,322,0.0612,5,40,0,1210,52134
176000,b,20,326,0,326,0.0578,1,36,0,1212,52460
177000,b,17,330,0,330,0.0490,3,31,0,1222,52790
178000,b,18,324,0,324,0.0526,0,38,0,1211,53114
179000,b,11,324,0,324,0.0328,0,26,0,1203,53438
180000,b,12,339,0,339,0.0342,1,42,0,1211,53777
