m,w,target,seed,outcome,t_ext1,t_ext2,res1,res2,dormant1,dormant2,mean_share1,end_l1,end_l2,pokes
inf,1,none,1,FIX2,28,,0,0,0,0,0.000,0,24,0
inf,1,none,2,FIX2,74,,0,0,0,0,0.001,0,24,0
inf,1,none,3,FIX1,,66,0,0,0,0,0.999,24,0,0
inf,1,none,4,FIX1,,182,0,0,0,0,0.996,24,0,0
inf,1,none,5,FIX1,,18,0,0,0,0,1.000,24,0,0
inf,1,none,6,FIX1,,148,0,0,0,0,0.997,24,0,0
inf,1,none,7,FIX1,,196,0,0,0,0,0.996,24,0,0
inf,1,none,8,FIX2,96,,0,0,0,0,0.002,0,24,0
inf,1,none,9,FIX2,98,,0,0,0,0,0.001,0,24,0
inf,1,none,10,FIX2,58,,0,0,0,0,0.001,0,24,0
inf,1,none,11,FIX2,70,,0,0,0,0,0.001,0,24,0
inf,1,none,12,FIX1,,46,0,0,0,0,0.999,24,0,0
inf,1,none,13,FIX2,48,,0,0,0,0,0.001,0,24,0
inf,1,none,14,FIX1,,116,0,0,0,0,0.998,24,0,0
inf,1,none,15,FIX1,,186,0,0,0,0,0.996,24,0,0
inf,1,none,16,FIX1,,200,0,0,0,0,0.997,24,0,0
inf,1,none,17,FIX2,98,,0,0,0,0,0.001,0,24,0
inf,1,none,18,FIX2,50,,0,0,0,0,0.001,0,24,0
inf,1,none,19,FIX1,,152,0,0,0,0,0.998,24,0,0
inf,1,none,20,FIX1,,102,0,0,0,0,0.999,24,0,0
inf,1,none,21,FIX1,,174,0,0,0,0,0.997,24,0,0
inf,1,none,22,FIX1,,52,0,0,0,0,0.999,24,0,0
inf,1,none,23,FIX1,,176,0,0,0,0,0.996,24,0,0
inf,1,none,24,FIX2,256,,0,0,0,0,0.005,0,24,0
16,1,none,1,FIX2,28,,0,0,0,0,0.000,0,24,1411
16,1,none,2,FIX2,464,,1,0,3,0,0.006,0,24,1411
16,1,none,3,FIX1,,450,0,0,0,0,0.995,24,0,1411
16,1,none,4,FIX1,,328,0,0,0,0,0.993,24,0,1411
16,1,none,5,FIX1,,18,0,0,0,0,1.000,24,0,1411
16,1,none,6,FIX1,,488,2,1,2,2,0.990,24,0,1411
16,1,none,7,FIX2,79,,1,0,3,0,0.001,0,24,1411
16,1,none,8,FIX2,194,,0,1,0,1,0.003,0,24,1411
16,1,none,9,FIX2,146,,0,1,0,1,0.002,0,24,1411
16,1,none,10,FIX2,58,,0,0,0,0,0.001,0,24,1411
16,1,none,11,FIX2,69,,1,0,1,0,0.001,0,24,1411
16,1,none,12,FIX1,,46,2,0,2,0,0.999,24,0,1411
16,1,none,13,FIX2,48,,0,0,0,0,0.001,0,24,1411
16,1,none,14,FIX1,,82,1,0,1,0,0.999,24,0,1411
16,1,none,15,FIX2,322,,0,0,2,0,0.004,0,24,1411
16,1,none,16,FIX2,183,,0,1,0,1,0.004,0,24,1411
16,1,none,17,FIX2,839,,1,1,2,1,0.015,0,24,1411
16,1,none,18,FIX2,50,,0,3,0,3,0.001,0,24,1411
16,1,none,19,FIX2,398,,0,2,0,6,0.009,0,24,1411
16,1,none,20,FIX2,196,,1,0,2,0,0.004,0,24,1411
16,1,none,21,FIX2,641,,2,1,3,1,0.008,0,24,1411
16,1,none,22,FIX1,,52,2,0,2,0,0.999,24,0,1411
16,1,none,23,FIX1,,208,0,1,0,2,0.996,24,0,1411
16,1,none,24,FIX1,,567,0,0,0,0,0.988,24,0,1411
8,1,none,1,FIX2,28,,0,0,0,0,0.000,0,24,2666
8,1,none,2,FIX1,,407,1,0,5,0,0.992,24,0,2666
8,1,none,3,FIX1,,95,0,0,0,0,0.999,24,0,2666
8,1,none,4,FIX2,378,,0,0,16,0,0.005,0,24,2666
8,1,none,5,FIX1,,18,0,0,0,0,1.000,23,0,2666
8,1,none,6,FIX1,,295,0,2,0,6,0.996,23,0,2666
8,1,none,7,FIX2,79,,1,0,3,0,0.001,0,23,2666
8,1,none,8,FIX1,,314,0,2,0,7,0.996,24,0,2666
8,1,none,9,FIX1,,406,0,2,0,10,0.991,23,0,2666
8,1,none,10,FIX2,58,,0,0,0,0,0.001,0,24,2666
8,1,none,11,FIX2,69,,1,0,1,0,0.001,0,24,2666
8,1,none,12,FIX1,,46,0,0,0,0,0.999,24,0,2666
8,1,none,13,FIX2,48,,0,0,0,0,0.001,0,24,2666
8,1,none,14,FIX1,,857,1,0,4,0,0.982,24,0,2666
8,1,none,15,FIX1,,466,0,0,0,0,0.989,24,0,2666
8,1,none,16,FIX1,,194,0,0,0,0,0.997,24,0,2666
8,1,none,17,FIX1,,817,1,1,4,1,0.981,24,0,2666
8,1,none,18,FIX2,50,,0,0,0,0,0.001,0,23,2666
8,1,none,19,FIX1,,392,0,0,0,0,0.993,23,0,2666
8,1,none,20,FIX1,,230,1,1,2,1,0.996,24,0,2666
8,1,none,21,FIX2,437,,0,0,0,0,0.005,0,24,2666
8,1,none,22,FIX1,,52,0,0,0,0,0.999,24,0,2666
8,1,none,23,FIX1,,727,0,0,0,14,0.985,23,0,2666
8,1,none,24,FIX1,,210,0,1,0,17,0.997,23,0,2666
4,1,none,1,FIX2,28,,0,0,0,0,0.000,0,20,4800
4,1,none,2,FIX2,402,,4,0,29,0,0.004,0,20,4800
4,1,none,3,FIX1,,74,0,1,0,1,0.999,22,0,4800
4,1,none,4,FIX2,449,,0,2,0,3,0.010,0,24,4800
4,1,none,5,FIX1,,18,0,0,0,0,1.000,23,0,4800
4,1,none,6,FIX1,,290,0,0,0,0,0.997,21,0,4800
4,1,none,7,FIX1,,139,1,0,3,0,0.997,23,0,4800
4,1,none,8,FIX1,,162,0,0,0,0,0.998,22,0,4800
4,1,none,9,FIX2,217,,1,0,2,0,0.003,0,21,4800
4,1,none,10,FIX2,58,,0,0,0,0,0.001,0,21,4800
4,1,none,11,FIX2,69,,1,0,1,0,0.001,0,22,4800
4,1,none,12,FIX1,,46,0,0,0,0,0.999,23,0,4800
4,1,none,13,FIX2,48,,0,0,0,0,0.001,0,23,4800
4,1,none,14,FIX2,444,,1,0,7,0,0.007,0,20,4800
4,1,none,15,FIX2,75,,0,0,0,0,0.001,0,22,4800
4,1,none,16,FIX1,,173,0,1,0,7,0.998,22,0,4800
4,1,none,17,FIX2,106,,1,0,3,0,0.001,0,22,4800
4,1,none,18,FIX2,50,,0,0,0,0,0.001,0,23,4800
4,1,none,19,FIX1,,915,0,3,0,25,0.984,22,0,4800
4,1,none,20,FIX1,,1087,1,0,2,0,0.978,20,0,4800
4,1,none,21,FIX2,324,,2,0,4,0,0.004,0,21,4800
4,1,none,22,FIX1,,52,0,0,0,0,0.999,21,0,4800
4,1,none,23,FIX2,492,,0,0,0,0,0.011,0,22,4800
4,1,none,24,FIX1,,906,0,2,0,8,0.987,24,0,4800
2,1,none,1,FIX2,28,,0,0,0,0,0.000,0,14,8000
2,1,none,2,FIX2,89,,0,1,9,1,0.001,0,13,8000
2,1,none,3,FIX1,,629,0,2,0,9,0.988,17,0,8000
2,1,none,4,FIX2,174,,0,0,0,0,0.003,0,11,8000
2,1,none,5,FIX1,,18,0,0,0,0,1.000,17,0,8000
2,1,none,6,FIX1,,242,0,5,0,43,0.997,14,0,8000
2,1,none,7,FIX2,271,,3,0,55,0,0.003,0,16,8000
2,1,none,8,FIX1,,806,4,4,10,26,0.985,12,0,8000
2,1,none,9,FIX2,482,,6,0,17,0,0.005,0,13,8000
2,1,none,10,FIX2,58,,0,4,0,4,0.001,0,12,8000
2,1,none,11,FIX2,342,,5,2,13,2,0.004,0,11,8000
2,1,none,12,FIX1,,46,0,0,0,0,0.999,13,0,8000
2,1,none,13,FIX2,48,,0,0,0,0,0.001,0,13,8000
2,1,none,14,FIX1,,238,0,3,0,22,0.997,18,0,8000
2,1,none,15,FIX2,122,,1,1,7,1,0.001,0,19,8000
2,1,none,16,FIX2,336,,0,0,0,0,0.008,0,16,8000
2,1,none,17,FIX2,530,,6,2,16,2,0.006,0,18,8000
2,1,none,18,FIX2,50,,0,0,0,0,0.001,0,15,8000
2,1,none,19,FIX2,467,,0,2,0,2,0.010,0,15,8000
2,1,none,20,FIX2,220,,1,2,7,2,0.005,0,16,8000
2,1,none,21,FIX2,171,,0,0,0,0,0.003,0,15,8000
2,1,none,22,FIX1,,52,0,0,0,0,0.999,12,0,8000
2,1,none,23,FIX2,171,,0,0,0,0,0.003,0,15,8000
2,1,none,24,FIX2,199,,0,0,8,0,0.003,0,18,8000
inf,0.500,handler,1,FIX2,28,,0,0,0,0,0.000,0,24,0
inf,0.500,handler,2,FIX2,74,,0,0,0,0,0.001,0,24,0
inf,0.500,handler,3,FIX1,,66,0,0,0,0,0.999,24,0,0
inf,0.500,handler,4,FIX1,,182,0,0,0,0,0.996,24,0,0
inf,0.500,handler,5,FIX1,,18,0,0,0,0,1.000,24,0,0
inf,0.500,handler,6,FIX1,,148,0,0,0,0,0.997,24,0,0
inf,0.500,handler,7,FIX1,,196,0,0,0,0,0.996,24,0,0
inf,0.500,handler,8,FIX2,96,,0,0,0,0,0.002,0,24,0
inf,0.500,handler,9,FIX2,98,,0,0,0,0,0.001,0,24,0
inf,0.500,handler,10,FIX2,58,,0,0,0,0,0.001,0,24,0
inf,0.500,handler,11,FIX2,70,,0,0,0,0,0.001,0,24,0
inf,0.500,handler,12,FIX1,,46,0,0,0,0,0.999,24,0,0
inf,0.500,handler,13,FIX2,48,,0,0,0,0,0.001,0,24,0
inf,0.500,handler,14,FIX1,,116,0,0,0,0,0.998,24,0,0
inf,0.500,handler,15,FIX1,,186,0,0,0,0,0.996,24,0,0
inf,0.500,handler,16,FIX1,,200,0,0,0,0,0.997,24,0,0
inf,0.500,handler,17,FIX2,98,,0,0,0,0,0.001,0,24,0
inf,0.500,handler,18,FIX2,50,,0,0,0,0,0.001,0,24,0
inf,0.500,handler,19,FIX1,,152,0,0,0,0,0.998,24,0,0
inf,0.500,handler,20,FIX1,,102,0,0,0,0,0.999,24,0,0
inf,0.500,handler,21,FIX1,,174,0,0,0,0,0.997,24,0,0
inf,0.500,handler,22,FIX1,,52,0,0,0,0,0.999,24,0,0
inf,0.500,handler,23,FIX1,,176,0,0,0,0,0.996,24,0,0
inf,0.500,handler,24,FIX2,256,,0,0,0,0,0.005,0,24,0
inf,0.500,mover,1,FIX1,,34,0,0,0,0,0.999,24,0,0
inf,0.500,mover,2,FIX1,,42,0,0,0,0,1.000,24,0,0
inf,0.500,mover,3,FIX1,,20,0,0,0,0,1.000,24,0,0
inf,0.500,mover,4,FIX1,,22,0,0,0,0,1.000,24,0,0
inf,0.500,mover,5,FIX1,,18,0,0,0,0,1.000,24,0,0
inf,0.500,mover,6,FIX1,,36,0,0,0,0,1.000,24,0,0
inf,0.500,mover,7,FIX1,,26,0,0,0,0,1.000,24,0,0
inf,0.500,mover,8,FIX1,,46,0,0,0,0,0.999,24,0,0
inf,0.500,mover,9,FIX1,,64,0,0,0,0,0.999,24,0,0
inf,0.500,mover,10,FIX1,,26,0,0,0,0,1.000,24,0,0
inf,0.500,mover,11,FIX1,,24,0,0,0,0,1.000,24,0,0
inf,0.500,mover,12,FIX1,,18,0,0,0,0,1.000,24,0,0
inf,0.500,mover,13,FIX1,,30,0,0,0,0,1.000,24,0,0
inf,0.500,mover,14,FIX1,,20,0,0,0,0,1.000,24,0,0
inf,0.500,mover,15,FIX1,,48,0,0,0,0,0.999,24,0,0
inf,0.500,mover,16,FIX1,,24,0,0,0,0,1.000,24,0,0
inf,0.500,mover,17,FIX1,,32,0,0,0,0,1.000,24,0,0
inf,0.500,mover,18,FIX1,,72,0,0,0,0,0.998,24,0,0
inf,0.500,mover,19,FIX1,,26,0,0,0,0,1.000,24,0,0
inf,0.500,mover,20,FIX1,,20,0,0,0,0,1.000,24,0,0
inf,0.500,mover,21,FIX1,,16,0,0,0,0,1.000,24,0,0
inf,0.500,mover,22,FIX1,,20,0,0,0,0,1.000,24,0,0
inf,0.500,mover,23,FIX1,,42,0,0,0,0,0.999,24,0,0
inf,0.500,mover,24,FIX1,,30,0,0,0,0,1.000,24,0,0
inf,0.250,handler,1,FIX2,28,,0,0,0,0,0.000,0,24,0
inf,0.250,handler,2,FIX2,74,,0,0,0,0,0.001,0,24,0
inf,0.250,handler,3,FIX1,,66,0,0,0,0,0.999,24,0,0
inf,0.250,handler,4,FIX1,,182,0,0,0,0,0.996,24,0,0
inf,0.250,handler,5,FIX1,,18,0,0,0,0,1.000,24,0,0
inf,0.250,handler,6,FIX1,,148,0,0,0,0,0.997,24,0,0
inf,0.250,handler,7,FIX1,,196,0,0,0,0,0.996,24,0,0
inf,0.250,handler,8,FIX2,96,,0,0,0,0,0.002,0,24,0
inf,0.250,handler,9,FIX2,98,,0,0,0,0,0.001,0,24,0
inf,0.250,handler,10,FIX2,58,,0,0,0,0,0.001,0,24,0
inf,0.250,handler,11,FIX2,70,,0,0,0,0,0.001,0,24,0
inf,0.250,handler,12,FIX1,,46,0,0,0,0,0.999,24,0,0
inf,0.250,handler,13,FIX2,48,,0,0,0,0,0.001,0,24,0
inf,0.250,handler,14,FIX1,,116,0,0,0,0,0.998,24,0,0
inf,0.250,handler,15,FIX1,,186,0,0,0,0,0.996,24,0,0
inf,0.250,handler,16,FIX1,,200,0,0,0,0,0.997,24,0,0
inf,0.250,handler,17,FIX2,98,,0,0,0,0,0.001,0,24,0
inf,0.250,handler,18,FIX2,50,,0,0,0,0,0.001,0,24,0
inf,0.250,handler,19,FIX1,,152,0,0,0,0,0.998,24,0,0
inf,0.250,handler,20,FIX1,,102,0,0,0,0,0.999,24,0,0
inf,0.250,handler,21,FIX1,,174,0,0,0,0,0.997,24,0,0
inf,0.250,handler,22,FIX1,,52,0,0,0,0,0.999,24,0,0
inf,0.250,handler,23,FIX1,,176,0,0,0,0,0.996,24,0,0
inf,0.250,handler,24,FIX2,256,,0,0,0,0,0.005,0,24,0
inf,0.250,mover,1,FIX1,,20,0,0,0,0,1.000,24,0,0
inf,0.250,mover,2,FIX1,,22,0,0,0,0,1.000,24,0,0
inf,0.250,mover,3,FIX1,,20,0,0,0,0,1.000,24,0,0
inf,0.250,mover,4,FIX1,,14,0,0,0,0,1.000,24,0,0
inf,0.250,mover,5,FIX1,,18,0,0,0,0,1.000,24,0,0
inf,0.250,mover,6,FIX1,,22,0,0,0,0,1.000,24,0,0
inf,0.250,mover,7,FIX1,,20,0,0,0,0,1.000,24,0,0
inf,0.250,mover,8,FIX1,,36,0,0,0,0,1.000,24,0,0
inf,0.250,mover,9,FIX1,,22,0,0,0,0,1.000,24,0,0
inf,0.250,mover,10,FIX1,,26,0,0,0,0,1.000,24,0,0
inf,0.250,mover,11,FIX1,,16,0,0,0,0,1.000,24,0,0
inf,0.250,mover,12,FIX1,,14,0,0,0,0,1.000,24,0,0
inf,0.250,mover,13,FIX1,,24,0,0,0,0,1.000,24,0,0
inf,0.250,mover,14,FIX1,,14,0,0,0,0,1.000,24,0,0
inf,0.250,mover,15,FIX1,,16,0,0,0,0,1.000,24,0,0
inf,0.250,mover,16,FIX1,,20,0,0,0,0,1.000,24,0,0
inf,0.250,mover,17,FIX1,,20,0,0,0,0,1.000,24,0,0
inf,0.250,mover,18,FIX1,,36,0,0,0,0,0.999,24,0,0
inf,0.250,mover,19,FIX1,,12,0,0,0,0,1.000,24,0,0
inf,0.250,mover,20,FIX1,,12,0,0,0,0,1.000,24,0,0
inf,0.250,mover,21,FIX1,,14,0,0,0,0,1.000,24,0,0
inf,0.250,mover,22,FIX1,,16,0,0,0,0,1.000,24,0,0
inf,0.250,mover,23,FIX1,,16,0,0,0,0,1.000,24,0,0
inf,0.250,mover,24,FIX1,,22,0,0,0,0,1.000,24,0,0
16,0.500,handler,1,FIX2,28,,0,3,0,3,0.000,0,24,1411
16,0.500,handler,2,FIX2,378,,0,2,0,2,0.006,0,23,1411
16,0.500,handler,3,FIX1,,259,0,0,0,0,0.997,24,0,1411
16,0.500,handler,4,FIX2,98,,0,0,0,0,0.002,0,24,1411
16,0.500,handler,5,FIX1,,18,0,0,0,0,1.000,24,0,1411
16,0.500,handler,6,FIX2,593,,0,2,0,3,0.011,0,24,1411
16,0.500,handler,7,FIX2,79,,1,3,3,3,0.001,0,24,1411
16,0.500,handler,8,FIX2,686,,2,0,2,0,0.012,0,24,1411
16,0.500,handler,9,FIX2,146,,0,0,0,0,0.002,0,24,1411
16,0.500,handler,10,FIX2,58,,0,1,0,1,0.001,0,24,1411
16,0.500,handler,11,FIX2,69,,1,0,1,0,0.001,0,24,1411
16,0.500,handler,12,FIX1,,46,2,0,2,0,0.999,24,0,1411
16,0.500,handler,13,FIX2,48,,0,0,0,0,0.001,0,24,1411
16,0.500,handler,14,FIX1,,82,1,0,1,0,0.999,24,0,1411
16,0.500,handler,15,FIX2,482,,1,0,1,0,0.007,0,24,1411
16,0.500,handler,16,FIX1,,100,1,0,1,0,0.999,24,0,1411
16,0.500,handler,17,FIX2,778,,0,0,0,0,0.012,0,24,1411
16,0.500,handler,18,FIX2,50,,0,0,0,0,0.001,0,24,1411
16,0.500,handler,19,FIX1,,641,0,0,0,0,0.990,24,0,1411
16,0.500,handler,20,FIX2,160,,1,3,2,3,0.003,0,24,1411
16,0.500,handler,21,FIX2,409,,3,2,8,3,0.010,0,24,1411
16,0.500,handler,22,FIX1,,52,2,0,2,0,0.999,24,0,1411
16,0.500,handler,23,FIX1,,208,0,1,0,2,0.996,24,0,1411
16,0.500,handler,24,FIX2,706,,1,1,1,1,0.012,0,24,1411
16,0.500,mover,1,FIX1,,34,0,0,0,0,0.999,24,0,1411
16,0.500,mover,2,FIX1,,42,0,0,0,0,1.000,24,0,1411
16,0.500,mover,3,FIX1,,20,0,0,0,0,1.000,24,0,1411
