k,gid,pre,ring,m,survival,recovery,meanA,meanB,min_total,max_total,pokes_landed
2,A>B.write~|B>B.reqwrite~A,POP_OSC,12,1,0.00,0.00,1.25,4.88,1,12,21.50
2,A>B.write~|B>B.reqwrite~A,POP_OSC,12,2,1.00,1.00,0.83,3.69,2,12,100.00
2,A>B.write~|B>B.reqwrite~A,POP_OSC,12,3,1.00,0.83,1.61,6.72,5,12,100.00
2,A>B.write~|B>B.reqwrite~A,POP_OSC,12,5,1.00,1.00,1.69,8.11,6,12,100.00
2,A>B.write~|B>B.reqwrite~A,POP_OSC,12,8,1.00,0.83,1.50,8.73,7,12,100.00
2,A>B.write~|B>B.reqwrite~A,POP_OSC,12,12,1.00,1.00,1.37,9.10,8,12,100.00
2,A>B.write~|B>B.reqwrite~A,POP_OSC,12,20,1.00,1.00,1.16,9.74,9,12,100.00
2,A>B.write~|B>B.reqwrite~A,POP_OSC,12,40,1.00,1.00,0.92,10.17,9,12,100.00
2,A>~.reqwrite~B|B>A.writeB,TRANSLATION,6,0,0.00,0.00,3.03,0.47,1,6,6.00
2,A>~.reqwrite~B|B>A.writeB,TRANSLATION,6,1,0.00,0.00,2.03,1.28,1,6,9.50
2,A>~.reqwrite~B|B>A.writeB,TRANSLATION,6,2,1.00,1.00,2.63,1.68,2,6,100.00
2,A>~.reqwrite~B|B>A.writeB,TRANSLATION,6,3,1.00,1.00,3.32,1.95,3,6,100.00
2,A>~.reqwrite~B|B>A.writeB,TRANSLATION,6,5,1.00,1.00,3.95,1.77,4,6,100.00
2,A>~.reqwrite~B|B>A.writeB,TRANSLATION,6,8,1.00,1.00,4.35,1.57,5,6,100.00
2,A>~.reqwrite~B|B>A.writeB,TRANSLATION,6,12,1.00,1.00,4.65,1.35,5,6,100.00
2,A>~.reqwrite~B|B>A.writeB,TRANSLATION,6,20,1.00,1.00,4.88,1.12,6,6,100.00
2,A>~.reqwrite~B|B>A.writeB,TRANSLATION,6,40,1.00,1.00,5.00,1.00,6,6,100.00
2,A>~.reqwrite~B|B>A.writeB,TRANSLATION,12,0,0.00,0.00,5.83,0.67,1,12,12.00
2,A>~.reqwrite~B|B>A.writeB,TRANSLATION,12,1,0.00,0.00,3.83,1.94,1,12,19.00
2,A>~.reqwrite~B|B>A.writeB,TRANSLATION,12,2,1.00,1.00,4.42,2.77,4,12,100.00
2,A>~.reqwrite~B|B>A.writeB,TRANSLATION,12,3,1.00,1.00,6.38,3.34,6,12,100.00
2,A>~.reqwrite~B|B>A.writeB,TRANSLATION,12,5,1.00,1.00,7.62,3.37,8,12,100.00
2,A>~.reqwrite~B|B>A.writeB,TRANSLATION,12,8,1.00,1.00,8.48,3.06,9,12,100.00
2,A>~.reqwrite~B|B>A.writeB,TRANSLATION,12,12,1.00,1.00,9.16,2.63,10,12,100.00
2,A>~.reqwrite~B|B>A.writeB,TRANSLATION,12,20,1.00,1.00,9.75,2.20,11,12,100.00
2,A>~.reqwrite~B|B>A.writeB,TRANSLATION,12,40,1.00,1.00,10.47,1.53,12,12,100.00
2,A>~.writeB|B>A.reqwrite~B,POP_OSC,6,0,0.00,0.00,0.17,3.00,1,6,5.33
2,A>~.writeB|B>A.reqwrite~B,POP_OSC,6,1,0.00,0.00,0.67,2.89,1,6,8.00
2,A>~.writeB|B>A.reqwrite~B,POP_OSC,6,2,0.00,0.00,0.99,2.67,1,6,13.33
2,A>~.writeB|B>A.reqwrite~B,POP_OSC,6,3,0.00,0.00,1.12,2.41,1,6,24.67
2,A>~.writeB|B>A.reqwrite~B,POP_OSC,6,5,0.83,0.83,1.17,3.16,1,6,90.00
2,A>~.writeB|B>A.reqwrite~B,POP_OSC,6,8,1.00,1.00,0.96,3.93,2,6,100.00
2,A>~.writeB|B>A.reqwrite~B,POP_OSC,6,12,1.00,1.00,0.83,4.28,3,6,100.00
2,A>~.writeB|B>A.reqwrite~B,POP_OSC,6,20,1.00,1.00,0.73,4.69,4,6,100.00
2,A>~.writeB|B>A.reqwrite~B,POP_OSC,6,40,1.00,1.00,0.54,4.94,4,6,100.00
2,A>~.writeB|B>A.reqwrite~B,POP_OSC,12,0,0.00,0.00,0.33,5.75,1,12,11.17
2,A>~.writeB|B>A.reqwrite~B,POP_OSC,12,1,0.00,0.00,1.37,5.18,1,12,19.33
2,A>~.writeB|B>A.reqwrite~B,POP_OSC,12,2,0.00,0.00,1.39,4.68,1,12,24.00
2,A>~.writeB|B>A.reqwrite~B,POP_OSC,12,3,0.00,0.00,1.73,4.38,1,12,41.67
2,A>~.writeB|B>A.reqwrite~B,POP_OSC,12,5,1.00,0.50,2.07,5.53,2,12,100.00
2,A>~.writeB|B>A.reqwrite~B,POP_OSC,12,8,1.00,0.33,1.87,7.35,5,12,100.00
2,A>~.writeB|B>A.reqwrite~B,POP_OSC,12,12,1.00,0.50,1.56,8.61,7,12,100.00
2,A>~.writeB|B>A.reqwrite~B,POP_OSC,12,20,1.00,0.50,1.24,9.40,8,12,100.00
2,A>~.writeB|B>A.reqwrite~B,POP_OSC,12,40,1.00,0.50,0.94,10.09,8,12,100.00
