arm,wd,seed,b_init,b_lastq,d_extinct,b_extinct
contested,0.250,10,0.625,1.000,True,False
contested,0.250,11,0.583,1.000,True,False
contested,0.250,12,0.542,1.000,True,False
contested,0.250,13,0.583,1.000,True,False
contested,0.250,14,0.667,1.000,True,False
contested,0.250,15,0.583,1.000,True,False
contested,0.250,16,0.625,1.000,True,False
contested,0.250,17,0.667,1.000,True,False
contested,0.250,18,0.542,1.000,True,False
contested,0.250,19,0.583,1.000,True,False
contested,0.250,20,0.542,1.000,True,False
contested,0.250,21,0.625,1.000,True,False
contested,0.250,22,0.667,1.000,True,False
contested,0.250,23,0.542,1.000,True,False
contested,0.250,24,0.708,1.000,True,False
