init,m,mu,seed,winner,t_death,path,t_birth1,t_birth2,t_birth3,births1,births2,births3,mutations,fitness_lastq,share1,share2,share3,pokes
slow,inf,0.010,6,FIX3,,3,,,1,0,0,0,10167,0.487,0.183,0.189,0.628,0
slow,inf,0.010,7,FIX3,,3,,,1,0,0,0,10182,0.488,0.186,0.185,0.630,0
slow,inf,0.010,8,FIX3,,3,,,1,0,0,0,10064,0.485,0.182,0.185,0.633,0
slow,inf,0.010,9,FIX3,,3,,,1,0,0,0,10301,0.490,0.192,0.171,0.637,0
slow,inf,0.010,10,FIX3,,3,,,1,0,0,0,10261,0.482,0.179,0.177,0.645,0
slow,inf,0.010,11,FIX3,,3,,,1,0,0,0,10116,0.482,0.180,0.173,0.646,0
slow,inf,0.010,12,FIX3,,3,,,1,0,0,0,10113,0.487,0.182,0.192,0.626,0
slow,inf,0.010,13,FIX3,,3,,,1,0,0,0,10034,0.487,0.186,0.177,0.637,0
slow,inf,0.010,14,FIX3,,3,,,1,0,0,0,10154,0.489,0.186,0.194,0.620,0
slow,inf,0.010,15,FIX3,,3,,,1,0,0,0,10281,0.493,0.192,0.191,0.617,0
slow,inf,0.010,16,FIX3,,3,,,1,0,0,0,10249,0.494,0.194,0.187,0.619,0
slow,inf,0.010,17,FIX3,,3,,,1,0,0,0,10013,0.489,0.185,0.190,0.624,0
slow,inf,0.010,18,FIX3,,3,,,1,0,0,0,10110,0.492,0.189,0.192,0.619,0
slow,inf,0.010,19,FIX3,,3,,,1,0,0,0,10289,0.488,0.183,0.195,0.622,0
slow,inf,0.010,20,FIX3,,3,,,1,0,0,0,10176,0.480,0.174,0.182,0.644,0
slow,inf,0.010,21,FIX3,,3,,,1,0,0,0,10201,0.494,0.196,0.181,0.623,0
slow,inf,0.010,22,FIX3,,3,,,1,0,0,0,10116,0.493,0.193,0.184,0.623,0
slow,inf,0.010,23,FIX3,,3,,,1,0,0,0,10129,0.484,0.178,0.191,0.631,0
slow,inf,0.010,24,FIX3,,3,,,1,0,0,0,10147,0.493,0.193,0.187,0.620,0
slow,8,0.001,1,FIX1,,3>1,133,3788,1,2348,10,7,210,0.995,0.991,0.005,0.004,3555
slow,8,0.001,2,FIX1,,3>2>3>2>1,2340,356,1,1326,812,71,216,0.997,0.994,0.002,0.003,3555
slow,8,0.001,3,FIX1,,3>1,1343,6010,1,2218,15,90,197,0.995,0.992,0.004,0.004,3555
slow,8,0.001,4,FIX1,,3>2>1,3490,1950,1,2001,92,134,207,0.996,0.994,0.002,0.004,3555
slow,8,0.001,5,FIX1,,3>1,3552,3120,1,2007,12,238,235,0.998,0.996,0.002,0.002,3555
slow,8,0.001,6,FIX1,,3>2>1,5605,139,1,1845,338,45,216,0.996,0.992,0.005,0.002,3555
slow,8,0.001,7,FIX1,,3>1,469,202,1,2224,12,40,241,0.997,0.994,0.004,0.001,3555
slow,8,0.001,8,FIX1,,3>2>1,3811,1177,1,1515,636,116,175,0.997,0.996,0.002,0.003,3555
slow,8,0.001,9,FIX1,,3>1,178,8340,1,2280,12,24,248,0.996,0.993,0.003,0.004,3555
slow,8,0.001,10,FIX1,,3>1,3777,6587,1,1987,5,331,210,0.997,0.994,0.002,0.004,3555
slow,8,0.001,11,FIX1,,3>2>3>2>1,3817,1329,1,2032,162,113,194,0.998,0.997,0.002,0.001,3555
slow,8,0.001,12,FIX1,,3>1,798,10687,1,2241,9,55,194,0.997,0.995,0.003,0.002,3555
slow,8,0.001,13,FIX1,,3>1,130,2365,1,2312,16,14,216,0.994,0.990,0.007,0.004,3555
