k,genotype,consensus,classes,periods,transients,p_state,p_pop
2,A>~.writeA|B>A.req~,TRANSLATION,TRANSLATION;TRANSLATION;TRANSLATION;TRANSLATION;TRANSLATION;TRANSLATION,6;6;6;8;8;8,0;0;0;0;0;0,True,False
2,A>~.writeA|B>A.self,TRANSLATION,TRANSLATION;TRANSLATION;TRANSLATION;TRANSLATION;TRANSLATION;TRANSLATION,6;6;6;8;8;8,0;0;0;0;0;0,True,False
2,A>~.writeA|B>A.writeA,TRANSLATION,TRANSLATION;TRANSLATION;TRANSLATION;TRANSLATION;TRANSLATION;TRANSLATION,6;6;6;8;8;8,0;0;0;0;0;0,True,False
2,A>~.writeA|B>A.writeB,TRANSLATION,TRANSLATION;TRANSLATION;TRANSLATION;TRANSLATION;TRANSLATION;TRANSLATION,6;6;6;8;8;8,0;0;0;0;0;0,True,False
2,A>~.writeA|B>A.write~,TRANSLATION,TRANSLATION;TRANSLATION;TRANSLATION;TRANSLATION;TRANSLATION;TRANSLATION,6;6;6;8;8;8,0;0;0;0;0;0,True,False
2,A>~.writeA|B>B.reqA,TRANSLATION,TRANSLATION;TRANSLATION;TRANSLATION;TRANSLATION;TRANSLATION;TRANSLATION,6;6;6;8;8;8,0;0;0;0;0;0,True,False
2,A>~.writeA|B>B.reqB,TRANSLATION,TRANSLATION;TRANSLATION;TRANSLATION;TRANSLATION;TRANSLATION;TRANSLATION,6;6;6;8;8;8,0;0;0;0;0;0,True,False
2,A>~.writeA|B>B.req~,TRANSLATION,TRANSLATION;TRANSLATION;TRANSLATION;TRANSLATION;TRANSLATION;TRANSLATION,6;6;6;8;8;8,0;0;0;0;0;0,True,False
2,A>~.writeA|B>B.self,TRANSLATION,TRANSLATION;TRANSLATION;TRANSLATION;TRANSLATION;TRANSLATION;TRANSLATION,6;6;6;8;8;8,0;0;0;0;0;0,True,False
2,A>~.writeA|B>B.writeA,TRANSLATION,TRANSLATION;TRANSLATION;TRANSLATION;TRANSLATION;TRANSLATION;TRANSLATION,6;6;6;8;8;8,0;0;0;0;0;0,True,False
2,A>~.writeA|B>B.writeB,TRANSLATION,TRANSLATION;TRANSLATION;TRANSLATION;TRANSLATION;TRANSLATION;TRANSLATION,6;6;6;8;8;8,0;0;0;0;0;0,True,False
2,A>~.writeA|B>B.write~,TRANSLATION,TRANSLATION;TRANSLATION;TRANSLATION;TRANSLATION;TRANSLATION;TRANSLATION,6;6;6;8;8;8,0;0;0;0;0;0,True,False
2,A>~.writeA|B>~.reqA,TRANSLATION,TRANSLATION;TRANSLATION;TRANSLATION;TRANSLATION;TRANSLATION;TRANSLATION,6;6;6;8;8;8,0;0;0;0;0;0,True,False
2,A>~.writeA|B>~.reqB,TRANSLATION,TRANSLATION;TRANSLATION;TRANSLATION;TRANSLATION;TRANSLATION;TRANSLATION,6;6;6;8;8;8,0;0;0;0;0;0,True,False
2,A>~.writeA|B>~.req~,TRANSLATION,TRANSLATION;TRANSLATION;TRANSLATION;TRANSLATION;TRANSLATION;TRANSLATION,6;6;6;8;8;8,0;0;0;0;0;0,True,False
2,A>~.writeA|B>~.self,TRANSLATION,TRANSLATION;TRANSLATION;TRANSLATION;TRANSLATION;TRANSLATION;TRANSLATION,6;6;6;8;8;8,0;0;0;0;0;0,True,False
2,A>~.writeA|B>~.writeA,TRANSLATION,TRANSLATION;TRANSLATION;TRANSLATION;TRANSLATION;TRANSLATION;TRANSLATION,6;6;6;8;8;8,0;0;0;0;0;0,True,False
2,A>~.writeA|B>~.writeB,TRANSLATION,TRANSLATION;TRANSLATION;TRANSLATION;TRANSLATION;TRANSLATION;TRANSLATION,6;6;6;8;8;8,0;0;0;0;0;0,True,False
2,A>~.writeA|B>~.write~,TRANSLATION,TRANSLATION;TRANSLATION;TRANSLATION;TRANSLATION;TRANSLATION;TRANSLATION,6;6;6;8;8;8,0;0;0;0;0;0,True,False
2,A>~.writeB|B>A.req~,POP_OSC,POP_OSC;POP_OSC;POP_OSC;POP_OSC;POP_OSC;POP_OSC,12;12;12;16;16;16,0;0;0;0;0;0,True,True
2,A>~.writeB|B>A.self,POP_OSC,POP_OSC;POP_OSC;POP_OSC;POP_OSC;POP_OSC;POP_OSC,12;12;12;16;16;16,0;0;0;0;0;0,True,True
2,A>~.writeB|B>A.write~,POP_OSC,POP_OSC;POP_OSC;POP_OSC;POP_OSC;POP_OSC;POP_OSC,12;12;12;16;16;16,0;0;0;0;0;0,True,True
2,A>~.writeB|B>~.writeA,POP_OSC,POP_OSC;POP_OSC;POP_OSC;POP_OSC;POP_OSC;POP_OSC,6;6;6;8;8;8,0;0;0;0;0;0,True,True
2,A>~.writeB|B>~.writeB,TRANSLATION,TRANSLATION;TRANSLATION;TRANSLATION;TRANSLATION;TRANSLATION;TRANSLATION,6;6;6;8;8;8,1;1;1;1;1;1,True,False
