lambda,wi,wr,seed,events,score,extinct
0.6250,10,16,5,9,-1,1
0.6250,10,16,6,1,-1,1
0.6250,10,16,7,1,-1,1
0.6250,10,16,8,20000,276,0
0.6250,10,16,9,1,-1,1
0.6250,10,16,10,1,-1,1
0.6250,10,16,11,20001,277,0
0.6250,10,16,12,20001,261,0
0.6250,10,16,13,20001,287,0
0.6250,10,16,14,20001,273,0
0.6250,10,16,15,3,-1,1
0.6250,10,16,16,20000,232,0
0.6250,10,16,17,1,-1,1
0.6250,10,16,18,20001,233,0
0.6250,10,16,19,20000,296,0
0.6250,10,16,20,20001,267,0
0.6250,10,16,21,20001,245,0
0.6250,10,16,22,9,-1,1
0.6250,10,16,23,1,-1,1
0.6250,10,16,24,20001,217,0
0.6250,10,16,25,3,-1,1
0.6250,10,16,26,1,-1,1
0.6250,10,16,27,20001,273,0
0.6250,10,16,28,20001,279,0
0.6250,10,16,29,20001,259,0
0.6250,10,16,30,20001,275,0
0.6250,10,16,31,1,-1,1
0.6250,10,16,32,20001,277,0
0.6250,10,16,33,20001,271,0
0.6250,10,16,34,20001,259,0
0.6250,10,16,35,20001,279,0
0.6250,10,16,36,1,-1,1
0.6250,10,16,37,20001,243,0
0.6250,10,16,38,20001,251,0
0.6250,10,16,39,20000,256,0
0.6250,10,16,40,1,-1,1
0.6250,10,16,41,20001,263,0
0.6250,10,16,42,20001,265,0
0.6250,10,16,43,5,-1,1
0.6250,10,16,44,20001,271,0
0.6250,10,16,45,20000,280,0
0.6250,10,16,46,20001,291,0
0.6250,10,16,47,20000,280,0
0.6250,10,16,48,20001,271,0
0.6250,10,16,49,20001,293,0
0.6250,10,16,50,7,-1,1
