lambda,wi,wr,seed,events,score,extinct
0.3750,6,16,1,3,-1,1
0.3750,6,16,2,9,-1,1
0.3750,6,16,3,303,-1,1
0.3750,6,16,4,1,-1,1
0.3750,6,16,5,69,-1,1
0.3750,6,16,6,1,-1,1
0.3750,6,16,7,1,-1,1
0.3750,6,16,8,83,-1,1
0.3750,6,16,9,1,-1,1
0.3750,6,16,10,1,-1,1
0.3750,6,16,11,57,-1,1
0.3750,6,16,12,1,-1,1
0.3750,6,16,13,1,-1,1
0.3750,6,16,14,3,-1,1
0.3750,6,16,15,3,-1,1
0.3750,6,16,16,127,-1,1
0.3750,6,16,17,1,-1,1
0.3750,6,16,18,11,-1,1
0.3750,6,16,19,21,-1,1
0.3750,6,16,20,31,-1,1
0.3750,6,16,21,17,-1,1
0.3750,6,16,22,39,-1,1
0.3750,6,16,23,1,-1,1
0.3750,6,16,24,3,-1,1
0.3750,6,16,25,3,-1,1
0.3750,6,16,26,1,-1,1
0.3750,6,16,27,287,-1,1
0.3750,6,16,28,47,-1,1
0.3750,6,16,29,3,-1,1
0.3750,6,16,30,3,-1,1
0.3750,6,16,31,1,-1,1
0.3750,6,16,32,33,-1,1
0.3750,6,16,33,1,-1,1
0.3750,6,16,34,85,-1,1
0.3750,6,16,35,1,-1,1
0.3750,6,16,36,1,-1,1
0.3750,6,16,37,43,-1,1
0.3750,6,16,38,253,-1,1
0.3750,6,16,39,5,-1,1
0.3750,6,16,40,1,-1,1
0.3750,6,16,41,21,-1,1
0.3750,6,16,42,143,-1,1
0.3750,6,16,43,5,-1,1
0.3750,6,16,44,73,-1,1
0.3750,6,16,45,171,-1,1
0.3750,6,16,46,3,-1,1
0.3750,6,16,47,781,-1,1
0.3750,6,16,48,433,-1,1
0.3750,6,16,49,7,-1,1
0.3750,6,16,50,1,-1,1
0.4375,7,16,1,3,-1,1
0.4375,7,16,2,11357,-1,1
0.4375,7,16,3,2349,-1,1
0.4375,7,16,4,1,-1,1
0.4375,7,16,5,89,-1,1
0.4375,7,16,6,1,-1,1
0.4375,7,16,7,1,-1,1
0.4375,7,16,8,1269,-1,1
0.4375,7,16,9,1,-1,1
0.4375,7,16,10,1,-1,1
0.4375,7,16,11,299,-1,1
0.4375,7,16,12,1,-1,1
0.4375,7,16,13,699,-1,1
0.4375,7,16,14,3,-1,1
0.4375,7,16,15,3,-1,1
0.4375,7,16,16,57,-1,1
0.4375,7,16,17,1,-1,1
0.4375,7,16,18,11,-1,1
0.4375,7,16,19,1595,-1,1
0.4375,7,16,20,287,-1,1
0.4375,7,16,21,129,-1,1
0.4375,7,16,22,1433,-1,1
0.4375,7,16,23,1,-1,1
0.4375,7,16,24,3,-1,1
0.4375,7,16,25,3,-1,1
0.4375,7,16,26,1,-1,1
0.4375,7,16,27,25,-1,1
0.4375,7,16,28,47,-1,1
0.4375,7,16,29,3,-1,1
0.4375,7,16,30,3,-1,1
0.4375,7,16,31,1,-1,1
0.4375,7,16,32,5,-1,1
0.4375,7,16,33,57,-1,1
0.4375,7,16,34,2175,-1,1
0.4375,7,16,35,1,-1,1
0.4375,7,16,36,1,-1,1
0.4375,7,16,37,579,-1,1
0.4375,7,16,38,697,-1,1
0.4375,7,16,39,523,-1,1
0.4375,7,16,40,1,-1,1
0.4375,7,16,41,21,-1,1
0.4375,7,16,42,275,-1,1
0.4375,7,16,43,3633,-1,1
0.4375,7,16,44,471,-1,1
0.4375,7,16,45,1369,-1,1
0.4375,7,16,46,7,-1,1
0.4375,7,16,47,135,-1,1
0.4375,7,16,48,12791,-1,1
0.4375,7,16,49,4023,-1,1
0.4375,7,16,50,1,-1,1
0.5000,8,16,1,3,-1,1
0.5000,8,16,2,20007,113,0
0.5000,8,16,3,20004,100,0
0.5000,8,16,4,1,-1,1
0.5000,8,16,5,20006,104,0
0.5000,8,16,6,1,-1,1
0.5000,8,16,7,1,-1,1
0.5000,8,16,8,20000,144,0
0.5000,8,16,9,1,-1,1
0.5000,8,16,10,1,-1,1
0.5000,8,16,11,57,-1,1
0.5000,8,16,12,1,-1,1
0.5000,8,16,13,20004,140,0
0.5000,8,16,14,3,-1,1
0.5000,8,16,15,3,-1,1
0.5000,8,16,16,20005,109,0
0.5000,8,16,17,1,-1,1
0.5000,8,16,18,20000,72,0
0.5000,8,16,19,20007,91,0
0.5000,8,16,20,51,-1,1
0.5000,8,16,21,20002,150,0
0.5000,8,16,22,20004,90,0
0.5000,8,16,23,1,-1,1
0.5000,8,16,24,3,-1,1
0.5000,8,16,25,3,-1,1
0.5000,8,16,26,1,-1,1
0.5000,8,16,27,20006,140,0
0.5000,8,16,28,20007,139,0
0.5000,8,16,29,20001,141,0
0.5000,8,16,30,20001,81,0
0.5000,8,16,31,1,-1,1
0.5000,8,16,32,5,-1,1
0.5000,8,16,33,20003,165,0
0.5000,8,16,34,20005,107,0
0.5000,8,16,35,1,-1,1
0.5000,8,16,36,1,-1,1
0.5000,8,16,37,20004,136,0
0.5000,8,16,38,20006,148,0
0.5000,8,16,39,17,-1,1
0.5000,8,16,40,1,-1,1
0.5000,8,16,41,21,-1,1
0.5000,8,16,42,73,-1,1
0.5000,8,16,43,57,-1,1
0.5000,8,16,44,65,-1,1
0.5000,8,16,45,20001,129,0
0.5000,8,16,46,20007,111,0
0.5000,8,16,47,20000,120,0
0.5000,8,16,48,57,-1,1
0.5000,8,16,49,41,-1,1
0.5000,8,16,50,3,-1,1
0.6250,10,16,1,3,-1,1
0.6250,10,16,2,20004,238,0
0.6250,10,16,3,20006,262,0
0.6250,10,16,4,1,-1,1
0.6250,10,16,5,20002,228,0
0.6250,10,16,6,1,-1,1
0.6250,10,16,7,1,-1,1
0.6250,10,16,8,20006,242,0
0.6250,10,16,9,1,-1,1
0.6250,10,16,10,1,-1,1
0.6250,10,16,11,20006,200,0
0.6250,10,16,12,20000,248,0
0.6250,10,16,13,20007,243,0
0.6250,10,16,14,20007,231,0
0.6250,10,16,15,3,-1,1
0.6250,10,16,16,13,-1,1
0.6250,10,16,17,1,-1,1
0.6250,10,16,18,20007,213,0
0.6250,10,16,19,20007,221,0
0.6250,10,16,20,9,-1,1
0.6250,10,16,21,20005,223,0
0.6250,10,16,22,20004,214,0
0.6250,10,16,23,1,-1,1
0.6250,10,16,24,20005,209,0
0.6250,10,16,25,3,-1,1
0.6250,10,16,26,1,-1,1
0.6250,10,16,27,20003,237,0
0.6250,10,16,28,20003,249,0
0.6250,10,16,29,20007,273,0
0.6250,10,16,30,20003,229,0
0.6250,10,16,31,1,-1,1
0.6250,10,16,32,20004,246,0
0.6250,10,16,33,20000,224,0
0.6250,10,16,34,20001,219,0
0.6250,10,16,35,20002,214,0
0.6250,10,16,36,1,-1,1
0.6250,10,16,37,123,-1,1
0.6250,10,16,38,20007,229,0
0.6250,10,16,39,17,-1,1
0.6250,10,16,40,1,-1,1
0.6250,10,16,41,21,-1,1
0.6250,10,16,42,20006,248,0
0.6250,10,16,43,20002,232,0
0.6250,10,16,44,20005,225,0
0.6250,10,16,45,20000,250,0
0.6250,10,16,46,20007,245,0
0.6250,10,16,47,20005,255,0
0.6250,10,16,48,20001,233,0
0.6250,10,16,49,20006,234,0
0.6250,10,16,50,5,-1,1
