lambda,wi,wr,seed,events,score,extinct
0.4062,13,32,1,3,-1,1
0.4062,13,32,2,159,-1,1
0.4062,13,32,3,705,-1,1
0.4062,13,32,4,1,-1,1
0.4062,13,32,5,9,-1,1
0.4062,13,32,6,1,-1,1
0.4062,13,32,7,1,-1,1
0.4062,13,32,8,5,-1,1
0.4062,13,32,9,1,-1,1
0.4062,13,32,10,1,-1,1
0.4062,13,32,11,977,-1,1
0.4062,13,32,12,1,-1,1
0.4062,13,32,13,225,-1,1
0.4062,13,32,14,3,-1,1
0.4062,13,32,15,3,-1,1
0.4062,13,32,16,5,-1,1
0.4062,13,32,17,1,-1,1
0.4062,13,32,18,7,-1,1
0.4062,13,32,19,579,-1,1
0.4062,13,32,20,5,-1,1
0.4062,13,32,21,13,-1,1
0.4062,13,32,22,1487,-1,1
0.4062,13,32,23,1,-1,1
0.4062,13,32,24,3,-1,1
0.4062,13,32,25,3,-1,1
0.4062,13,32,26,1,-1,1
0.4062,13,32,27,287,-1,1
0.4062,13,32,28,83,-1,1
0.4062,13,32,29,3,-1,1
0.4062,13,32,30,3,-1,1
0.4062,13,32,31,1,-1,1
0.4062,13,32,32,11,-1,1
0.4062,13,32,33,423,-1,1
0.4062,13,32,34,5,-1,1
0.4062,13,32,35,1,-1,1
0.4062,13,32,36,1,-1,1
0.4062,13,32,37,29,-1,1
0.4062,13,32,38,159,-1,1
0.4062,13,32,39,5565,-1,1
0.4062,13,32,40,1,-1,1
0.4062,13,32,41,97,-1,1
0.4062,13,32,42,11,-1,1
0.4062,13,32,43,5,-1,1
0.4062,13,32,44,5,-1,1
0.4062,13,32,45,171,-1,1
0.4062,13,32,46,9,-1,1
0.4062,13,32,47,9,-1,1
0.4062,13,32,48,17,-1,1
0.4062,13,32,49,123,-1,1
0.4062,13,32,50,1,-1,1
0.4062,13,32,51,37,-1,1
0.4062,13,32,52,3,-1,1
0.4062,13,32,53,35,-1,1
0.4062,13,32,54,19,-1,1
0.4062,13,32,55,3,-1,1
0.4062,13,32,56,1,-1,1
0.4062,13,32,57,7,-1,1
0.4062,13,32,58,3,-1,1
0.4062,13,32,59,5,-1,1
0.4062,13,32,60,3,-1,1
0.4062,13,32,61,33,-1,1
0.4062,13,32,62,1,-1,1
0.4062,13,32,63,1383,-1,1
0.4062,13,32,64,3,-1,1
0.4062,13,32,65,5,-1,1
0.4062,13,32,66,1,-1,1
0.4062,13,32,67,1,-1,1
0.4062,13,32,68,17,-1,1
0.4062,13,32,69,3255,-1,1
0.4062,13,32,70,1,-1,1
0.4062,13,32,71,1,-1,1
0.4062,13,32,72,29,-1,1
0.4062,13,32,73,7,-1,1
0.4062,13,32,74,1,-1,1
0.4062,13,32,75,283,-1,1
0.4062,13,32,76,13,-1,1
0.4062,13,32,77,1,-1,1
0.4062,13,32,78,1,-1,1
0.4062,13,32,79,165,-1,1
0.4062,13,32,80,1,-1,1
0.4062,13,32,81,1,-1,1
0.4062,13,32,82,3,-1,1
0.4062,13,32,83,1,-1,1
0.4062,13,32,84,9,-1,1
0.4062,13,32,85,195,-1,1
0.4062,13,32,86,1,-1,1
0.4062,13,32,87,9,-1,1
0.4062,13,32,88,59,-1,1
0.4062,13,32,89,1,-1,1
0.4062,13,32,90,1,-1,1
0.4062,13,32,91,11,-1,1
0.4062,13,32,92,25,-1,1
0.4062,13,32,93,315,-1,1
0.4062,13,32,94,29,-1,1
0.4062,13,32,95,21,-1,1
0.4062,13,32,96,1,-1,1
0.4062,13,32,97,1,-1,1
0.4062,13,32,98,1,-1,1
0.4062,13,32,99,177,-1,1
0.4062,13,32,100,247,-1,1
0.4375,14,32,1,3,-1,1
0.4375,14,32,2,63,-1,1
0.4375,14,32,3,50001,103,0
0.4375,14,32,4,1,-1,1
0.4375,14,32,5,9,-1,1
0.4375,14,32,6,1,-1,1
0.4375,14,32,7,1,-1,1
