lambda,wi,wr,seed,events,score,extinct
0.3750,12,32,155,5,-1,1
0.3750,12,32,156,325,-1,1
0.3750,12,32,157,7,-1,1
0.3750,12,32,158,9,-1,1
0.3750,12,32,159,3,-1,1
0.3750,12,32,160,1,-1,1
0.3750,12,32,161,1,-1,1
0.3750,12,32,162,1023,-1,1
0.3750,12,32,163,5,-1,1
0.3750,12,32,164,1,-1,1
0.3750,12,32,165,9,-1,1
0.3750,12,32,166,3,-1,1
0.3750,12,32,167,1,-1,1
0.3750,12,32,168,1,-1,1
0.3750,12,32,169,1,-1,1
0.3750,12,32,170,851,-1,1
0.3750,12,32,171,1,-1,1
0.3750,12,32,172,1,-1,1
0.3750,12,32,173,9,-1,1
0.3750,12,32,174,279,-1,1
0.3750,12,32,175,1,-1,1
0.3750,12,32,176,1,-1,1
0.3750,12,32,177,205,-1,1
0.3750,12,32,178,3,-1,1
0.3750,12,32,179,1,-1,1
0.3750,12,32,180,29,-1,1
0.3750,12,32,181,1,-1,1
0.3750,12,32,182,3,-1,1
0.3750,12,32,183,111,-1,1
0.3750,12,32,184,187,-1,1
0.3750,12,32,185,1,-1,1
0.3750,12,32,186,7,-1,1
0.3750,12,32,187,121,-1,1
0.3750,12,32,188,1,-1,1
0.3750,12,32,189,1,-1,1
0.3750,12,32,190,1,-1,1
0.3750,12,32,191,11,-1,1
0.3750,12,32,192,1,-1,1
0.3750,12,32,193,195,-1,1
0.3750,12,32,194,1,-1,1
0.3750,12,32,195,1,-1,1
0.3750,12,32,196,1,-1,1
0.3750,12,32,197,1,-1,1
0.3750,12,32,198,11,-1,1
0.3750,12,32,199,3,-1,1
0.3750,12,32,200,1,-1,1
0.4062,13,32,1,13,-1,1
0.4062,13,32,2,5,-1,1
0.4062,13,32,3,211,-1,1
0.4062,13,32,4,3,-1,1
0.4062,13,32,5,1,-1,1
0.4062,13,32,6,1,-1,1
0.4062,13,32,7,31,-1,1
0.4062,13,32,8,1,-1,1
0.4062,13,32,9,1,-1,1
0.4062,13,32,10,237,-1,1
0.4062,13,32,11,3,-1,1
0.4062,13,32,12,355,-1,1
0.4062,13,32,13,13,-1,1
0.4062,13,32,14,11,-1,1
0.4062,13,32,15,1,-1,1
0.4062,13,32,16,1,-1,1
0.4062,13,32,17,3,-1,1
0.4062,13,32,18,145,-1,1
0.4062,13,32,19,1,-1,1
0.4062,13,32,20,1,-1,1
0.4062,13,32,21,3,-1,1
0.4062,13,32,22,13,-1,1
0.4062,13,32,23,7,-1,1
0.4062,13,32,24,1,-1,1
0.4062,13,32,25,257,-1,1
0.4062,13,32,26,3,-1,1
0.4062,13,32,27,3,-1,1
0.4062,13,32,28,7,-1,1
0.4062,13,32,29,13,-1,1
0.4062,13,32,30,1,-1,1
0.4062,13,32,31,263,-1,1
0.4062,13,32,32,11,-1,1
0.4062,13,32,33,1,-1,1
0.4062,13,32,34,1,-1,1
0.4062,13,32,35,5,-1,1
0.4062,13,32,36,3593,-1,1
0.4062,13,32,37,1,-1,1
0.4062,13,32,38,11813,-1,1
0.4062,13,32,39,3,-1,1
0.4062,13,32,40,3,-1,1
0.4062,13,32,41,5,-1,1
0.4062,13,32,42,1,-1,1
0.4062,13,32,43,15,-1,1
0.4062,13,32,44,5,-1,1
0.4062,13,32,45,63,-1,1
0.4062,13,32,46,9,-1,1
0.4062,13,32,47,12501,-1,1
0.4062,13,32,48,39,-1,1
0.4062,13,32,49,1,-1,1
0.4062,13,32,50,3,-1,1
0.4062,13,32,51,43,-1,1
0.4062,13,32,52,267,-1,1
0.4062,13,32,53,25,-1,1
0.4062,13,32,54,1,-1,1
0.4062,13,32,55,1,-1,1
0.4062,13,32,56,1,-1,1
0.4062,13,32,57,7,-1,1
0.4062,13,32,58,461,-1,1
0.4062,13,32,59,1,-1,1
0.4062,13,32,60,5,-1,1
0.4062,13,32,61,27,-1,1
0.4062,13,32,62,39,-1,1
0.4062,13,32,63,5,-1,1
0.4062,13,32,64,1879,-1,1
0.4062,13,32,65,1,-1,1
0.4062,13,32,66,1,-1,1
0.4062,13,32,67,3,-1,1
0.4062,13,32,68,2427,-1,1
0.4062,13,32,69,13,-1,1
0.4062,13,32,70,8743,-1,1
0.4062,13,32,71,461,-1,1
0.4062,13,32,72,1,-1,1
0.4062,13,32,73,1,-1,1
0.4062,13,32,74,2977,-1,1
0.4062,13,32,75,1,-1,1
0.4062,13,32,76,1,-1,1
0.4062,13,32,77,1,-1,1
0.4062,13,32,78,13,-1,1
0.4062,13,32,79,1,-1,1
0.4062,13,32,80,3,-1,1
0.4062,13,32,81,15,-1,1
0.4062,13,32,82,5,-1,1
0.4062,13,32,83,715,-1,1
0.4062,13,32,84,1,-1,1
0.4062,13,32,85,11,-1,1
0.4062,13,32,86,5,-1,1
0.4062,13,32,87,1,-1,1
0.4062,13,32,88,1,-1,1
0.4062,13,32,89,35,-1,1
0.4062,13,32,90,3,-1,1
0.4062,13,32,91,3,-1,1
0.4062,13,32,92,49,-1,1
0.4062,13,32,93,17,-1,1
0.4062,13,32,94,1,-1,1
0.4062,13,32,95,3,-1,1
0.4062,13,32,96,3,-1,1
0.4062,13,32,97,101,-1,1
0.4062,13,32,98,1,-1,1
0.4062,13,32,99,25,-1,1
0.4062,13,32,100,1,-1,1
0.4062,13,32,101,3,-1,1
0.4062,13,32,102,1,-1,1
0.4062,13,32,103,3,-1,1
0.4062,13,32,104,1,-1,1
0.4062,13,32,105,45,-1,1
0.4062,13,32,106,31,-1,1
0.4062,13,32,107,1,-1,1
0.4062,13,32,108,5,-1,1
0.4062,13,32,109,7,-1,1
0.4062,13,32,110,169,-1,1
0.4062,13,32,111,167,-1,1
0.4062,13,32,112,1,-1,1
0.4062,13,32,113,3,-1,1
0.4062,13,32,114,7,-1,1
0.4062,13,32,115,1,-1,1
0.4062,13,32,116,1,-1,1
0.4062,13,32,117,101,-1,1
0.4062,13,32,118,165,-1,1
0.4062,13,32,119,1,-1,1
0.4062,13,32,120,17,-1,1
0.4062,13,32,121,29,-1,1
0.4062,13,32,122,91,-1,1
0.4062,13,32,123,1,-1,1
0.4062,13,32,124,9155,-1,1
0.4062,13,32,125,1,-1,1
0.4062,13,32,126,1,-1,1
0.4062,13,32,127,169,-1,1
0.4062,13,32,128,1,-1,1
0.4062,13,32,129,439,-1,1
0.4062,13,32,130,1,-1,1
0.4062,13,32,131,10757,-1,1
0.4062,13,32,132,1,-1,1
0.4062,13,32,133,6589,-1,1
0.4062,13,32,134,23,-1,1
0.4062,13,32,135,1055,-1,1
0.4062,13,32,136,1,-1,1
