lambda,wi,wr,seed,events,score,extinct
0.5000,8,16,5,1,-1,1
0.5000,8,16,6,1,-1,1
0.5000,8,16,7,31,-1,1
0.5000,8,16,8,20000,178,0
0.5000,8,16,9,1,-1,1
0.5000,8,16,10,20000,208,0
0.5000,8,16,11,3,-1,1
0.5000,8,16,12,20000,182,0
0.5000,8,16,13,13,-1,1
0.5000,8,16,14,11,-1,1
0.5000,8,16,15,20000,202,0
0.5000,8,16,16,1,-1,1
0.5000,8,16,17,3,-1,1
0.5000,8,16,18,20000,172,0
0.5000,8,16,19,1,-1,1
0.5000,8,16,20,1,-1,1
0.5000,8,16,21,5,-1,1
0.5000,8,16,22,13,-1,1
0.5000,8,16,23,7,-1,1
0.5000,8,16,24,1,-1,1
0.5000,8,16,25,20000,174,0
0.5000,8,16,26,20000,220,0
0.5000,8,16,27,3,-1,1
0.5000,8,16,28,7,-1,1
0.5000,8,16,29,13,-1,1
0.5000,8,16,30,1,-1,1
0.5000,8,16,31,20000,184,0
0.5000,8,16,32,20000,186,0
0.5000,8,16,33,1,-1,1
0.5000,8,16,34,1,-1,1
0.5000,8,16,35,5,-1,1
0.5000,8,16,36,20000,190,0
0.5000,8,16,37,1,-1,1
0.5000,8,16,38,20000,174,0
0.5000,8,16,39,3,-1,1
0.5000,8,16,40,3,-1,1
0.5000,8,16,41,5,-1,1
0.5000,8,16,42,1,-1,1
0.5000,8,16,43,20000,214,0
0.5000,8,16,44,5,-1,1
0.5000,8,16,45,20000,184,0
0.5000,8,16,46,20000,216,0
0.5000,8,16,47,20000,178,0
0.5000,8,16,48,20000,140,0
0.5000,8,16,49,1,-1,1
0.5000,8,16,50,3,-1,1
0.5625,9,16,1,20000,236,0
0.5625,9,16,2,20000,256,0
0.5625,9,16,3,20000,226,0
0.5625,9,16,4,3,-1,1
0.5625,9,16,5,1,-1,1
0.5625,9,16,6,1,-1,1
0.5625,9,16,7,25,-1,1
0.5625,9,16,8,20000,230,0
0.5625,9,16,9,1,-1,1
0.5625,9,16,10,20000,228,0
0.5625,9,16,11,20000,236,0
0.5625,9,16,12,20000,250,0
0.5625,9,16,13,13,-1,1
0.5625,9,16,14,11,-1,1
0.5625,9,16,15,20000,242,0
0.5625,9,16,16,1,-1,1
0.5625,9,16,17,3,-1,1
0.5625,9,16,18,20000,220,0
0.5625,9,16,19,1,-1,1
0.5625,9,16,20,1,-1,1
0.5625,9,16,21,7,-1,1
0.5625,9,16,22,13,-1,1
0.5625,9,16,23,7,-1,1
0.5625,9,16,24,1,-1,1
0.5625,9,16,25,20000,244,0
0.5625,9,16,26,21,-1,1
0.5625,9,16,27,3,-1,1
0.5625,9,16,28,7,-1,1
0.5625,9,16,29,20000,260,0
0.5625,9,16,30,1,-1,1
0.5625,9,16,31,20000,238,0
0.5625,9,16,32,20000,204,0
0.5625,9,16,33,5,-1,1
0.5625,9,16,34,1,-1,1
0.5625,9,16,35,5,-1,1
0.5625,9,16,36,20000,256,0
0.5625,9,16,37,1,-1,1
0.5625,9,16,38,20000,218,0
0.5625,9,16,39,3,-1,1
0.5625,9,16,40,3,-1,1
0.5625,9,16,41,5,-1,1
0.5625,9,16,42,1,-1,1
0.5625,9,16,43,20000,206,0
0.5625,9,16,44,5,-1,1
0.5625,9,16,45,20000,234,0
0.5625,9,16,46,20000,258,0
0.5625,9,16,47,20000,192,0
0.5625,9,16,48,20000,232,0
0.5625,9,16,49,1,-1,1
0.5625,9,16,50,3,-1,1
0.6250,10,16,1,20000,278,0
0.6250,10,16,2,20000,254,0
0.6250,10,16,3,20000,248,0
0.6250,10,16,4,3,-1,1
0.6250,10,16,5,1,-1,1
0.6250,10,16,6,1,-1,1
0.6250,10,16,7,25,-1,1
0.6250,10,16,8,20000,276,0
0.6250,10,16,9,1,-1,1
0.6250,10,16,10,20000,280,0
0.6250,10,16,11,20000,246,0
0.6250,10,16,12,20000,264,0
0.6250,10,16,13,13,-1,1
0.6250,10,16,14,11,-1,1
0.6250,10,16,15,20000,268,0
0.6250,10,16,16,1,-1,1
0.6250,10,16,17,3,-1,1
0.6250,10,16,18,20000,248,0
0.6250,10,16,19,20000,264,0
0.6250,10,16,20,1,-1,1
0.6250,10,16,21,7,-1,1
0.6250,10,16,22,15,-1,1
0.6250,10,16,23,7,-1,1
0.6250,10,16,24,1,-1,1
0.6250,10,16,25,20000,278,0
0.6250,10,16,26,20000,280,0
0.6250,10,16,27,3,-1,1
0.6250,10,16,28,20000,274,0
0.6250,10,16,29,20000,276,0
0.6250,10,16,30,1,-1,1
0.6250,10,16,31,20000,270,0
0.6250,10,16,32,20000,272,0
0.6250,10,16,33,20000,246,0
0.6250,10,16,34,1,-1,1
0.6250,10,16,35,20000,248,0
0.6250,10,16,36,20000,220,0
0.6250,10,16,37,1,-1,1
0.6250,10,16,38,20000,268,0
0.6250,10,16,39,3,-1,1
0.6250,10,16,40,3,-1,1
0.6250,10,16,41,5,-1,1
0.6250,10,16,42,1,-1,1
0.6250,10,16,43,20000,280,0
0.6250,10,16,44,5,-1,1
0.6250,10,16,45,20000,264,0
0.6250,10,16,46,20000,296,0
0.6250,10,16,47,20000,264,0
0.6250,10,16,48,20000,278,0
0.6250,10,16,49,1,-1,1
0.6250,10,16,50,3,-1,1
