lambda,wi,wr,seed,events,score,extinct
0.4375,14,32,54,425,-1,1
0.4375,14,32,55,3,-1,1
0.4375,14,32,56,1,-1,1
0.4375,14,32,57,7,-1,1
0.4375,14,32,58,1741,-1,1
0.4375,14,32,59,7,-1,1
0.4375,14,32,60,523,-1,1
0.4375,14,32,61,5,-1,1
0.4375,14,32,62,1,-1,1
0.4375,14,32,63,103,-1,1
0.4375,14,32,64,3,-1,1
0.4375,14,32,65,25729,-1,1
0.4375,14,32,66,53,-1,1
0.4375,14,32,67,1,-1,1
0.4375,14,32,68,269,-1,1
0.4375,14,32,69,399,-1,1
0.4375,14,32,70,1,-1,1
0.4375,14,32,71,1,-1,1
0.4375,14,32,72,3697,-1,1
0.4375,14,32,73,51,-1,1
0.4375,14,32,74,1,-1,1
0.4375,14,32,75,111,-1,1
0.4375,14,32,76,18587,-1,1
0.4375,14,32,77,1,-1,1
0.4375,14,32,78,1,-1,1
0.4375,14,32,79,15,-1,1
0.4375,14,32,80,1,-1,1
0.4375,14,32,81,1,-1,1
0.4375,14,32,82,5,-1,1
0.4375,14,32,83,1,-1,1
0.4375,14,32,84,3,-1,1
0.4375,14,32,85,11,-1,1
0.4375,14,32,86,1,-1,1
0.4375,14,32,87,41,-1,1
0.4375,14,32,88,607,-1,1
0.4375,14,32,89,1,-1,1
0.4375,14,32,90,1,-1,1
0.4375,14,32,91,95,-1,1
0.4375,14,32,92,3259,-1,1
0.4375,14,32,93,261,-1,1
0.4375,14,32,94,6993,-1,1
0.4375,14,32,95,155,-1,1
0.4375,14,32,96,1,-1,1
0.4375,14,32,97,1,-1,1
0.4375,14,32,98,1,-1,1
0.4375,14,32,99,927,-1,1
0.4375,14,32,100,91,-1,1
0.4688,15,32,1,3,-1,1
0.4688,15,32,2,31,-1,1
0.4688,15,32,3,50001,123,0
0.4688,15,32,4,1,-1,1
0.4688,15,32,5,50001,117,0
0.4688,15,32,6,1,-1,1
0.4688,15,32,7,1,-1,1
0.4688,15,32,8,81,-1,1
0.4688,15,32,9,1,-1,1
0.4688,15,32,10,1,-1,1
0.4688,15,32,11,277,-1,1
0.4688,15,32,12,1,-1,1
0.4688,15,32,13,33,-1,1
0.4688,15,32,14,50000,120,0
0.4688,15,32,15,3,-1,1
0.4688,15,32,16,50000,130,0
0.4688,15,32,17,1,-1,1
0.4688,15,32,18,50000,108,0
0.4688,15,32,19,50000,110,0
0.4688,15,32,20,50003,123,0
0.4688,15,32,21,33,-1,1
0.4688,15,32,22,50001,59,0
0.4688,15,32,23,1,-1,1
0.4688,15,32,24,3,-1,1
0.4688,15,32,25,3,-1,1
0.4688,15,32,26,1,-1,1
0.4688,15,32,27,50001,169,0
0.4688,15,32,28,50001,181,0
0.4688,15,32,29,3,-1,1
0.4688,15,32,30,3,-1,1
0.4688,15,32,31,1,-1,1
0.4688,15,32,32,5,-1,1
0.4688,15,32,33,50001,129,0
0.4688,15,32,34,5,-1,1
0.4688,15,32,35,1,-1,1
0.4688,15,32,36,1,-1,1
0.4688,15,32,37,50000,150,0
0.4688,15,32,38,50002,130,0
0.4688,15,32,39,50000,100,0
0.4688,15,32,40,1,-1,1
0.4688,15,32,41,161,-1,1
0.4688,15,32,42,50000,144,0
0.4688,15,32,43,50001,151,0
0.4688,15,32,44,50003,113,0
0.4688,15,32,45,29,-1,1
0.4688,15,32,46,71,-1,1
0.4688,15,32,47,2809,-1,1
0.4688,15,32,48,43,-1,1
0.4688,15,32,49,9,-1,1
0.4688,15,32,50,1,-1,1
0.4688,15,32,51,50003,75,0
0.4688,15,32,52,3,-1,1
0.4688,15,32,53,50002,164,0
0.4688,15,32,54,50002,112,0
0.4688,15,32,55,5,-1,1
0.4688,15,32,56,1,-1,1
0.4688,15,32,57,7,-1,1
0.4688,15,32,58,50001,103,0
0.4688,15,32,59,50002,104,0
0.4688,15,32,60,50000,140,0
0.4688,15,32,61,5,-1,1
0.4688,15,32,62,1,-1,1
0.4688,15,32,63,9,-1,1
0.4688,15,32,64,50001,95,0
0.4688,15,32,65,50002,112,0
0.4688,15,32,66,29,-1,1
0.4688,15,32,67,1,-1,1
0.4688,15,32,68,7,-1,1
0.4688,15,32,69,50000,148,0
0.4688,15,32,70,1,-1,1
0.4688,15,32,71,1,-1,1
0.4688,15,32,72,50003,129,0
0.4688,15,32,73,50003,115,0
0.4688,15,32,74,1,-1,1
0.4688,15,32,75,197,-1,1
0.4688,15,32,76,50001,113,0
0.4688,15,32,77,1,-1,1
0.4688,15,32,78,1,-1,1
0.4688,15,32,79,15,-1,1
0.4688,15,32,80,1,-1,1
0.4688,15,32,81,1,-1,1
0.4688,15,32,82,5,-1,1
0.4688,15,32,83,1,-1,1
0.4688,15,32,84,3,-1,1
0.4688,15,32,85,9,-1,1
0.4688,15,32,86,1,-1,1
0.4688,15,32,87,41,-1,1
0.4688,15,32,88,50001,127,0
0.4688,15,32,89,1,-1,1
0.4688,15,32,90,1,-1,1
0.4688,15,32,91,50000,168,0
0.4688,15,32,92,50002,142,0
0.4688,15,32,93,105,-1,1
0.4688,15,32,94,50002,118,0
0.4688,15,32,95,50002,138,0
0.4688,15,32,96,1,-1,1
0.4688,15,32,97,1,-1,1
0.4688,15,32,98,1,-1,1
0.4688,15,32,99,50002,132,0
0.4688,15,32,100,50001,115,0
0.5000,16,32,1,3,-1,1
0.5000,16,32,2,50000,176,0
0.5000,16,32,3,50003,155,0
0.5000,16,32,4,1,-1,1
0.5000,16,32,5,50000,156,0
0.5000,16,32,6,1,-1,1
0.5000,16,32,7,1,-1,1
0.5000,16,32,8,50000,156,0
0.5000,16,32,9,1,-1,1
0.5000,16,32,10,1,-1,1
0.5000,16,32,11,50000,106,0
0.5000,16,32,12,1,-1,1
0.5000,16,32,13,50000,208,0
0.5000,16,32,14,50000,188,0
0.5000,16,32,15,3,-1,1
0.5000,16,32,16,50000,148,0
0.5000,16,32,17,1,-1,1
0.5000,16,32,18,50000,150,0
0.5000,16,32,19,50000,146,0
0.5000,16,32,20,50001,127,0
0.5000,16,32,21,50000,180,0
0.5000,16,32,22,50000,134,0
0.5000,16,32,23,1,-1,1
0.5000,16,32,24,3,-1,1
0.5000,16,32,25,3,-1,1
0.5000,16,32,26,1,-1,1
0.5000,16,32,27,50003,181,0
0.5000,16,32,28,50000,174,0
0.5000,16,32,29,50002,152,0
0.5000,16,32,30,217,-1,1
0.5000,16,32,31,1,-1,1
0.5000,16,32,32,5,-1,1
0.5000,16,32,33,50003,155,0
0.5000,16,32,34,5,-1,1
0.5000,16,32,35,1,-1,1
0.5000,16,32,36,1,-1,1
0.5000,16,32,37,50000,174,0
0.5000,16,32,38,21,-1,1
0.5000,16,32,39,50003,139,0
0.5000,16,32,40,1,-1,1
0.5000,16,32,41,50000,158,0
0.5000,16,32,42,50000,166,0
0.5000,16,32,43,50001,201,0
0.5000,16,32,44,50002,150,0
0.5000,16,32,45,29,-1,1
0.5000,16,32,46,50001,155,0
0.5000,16,32,47,50003,169,0
0.5000,16,32,48,77,-1,1
0.5000,16,32,49,9,-1,1
0.5000,16,32,50,3,-1,1
0.5000,16,32,51,50003,145,0
0.5000,16,32,52,50003,151,0
0.5000,16,32,53,50003,173,0
0.5000,16,32,54,50000,156,0
0.5000,16,32,55,5,-1,1
0.5000,16,32,56,1,-1,1
0.5000,16,32,57,7,-1,1
0.5000,16,32,58,50001,163,0
0.5000,16,32,59,50000,182,0
0.5000,16,32,60,50000,158,0
0.5000,16,32,61,5,-1,1
0.5000,16,32,62,1,-1,1
0.5000,16,32,63,9,-1,1
0.5000,16,32,64,50003,157,0
0.5000,16,32,65,50002,168,0
0.5000,16,32,66,50002,174,0
0.5000,16,32,67,1,-1,1
0.5000,16,32,68,7,-1,1
0.5000,16,32,69,50001,161,0
0.5000,16,32,70,1,-1,1
0.5000,16,32,71,1,-1,1
0.5000,16,32,72,50001,155,0
0.5000,16,32,73,50000,154,0
0.5000,16,32,74,1,-1,1
0.5000,16,32,75,50001,171,0
0.5000,16,32,76,50001,149,0
0.5000,16,32,77,1,-1,1
0.5000,16,32,78,1,-1,1
0.5000,16,32,79,15,-1,1
0.5000,16,32,80,1,-1,1
0.5000,16,32,81,1,-1,1
0.5000,16,32,82,5,-1,1
0.5000,16,32,83,1,-1,1
0.5000,16,32,84,3,-1,1
0.5000,16,32,85,50003,205,0
0.5000,16,32,86,1,-1,1
0.5000,16,32,87,41,-1,1
0.5000,16,32,88,50003,145,0
0.5000,16,32,89,1,-1,1
0.5000,16,32,90,1,-1,1
0.5000,16,32,91,119,-1,1
0.5000,16,32,92,303,-1,1
0.5000,16,32,93,50002,140,0
0.5000,16,32,94,371,-1,1
0.5000,16,32,95,127,-1,1
0.5000,16,32,96,1,-1,1
0.5000,16,32,97,1,-1,1
0.5000,16,32,98,1,-1,1
0.5000,16,32,99,50001,191,0
0.5000,16,32,100,50000,162,0
0.5312,17,32,1,3,-1,1
0.5312,17,32,2,50002,212,0
0.5312,17,32,3,50001,187,0
0.5312,17,32,4,1,-1,1
0.5312,17,32,5,50000,196,0
0.5312,17,32,6,1,-1,1
0.5312,17,32,7,1,-1,1
0.5312,17,32,8,50001,137,0
0.5312,17,32,9,1,-1,1
0.5312,17,32,10,1,-1,1
0.5312,17,32,11,50000,170,0
0.5312,17,32,12,1,-1,1
0.5312,17,32,13,50000,208,0
0.5312,17,32,14,15,-1,1
0.5312,17,32,15,3,-1,1
0.5312,17,32,16,21,-1,1
0.5312,17,32,17,1,-1,1
0.5312,17,32,18,50003,159,0
0.5312,17,32,19,50000,184,0
0.5312,17,32,20,50001,215,0
0.5312,17,32,21,50002,192,0
0.5312,17,32,22,50000,160,0
0.5312,17,32,23,1,-1,1
0.5312,17,32,24,3,-1,1
0.5312,17,32,25,3,-1,1
0.5312,17,32,26,1,-1,1
0.5312,17,32,27,50002,180,0
0.5312,17,32,28,50000,208,0
0.5312,17,32,29,50000,236,0
0.5312,17,32,30,50000,234,0
0.5312,17,32,31,1,-1,1
0.5312,17,32,32,50003,181,0
0.5312,17,32,33,50003,175,0
0.5312,17,32,34,5,-1,1
0.5312,17,32,35,50001,203,0
0.5312,17,32,36,1,-1,1
0.5312,17,32,37,301,-1,1
0.5312,17,32,38,15,-1,1
0.5312,17,32,39,50003,201,0
0.5312,17,32,40,1,-1,1
0.5312,17,32,41,50002,198,0
0.5312,17,32,42,50000,212,0
0.5312,17,32,43,50001,193,0
0.5312,17,32,44,50001,125,0
0.5312,17,32,45,50000,186,0
0.5312,17,32,46,50000,162,0
0.5312,17,32,47,50003,179,0
0.5312,17,32,48,50000,184,0
0.5312,17,32,49,9,-1,1
0.5312,17,32,50,3,-1,1
0.5312,17,32,51,50001,205,0
0.5312,17,32,52,50003,209,0
0.5312,17,32,53,50002,220,0
0.5312,17,32,54,50003,181,0
0.5312,17,32,55,50000,202,0
0.5312,17,32,56,1,-1,1
0.5312,17,32,57,7,-1,1
0.5312,17,32,58,50001,161,0
0.5312,17,32,59,50002,214,0
0.5312,17,32,60,50001,207,0
0.5312,17,32,61,5,-1,1
0.5312,17,32,62,1,-1,1
0.5312,17,32,63,9,-1,1
0.5312,17,32,64,50000,168,0
0.5312,17,32,65,161,-1,1
0.5312,17,32,66,50001,177,0
0.5312,17,32,67,1,-1,1
0.5312,17,32,68,7,-1,1
0.5312,17,32,69,50001,215,0
0.5312,17,32,70,1,-1,1
0.5312,17,32,71,1,-1,1
0.5312,17,32,72,50003,201,0
0.5312,17,32,73,50000,178,0
0.5312,17,32,74,1,-1,1
0.5312,17,32,75,50001,229,0
0.5312,17,32,76,50001,157,0
0.5312,17,32,77,1,-1,1
0.5312,17,32,78,1,-1,1
0.5312,17,32,79,23,-1,1
0.5312,17,32,80,1,-1,1
