lambda,wi,wr,seed,events,score,extinct
0.4375,14,32,55,3,-1,1
0.4375,14,32,56,1,-1,1
0.4375,14,32,57,237,-1,1
0.4375,14,32,58,3,-1,1
0.4375,14,32,59,7,-1,1
0.4375,14,32,60,3,-1,1
0.4375,14,32,61,5,-1,1
0.4375,14,32,62,1,-1,1
0.4375,14,32,63,69,-1,1
0.4375,14,32,64,3,-1,1
0.4375,14,32,65,47,-1,1
0.4375,14,32,66,97,-1,1
0.4375,14,32,67,1,-1,1
0.4375,14,32,68,11,-1,1
0.4375,14,32,69,17,-1,1
0.4375,14,32,70,1,-1,1
0.4375,14,32,71,1,-1,1
0.4375,14,32,72,127,-1,1
0.4375,14,32,73,167,-1,1
0.4375,14,32,74,1,-1,1
0.4375,14,32,75,159,-1,1
0.4375,14,32,76,71,-1,1
0.4375,14,32,77,1,-1,1
0.4375,14,32,78,1,-1,1
0.4375,14,32,79,19,-1,1
0.4375,14,32,80,1,-1,1
0.4375,14,32,81,1,-1,1
0.4375,14,32,82,3,-1,1
0.4375,14,32,83,1,-1,1
0.4375,14,32,84,185,-1,1
0.4375,14,32,85,55,-1,1
0.4375,14,32,86,1,-1,1
0.4375,14,32,87,13,-1,1
0.4375,14,32,88,50005,81,0
0.4375,14,32,89,1,-1,1
0.4375,14,32,90,1,-1,1
0.4375,14,32,91,281,-1,1
0.4375,14,32,92,27,-1,1
0.4375,14,32,93,17,-1,1
0.4375,14,32,94,287,-1,1
0.4375,14,32,95,139,-1,1
0.4375,14,32,96,1,-1,1
0.4375,14,32,97,1,-1,1
0.4375,14,32,98,1,-1,1
0.4375,14,32,99,7,-1,1
0.4375,14,32,100,261,-1,1
0.4688,15,32,1,3,-1,1
0.4688,15,32,2,21,-1,1
0.4688,15,32,3,15,-1,1
0.4688,15,32,4,1,-1,1
0.4688,15,32,5,253,-1,1
0.4688,15,32,6,1,-1,1
0.4688,15,32,7,1,-1,1
0.4688,15,32,8,71,-1,1
0.4688,15,32,9,1,-1,1
0.4688,15,32,10,1,-1,1
0.4688,15,32,11,65,-1,1
0.4688,15,32,12,1,-1,1
0.4688,15,32,13,17,-1,1
0.4688,15,32,14,3,-1,1
0.4688,15,32,15,3,-1,1
0.4688,15,32,16,125,-1,1
0.4688,15,32,17,1,-1,1
0.4688,15,32,18,69,-1,1
0.4688,15,32,19,5,-1,1
0.4688,15,32,20,11,-1,1
0.4688,15,32,21,7,-1,1
0.4688,15,32,22,95,-1,1
0.4688,15,32,23,1,-1,1
0.4688,15,32,24,3,-1,1
0.4688,15,32,25,3,-1,1
0.4688,15,32,26,1,-1,1
0.4688,15,32,27,35,-1,1
0.4688,15,32,28,50003,147,0
0.4688,15,32,29,3,-1,1
0.4688,15,32,30,3,-1,1
0.4688,15,32,31,1,-1,1
0.4688,15,32,32,5,-1,1
0.4688,15,32,33,50007,151,0
0.4688,15,32,34,13,-1,1
0.4688,15,32,35,1,-1,1
0.4688,15,32,36,1,-1,1
0.4688,15,32,37,213,-1,1
0.4688,15,32,38,7,-1,1
0.4688,15,32,39,9,-1,1
0.4688,15,32,40,1,-1,1
0.4688,15,32,41,69,-1,1
0.4688,15,32,42,35,-1,1
0.4688,15,32,43,50003,157,0
0.4688,15,32,44,19,-1,1
0.4688,15,32,45,61,-1,1
0.4688,15,32,46,7,-1,1
0.4688,15,32,47,9,-1,1
0.4688,15,32,48,19,-1,1
0.4688,15,32,49,7,-1,1
0.4688,15,32,50,1,-1,1
0.4688,15,32,51,50007,169,0
0.4688,15,32,52,3,-1,1
0.4688,15,32,53,43,-1,1
0.4688,15,32,54,23,-1,1
0.4688,15,32,55,13,-1,1
0.4688,15,32,56,1,-1,1
0.4688,15,32,57,21,-1,1
0.4688,15,32,58,3,-1,1
0.4688,15,32,59,7,-1,1
0.4688,15,32,60,3,-1,1
0.4688,15,32,61,5,-1,1
0.4688,15,32,62,1,-1,1
0.4688,15,32,63,15,-1,1
0.4688,15,32,64,265,-1,1
0.4688,15,32,65,187,-1,1
0.4688,15,32,66,73,-1,1
0.4688,15,32,67,1,-1,1
0.4688,15,32,68,11,-1,1
0.4688,15,32,69,17,-1,1
0.4688,15,32,70,1,-1,1
0.4688,15,32,71,1,-1,1
0.4688,15,32,72,50005,153,0
0.4688,15,32,73,117,-1,1
0.4688,15,32,74,1,-1,1
0.4688,15,32,75,1077,-1,1
0.4688,15,32,76,50003,145,0
0.4688,15,32,77,1,-1,1
0.4688,15,32,78,1,-1,1
