lambda,wi,wr,seed,events,score,extinct
0.3750,6,16,1,3,-1,1
0.3750,6,16,2,9,-1,1
0.3750,6,16,3,85,-1,1
0.3750,6,16,4,1,-1,1
0.3750,6,16,5,503,-1,1
0.3750,6,16,6,1,-1,1
0.3750,6,16,7,1,-1,1
0.3750,6,16,8,131,-1,1
0.3750,6,16,9,1,-1,1
0.3750,6,16,10,1,-1,1
0.3750,6,16,11,101,-1,1
0.3750,6,16,12,1,-1,1
0.3750,6,16,13,1,-1,1
0.3750,6,16,14,3,-1,1
0.3750,6,16,15,3,-1,1
0.3750,6,16,16,91,-1,1
0.3750,6,16,17,1,-1,1
0.3750,6,16,18,11,-1,1
0.3750,6,16,19,21,-1,1
0.3750,6,16,20,135,-1,1
0.3750,6,16,21,599,-1,1
0.3750,6,16,22,15,-1,1
0.3750,6,16,23,1,-1,1
0.3750,6,16,24,3,-1,1
0.3750,6,16,25,3,-1,1
0.3750,6,16,26,1,-1,1
0.3750,6,16,27,67,-1,1
0.3750,6,16,28,85,-1,1
0.3750,6,16,29,3,-1,1
0.3750,6,16,30,3,-1,1
0.3750,6,16,31,1,-1,1
0.3750,6,16,32,29,-1,1
0.3750,6,16,33,1,-1,1
0.3750,6,16,34,697,-1,1
0.3750,6,16,35,1,-1,1
0.3750,6,16,36,1,-1,1
0.3750,6,16,37,33,-1,1
0.3750,6,16,38,41,-1,1
0.3750,6,16,39,5,-1,1
0.3750,6,16,40,1,-1,1
0.3750,6,16,41,145,-1,1
0.3750,6,16,42,179,-1,1
0.3750,6,16,43,5,-1,1
0.3750,6,16,44,71,-1,1
0.3750,6,16,45,111,-1,1
0.3750,6,16,46,3,-1,1
0.3750,6,16,47,505,-1,1
0.3750,6,16,48,389,-1,1
0.3750,6,16,49,7,-1,1
0.3750,6,16,50,1,-1,1
0.4375,7,16,1,3,-1,1
0.4375,7,16,2,37,-1,1
0.4375,7,16,3,20000,100,0
0.4375,7,16,4,1,-1,1
0.4375,7,16,5,6909,-1,1
0.4375,7,16,6,1,-1,1
0.4375,7,16,7,1,-1,1
0.4375,7,16,8,2589,-1,1
0.4375,7,16,9,1,-1,1
0.4375,7,16,10,1,-1,1
0.4375,7,16,11,69,-1,1
0.4375,7,16,12,1,-1,1
0.4375,7,16,13,10023,-1,1
0.4375,7,16,14,3,-1,1
0.4375,7,16,15,3,-1,1
0.4375,7,16,16,2429,-1,1
0.4375,7,16,17,1,-1,1
0.4375,7,16,18,11,-1,1
0.4375,7,16,19,39,-1,1
0.4375,7,16,20,49,-1,1
0.4375,7,16,21,2971,-1,1
0.4375,7,16,22,405,-1,1
0.4375,7,16,23,1,-1,1
0.4375,7,16,24,3,-1,1
0.4375,7,16,25,3,-1,1
0.4375,7,16,26,1,-1,1
0.4375,7,16,27,49,-1,1
0.4375,7,16,28,41,-1,1
0.4375,7,16,29,3,-1,1
0.4375,7,16,30,3,-1,1
0.4375,7,16,31,1,-1,1
0.4375,7,16,32,5,-1,1
0.4375,7,16,33,69,-1,1
0.4375,7,16,34,20003,75,0
0.4375,7,16,35,1,-1,1
0.4375,7,16,36,1,-1,1
0.4375,7,16,37,837,-1,1
0.4375,7,16,38,83,-1,1
0.4375,7,16,39,1535,-1,1
0.4375,7,16,40,1,-1,1
0.4375,7,16,41,65,-1,1
0.4375,7,16,42,20003,11,0
0.4375,7,16,43,717,-1,1
0.4375,7,16,44,127,-1,1
0.4375,7,16,45,611,-1,1
0.4375,7,16,46,7,-1,1
0.4375,7,16,47,103,-1,1
0.4375,7,16,48,11627,-1,1
0.4375,7,16,49,7,-1,1
0.4375,7,16,50,1,-1,1
0.5000,8,16,1,3,-1,1
0.5000,8,16,2,20003,135,0
0.5000,8,16,3,231,-1,1
0.5000,8,16,4,1,-1,1
0.5000,8,16,5,20000,208,0
0.5000,8,16,6,1,-1,1
0.5000,8,16,7,1,-1,1
0.5000,8,16,8,485,-1,1
0.5000,8,16,9,1,-1,1
0.5000,8,16,10,1,-1,1
0.5000,8,16,11,20003,123,0
0.5000,8,16,12,1,-1,1
0.5000,8,16,13,20002,148,0
0.5000,8,16,14,3,-1,1
0.5000,8,16,15,3,-1,1
0.5000,8,16,16,20001,193,0
0.5000,8,16,17,1,-1,1
0.5000,8,16,18,20002,196,0
0.5000,8,16,19,55,-1,1
0.5000,8,16,20,71,-1,1
0.5000,8,16,21,20000,128,0
0.5000,8,16,22,20003,171,0
0.5000,8,16,23,1,-1,1
0.5000,8,16,24,3,-1,1
0.5000,8,16,25,3,-1,1
0.5000,8,16,26,1,-1,1
0.5000,8,16,27,20001,141,0
0.5000,8,16,28,20000,164,0
0.5000,8,16,29,20001,159,0
0.5000,8,16,30,20003,169,0
0.5000,8,16,31,1,-1,1
0.5000,8,16,32,5,-1,1
0.5000,8,16,33,385,-1,1
0.5000,8,16,34,20003,171,0
0.5000,8,16,35,1,-1,1
0.5000,8,16,36,1,-1,1
0.5000,8,16,37,20002,160,0
0.5000,8,16,38,20001,207,0
0.5000,8,16,39,23,-1,1
0.5000,8,16,40,1,-1,1
0.5000,8,16,41,20000,154,0
0.5000,8,16,42,20000,136,0
0.5000,8,16,43,20001,123,0
0.5000,8,16,44,25,-1,1
0.5000,8,16,45,20000,170,0
0.5000,8,16,46,20003,151,0
0.5000,8,16,47,121,-1,1
0.5000,8,16,48,20000,156,0
0.5000,8,16,49,20001,127,0
0.5000,8,16,50,3,-1,1
0.6250,10,16,1,3,-1,1
0.6250,10,16,2,20000,232,0
0.6250,10,16,3,17,-1,1
0.6250,10,16,4,1,-1,1
0.6250,10,16,5,20002,240,0
0.6250,10,16,6,1,-1,1
0.6250,10,16,7,1,-1,1
0.6250,10,16,8,20001,283,0
0.6250,10,16,9,1,-1,1
0.6250,10,16,10,1,-1,1
0.6250,10,16,11,20002,244,0
0.6250,10,16,12,20002,264,0
0.6250,10,16,13,20003,253,0
0.6250,10,16,14,20003,259,0
0.6250,10,16,15,3,-1,1
0.6250,10,16,16,20002,250,0
0.6250,10,16,17,1,-1,1
0.6250,10,16,18,20000,220,0
0.6250,10,16,19,20002,268,0
0.6250,10,16,20,9,-1,1
0.6250,10,16,21,20001,265,0
0.6250,10,16,22,20003,243,0
0.6250,10,16,23,1,-1,1
0.6250,10,16,24,20003,255,0
0.6250,10,16,25,3,-1,1
0.6250,10,16,26,1,-1,1
0.6250,10,16,27,20003,247,0
0.6250,10,16,28,20001,269,0
0.6250,10,16,29,20003,241,0
0.6250,10,16,30,20003,273,0
0.6250,10,16,31,1,-1,1
0.6250,10,16,32,20001,261,0
0.6250,10,16,33,20002,254,0
0.6250,10,16,34,20000,254,0
0.6250,10,16,35,20003,255,0
0.6250,10,16,36,1,-1,1
0.6250,10,16,37,20000,244,0
0.6250,10,16,38,20000,206,0
0.6250,10,16,39,20000,268,0
0.6250,10,16,40,1,-1,1
0.6250,10,16,41,31,-1,1
0.6250,10,16,42,20002,260,0
0.6250,10,16,43,47,-1,1
0.6250,10,16,44,20000,288,0
0.6250,10,16,45,20002,256,0
0.6250,10,16,46,20000,256,0
0.6250,10,16,47,20001,255,0
0.6250,10,16,48,20003,247,0
0.6250,10,16,49,20001,257,0
0.6250,10,16,50,5,-1,1
