p,threads,seed,events,size
0.40,8,1,11,5
0.40,8,2,17,8
0.40,8,3,99,49
0.40,8,4,109,54
0.40,8,5,41,20
0.40,8,6,1,0
0.40,8,7,7,3
0.40,8,8,23,11
0.40,8,9,181,90
0.40,8,10,89,44
0.40,8,11,3,1
0.40,8,12,3,1
0.40,8,13,59,29
0.40,8,14,9,4
0.40,8,15,17,8
0.40,8,16,3,1
0.40,8,17,61,30
0.40,8,18,47,23
0.40,8,19,45,22
0.40,8,20,3,1
0.40,8,21,85,42
0.40,8,22,111,55
0.40,8,23,3,1
0.40,8,24,105,52
0.40,8,25,7,3
0.40,8,26,1,0
0.40,8,27,87,43
0.40,8,28,87,43
0.40,8,29,1,0
0.40,8,30,1,0
0.40,8,31,7,3
0.40,8,32,81,40
0.40,8,33,19,9
0.40,8,34,1,0
0.40,8,35,49,24
0.40,8,36,7,3
0.40,8,37,143,71
0.40,8,38,9,4
0.40,8,39,11,5
0.40,8,40,1,0
0.40,8,41,1,0
0.40,8,42,27,13
0.40,8,43,49,24
0.40,8,44,1,0
0.40,8,45,289,144
0.40,8,46,3,1
0.40,8,47,29,14
0.40,8,48,85,42
0.40,8,49,97,48
0.40,8,50,295,147
0.40,8,51,53,26
0.40,8,52,5,2
0.40,8,53,1,0
0.40,8,54,1,0
0.40,8,55,119,59
0.40,8,56,1,0
0.40,8,57,1,0
0.40,8,58,21,10
0.40,8,59,45,22
0.40,8,60,137,68
0.40,8,61,1,0
0.40,8,62,17,8
0.40,8,63,3,1
0.40,8,64,247,123
0.40,8,65,235,117
0.40,8,66,7,3
0.40,8,67,309,154
0.40,8,68,85,42
0.40,8,69,7,3
0.40,8,70,21,10
0.40,8,71,5,2
0.40,8,72,75,37
0.40,8,73,1,0
0.40,8,74,31,15
0.40,8,75,15,7
0.40,8,76,3,1
0.40,8,77,35,17
0.40,8,78,1,0
0.40,8,79,9,4
0.40,8,80,177,88
0.40,8,81,19,9
0.40,8,82,329,164
0.40,8,83,137,68
0.40,8,84,41,20
0.40,8,85,9,4
0.40,8,86,1,0
0.40,8,87,107,53
0.40,8,88,35,17
0.40,8,89,1,0
0.40,8,90,49,24
0.40,8,91,27,13
0.40,8,92,17,8
0.40,8,93,39,19
0.40,8,94,3,1
0.40,8,95,49,24
0.40,8,96,1,0
0.40,8,97,57,28
0.40,8,98,305,152
0.40,8,99,1,0
0.40,8,100,1,0
0.40,8,101,35,17
0.40,8,102,65,32
0.40,8,103,7,3
0.40,8,104,7,3
0.40,8,105,15,7
0.40,8,106,43,21
0.40,8,107,107,53
0.40,8,108,11,5
0.40,8,109,3,1
0.40,8,110,1,0
0.40,8,111,47,23
0.40,8,112,5,2
0.40,8,113,1,0
0.40,8,114,29,14
0.40,8,115,5,2
0.40,8,116,35,17
0.40,8,117,1,0
0.40,8,118,3,1
0.40,8,119,21,10
0.40,8,120,21,10
0.40,8,121,3,1
0.40,8,122,1,0
0.40,8,123,15,7
0.40,8,124,3,1
0.40,8,125,209,104
0.40,8,126,69,34
0.40,8,127,31,15
0.40,8,128,229,114
0.40,8,129,3,1
0.40,8,130,3,1
0.40,8,131,1,0
0.40,8,132,1,0
0.40,8,133,5,2
0.40,8,134,1,0
0.40,8,135,17,8
0.40,8,136,215,107
0.40,8,137,13,6
0.40,8,138,23,11
0.40,8,139,1,0
0.40,8,140,99,49
0.40,8,141,113,56
0.40,8,142,7,3
0.40,8,143,1,0
0.40,8,144,7,3
0.40,8,145,1,0
0.40,8,146,21,10
0.40,8,147,1,0
0.40,8,148,5,2
0.40,8,149,11,5
0.40,8,150,21,10
0.40,8,151,5,2
0.40,8,152,89,44
0.40,8,153,1,0
0.40,8,154,73,36
0.40,8,155,1,0
0.40,8,156,299,149
0.40,8,157,1,0
0.40,8,158,33,16
0.40,8,159,311,155
0.40,8,160,277,138
0.40,8,161,203,101
0.40,8,162,1,0
0.40,8,163,33,16
0.40,8,164,1,0
0.40,8,165,121,60
0.40,8,166,31,15
0.40,8,167,1,0
0.40,8,168,1,0
0.40,8,169,3,1
0.40,8,170,3,1
0.40,8,171,1,0
0.40,8,172,1,0
0.40,8,173,1,0
0.40,8,174,1,0
0.40,8,175,5,2
0.40,8,176,143,71
0.40,8,177,41,20
0.40,8,178,3,1
0.40,8,179,5,2
0.40,8,180,5,2
0.40,8,181,117,58
0.40,8,182,17,8
0.40,8,183,3,1
0.40,8,184,215,107
0.40,8,185,15,7
0.40,8,186,5,2
0.40,8,187,31,15
