lambda,wi,wr,seed,events,score,extinct
0.4062,13,32,1,3,-1,1
0.4062,13,32,2,877,-1,1
0.4062,13,32,3,201,-1,1
0.4062,13,32,4,1,-1,1
0.4062,13,32,5,667,-1,1
0.4062,13,32,6,1,-1,1
0.4062,13,32,7,1,-1,1
0.4062,13,32,8,2989,-1,1
0.4062,13,32,9,1,-1,1
0.4062,13,32,10,1,-1,1
0.4062,13,32,11,969,-1,1
0.4062,13,32,12,1,-1,1
0.4062,13,32,13,113,-1,1
0.4062,13,32,14,25,-1,1
0.4062,13,32,15,3,-1,1
0.4062,13,32,16,433,-1,1
0.4062,13,32,17,1,-1,1
0.4062,13,32,18,15,-1,1
0.4062,13,32,19,1261,-1,1
0.4062,13,32,20,9,-1,1
0.4062,13,32,21,785,-1,1
0.4062,13,32,22,139,-1,1
0.4062,13,32,23,1,-1,1
0.4062,13,32,24,3,-1,1
0.4062,13,32,25,3,-1,1
0.4062,13,32,26,1,-1,1
0.4062,13,32,27,189,-1,1
0.4062,13,32,28,147,-1,1
0.4062,13,32,29,3,-1,1
0.4062,13,32,30,3,-1,1
0.4062,13,32,31,1,-1,1
0.4062,13,32,32,5,-1,1
0.4062,13,32,33,543,-1,1
0.4062,13,32,34,5,-1,1
0.4062,13,32,35,1,-1,1
0.4062,13,32,36,1,-1,1
0.4062,13,32,37,915,-1,1
0.4062,13,32,38,7,-1,1
0.4062,13,32,39,115,-1,1
0.4062,13,32,40,1,-1,1
0.4062,13,32,41,73,-1,1
0.4062,13,32,42,1739,-1,1
0.4062,13,32,43,25,-1,1
0.4062,13,32,44,69,-1,1
0.4062,13,32,45,2545,-1,1
0.4062,13,32,46,23,-1,1
0.4062,13,32,47,19,-1,1
0.4062,13,32,48,45,-1,1
0.4062,13,32,49,409,-1,1
0.4062,13,32,50,1,-1,1
0.4062,13,32,51,445,-1,1
0.4062,13,32,52,3,-1,1
0.4062,13,32,53,149,-1,1
0.4062,13,32,54,2191,-1,1
0.4062,13,32,55,3,-1,1
0.4062,13,32,56,1,-1,1
