lambda,wi,wr,seed,events,score,extinct
0.4062,13,32,1,3,-1,1
0.4062,13,32,2,37,-1,1
0.4062,13,32,3,83,-1,1
0.4062,13,32,4,1,-1,1
0.4062,13,32,5,47,-1,1
0.4062,13,32,6,1,-1,1
0.4062,13,32,7,1,-1,1
0.4062,13,32,8,105,-1,1
0.4062,13,32,9,1,-1,1
0.4062,13,32,10,1,-1,1
0.4062,13,32,11,27,-1,1
0.4062,13,32,12,1,-1,1
0.4062,13,32,13,843,-1,1
0.4062,13,32,14,5,-1,1
0.4062,13,32,15,3,-1,1
0.4062,13,32,16,17,-1,1
0.4062,13,32,17,1,-1,1
0.4062,13,32,18,23,-1,1
0.4062,13,32,19,5113,-1,1
0.4062,13,32,20,5,-1,1
0.4062,13,32,21,13,-1,1
0.4062,13,32,22,29,-1,1
0.4062,13,32,23,1,-1,1
0.4062,13,32,24,3,-1,1
0.4062,13,32,25,3,-1,1
0.4062,13,32,26,1,-1,1
0.4062,13,32,27,11,-1,1
0.4062,13,32,28,29,-1,1
0.4062,13,32,29,3,-1,1
0.4062,13,32,30,3,-1,1
0.4062,13,32,31,1,-1,1
0.4062,13,32,32,219,-1,1
0.4062,13,32,33,293,-1,1
0.4062,13,32,34,5785,-1,1
0.4062,13,32,35,1,-1,1
0.4062,13,32,36,1,-1,1
0.4062,13,32,37,163,-1,1
0.4062,13,32,38,1083,-1,1
0.4062,13,32,39,31,-1,1
0.4062,13,32,40,1,-1,1
0.4062,13,32,41,177,-1,1
0.4062,13,32,42,79,-1,1
0.4062,13,32,43,13,-1,1
0.4062,13,32,44,55,-1,1
0.4062,13,32,45,13,-1,1
0.4062,13,32,46,5,-1,1
0.4062,13,32,47,129,-1,1
0.4062,13,32,48,1587,-1,1
0.4062,13,32,49,11,-1,1
0.4062,13,32,50,1,-1,1
0.4062,13,32,51,9,-1,1
0.4062,13,32,52,3,-1,1
0.4062,13,32,53,7,-1,1
0.4062,13,32,54,23,-1,1
0.4062,13,32,55,3,-1,1
0.4062,13,32,56,1,-1,1
0.4062,13,32,57,5,-1,1
0.4062,13,32,58,8579,-1,1
0.4062,13,32,59,101,-1,1
0.4062,13,32,60,35,-1,1
0.4062,13,32,61,5,-1,1
0.4062,13,32,62,1,-1,1
0.4062,13,32,63,1369,-1,1
0.4062,13,32,64,3,-1,1
0.4062,13,32,65,37,-1,1
0.4062,13,32,66,1,-1,1
0.4062,13,32,67,1,-1,1
0.4062,13,32,68,2257,-1,1
0.4062,13,32,69,379,-1,1
0.4062,13,32,70,1,-1,1
0.4062,13,32,71,1,-1,1
0.4062,13,32,72,21,-1,1
0.4062,13,32,73,23,-1,1
0.4062,13,32,74,1,-1,1
0.4062,13,32,75,53,-1,1
0.4062,13,32,76,1259,-1,1
0.4062,13,32,77,1,-1,1
0.4062,13,32,78,1,-1,1
0.4062,13,32,79,27,-1,1
0.4062,13,32,80,1,-1,1
0.4062,13,32,81,1,-1,1
0.4062,13,32,82,5,-1,1
0.4062,13,32,83,1,-1,1
0.4062,13,32,84,3,-1,1
0.4062,13,32,85,125,-1,1
0.4062,13,32,86,1,-1,1
0.4062,13,32,87,9,-1,1
0.4062,13,32,88,327,-1,1
0.4062,13,32,89,1,-1,1
0.4062,13,32,90,1,-1,1
0.4062,13,32,91,11,-1,1
0.4062,13,32,92,11,-1,1
0.4062,13,32,93,49,-1,1
0.4062,13,32,94,121,-1,1
0.4062,13,32,95,495,-1,1
0.4062,13,32,96,1,-1,1
0.4062,13,32,97,1,-1,1
0.4062,13,32,98,1,-1,1
0.4062,13,32,99,905,-1,1
0.4062,13,32,100,935,-1,1
