arm,seed,survived,alive,faithful,sloppy,share_f,births_f,births_s,miscopies,switches,g_target,exact
viscous-kin,22,True,19,0,18,0.0,28,637,31,0,11,True
viscous-kin,23,True,19,0,19,0.0,172,549,37,0,13,True
viscous-kin,24,True,16,0,21,0.0,4,778,42,0,13,True
viscous-kin,25,True,16,20,0,1.0,640,24,0,0,0,True
viscous-kin,26,True,22,20,0,1.0,621,9,0,0,0,True
viscous-kin,27,True,19,0,16,0.0,247,417,21,0,12,True
viscous-kin,28,True,13,18,0,1.0,508,120,3,0,0,True
viscous-kin,29,True,19,0,21,0.0,6,715,40,0,12,True
viscous-kin,30,True,17,17,0,1.0,575,53,0,0,0,True
viscous-kin,31,True,20,16,0,1.0,607,40,0,0,0,True
viscous-kin,32,True,16,0,22,0.0,86,653,31,0,13,True
viscous-kin,33,True,21,0,20,0.0,55,673,36,0,6,True
viscous-kin,34,True,19,0,15,0.0,77,621,28,0,7,True
viscous-kin,35,True,16,0,18,0.0,275,392,8,0,11,True
viscous-kin,36,True,15,17,0,1.0,612,12,0,0,0,True
viscous-kin,37,True,17,0,14,0.0,4,715,38,0,11,True
viscous-kin,38,True,17,1,19,0.05,388,282,13,0,9,True
viscous-kin,39,True,21,0,20,0.0,100,655,36,0,16,True
viscous-kin,40,True,19,0,20,0.0,123,665,32,0,12,True
viscous-kin,41,True,21,16,0,1.0,640,10,0,0,0,True
viscous-kin,42,True,18,0,19,0.0,63,697,41,0,6,True
viscous-kin,43,True,21,0,19,0.0,111,607,37,0,10,True
viscous-kin,44,True,18,0,22,0.0,16,753,41,0,10,True
viscous-kin,45,True,20,0,17,0.0,80,696,33,0,16,True
viscous-kin,46,True,17,0,16,0.0,134,573,28,0,20,True
viscous-kin,47,True,17,0,20,0.0,62,683,32,0,12,True
viscous-kin,48,True,15,17,0,1.0,600,52,1,0,0,True
viscous-kin,49,True,20,0,21,0.0,187,516,32,0,9,True
viscous-kin,50,True,19,17,0,1.0,640,4,0,0,0,True
viscous-kin,51,True,14,12,0,1.0,635,9,0,0,0,True
viscous-kin,52,True,19,20,0,1.0,596,48,0,0,0,True
viscous-kin,53,True,18,0,18,0.0,121,580,40,0,3,True
viscous-kin,54,True,22,0,24,0.0,36,724,39,0,7,True
viscous-kin,55,True,20,0,18,0.0,98,650,34,0,15,True
viscous-kin,56,True,20,0,20,0.0,95,656,35,0,14,True
viscous-kin,57,True,17,10,0,1.0,614,7,0,0,0,True
viscous-kin,58,True,19,0,17,0.0,10,723,41,0,13,True
viscous-kin,59,True,14,0,20,0.0,98,646,33,0,16,True
viscous-kin,60,True,21,0,23,0.0,4,703,52,0,13,True
viscous-kin,61,True,20,0,19,0.0,61,640,31,0,8,True
viscous-kin,62,True,20,0,17,0.0,9,704,44,0,16,True
viscous-kin,63,True,16,15,0,1.0,656,1,0,0,0,True
viscous-kin,64,True,19,0,18,0.0,145,550,28,0,8,True
viscous-kin,65,True,16,0,17,0.0,8,689,31,0,13,True
viscous-kin,66,True,18,0,18,0.0,14,740,39,0,6,True
viscous-kin,67,True,19,0,17,0.0,294,382,21,0,6,True
viscous-kin,68,True,20,0,19,0.0,33,747,41,0,12,True
viscous-kin,69,True,18,0,21,0.0,93,606,31,0,10,True
viscous-kin,70,True,17,11,0,1.0,406,129,4,0,6,True
viscous-kin,71,True,19,13,0,1.0,678,3,0,0,0,True
viscous-kin,72,True,19,0,16,0.0,72,680,43,0,5,True
viscous-kin,73,True,17,0,21,0.0,60,724,39,0,7,True
viscous-kin,74,True,20,14,0,1.0,593,30,1,0,0,True
viscous-kin,75,True,17,0,21,0.0,62,648,36,0,10,True
viscous-kin,76,True,19,15,0,1.0,635,18,0,0,0,True
viscous-kin,77,True,21,0,18,0.0,33,711,24,0,12,True
viscous-kin,78,True,16,0,17,0.0,74,635,31,0,5,True
viscous-kin,79,True,22,15,0,1.0,636,7,0,0,0,True
viscous-kin,80,True,17,0,19,0.0,26,701,49,0,8,True
viscous-kin,81,True,20,0,20,0.0,69,657,35,0,5,True
viscous-kin,82,True,18,15,0,1.0,661,2,0,0,0,True
viscous-kin,83,True,16,20,0,1.0,590,41,0,0,0,True
viscous-kin,84,True,16,19,0,1.0,591,25,0,0,0,True
viscous-kin,85,True,20,0,18,0.0,73,663,34,0,15,True
viscous-kin,86,True,18,0,17,0.0,168,555,29,0,14,True
viscous-kin,87,True,15,16,0,1.0,576,86,0,0,0,True
viscous-kin,88,True,15,19,0,1.0,588,15,0,0,0,True
viscous-kin,89,True,16,0,20,0.0,64,699,37,0,7,True
viscous-kin,90,True,19,15,0,1.0,582,73,1,0,0,True
viscous-kin,91,True,18,0,18,0.0,226,477,31,0,7,True
viscous-kin,92,True,17,0,15,0.0,4,768,29,0,13,True
viscous-kin,93,True,21,17,0,1.0,617,40,0,0,0,True
viscous-kin,94,True,19,17,0,1.0,586,67,1,0,0,True
viscous-kin,95,True,19,0,22,0.0,124,583,33,0,10,True
viscous-kin,96,True,16,0,20,0.0,41,681,37,0,11,True
viscous-kin,97,True,21,0,20,0.0,8,781,26,0,8,True
viscous-kin,98,True,21,19,0,1.0,639,5,0,0,0,True
viscous-kin,99,True,19,0,20,0.0,161,582,33,0,15,True
viscous-kin,100,True,19,15,0,1.0,529,108,1,0,0,True
