arm,blocks,seed,copies_l,copies_r,alive_l,alive_r,active_l,active_r,q_l,q_r,fuel_l,fuel_r,exact
right,150,12,0,27,0,0,0,0,5,1,0,12,True
right,150,13,0,45,0,0,0,0,6,0,0,12,True
right,150,14,0,21,0,0,0,0,7,1,0,12,True
right,150,15,0,62,0,0,0,0,6,2,0,12,True
right,150,16,0,28,0,0,0,0,5,0,0,12,True
right,150,17,0,36,0,0,0,0,5,0,0,12,True
right,150,18,0,56,0,0,0,0,5,1,0,12,True
right,150,19,0,53,0,0,0,0,4,1,0,12,True
right,150,20,0,56,0,0,0,0,7,0,0,12,True
right,150,21,0,30,0,0,0,0,5,1,0,12,True
right,150,22,0,46,0,0,0,0,6,0,0,12,True
right,150,23,0,60,0,0,0,0,6,0,0,12,True
right,150,24,0,58,0,0,0,0,5,1,0,12,True
right,150,25,0,38,0,0,0,0,7,1,0,12,True
right,150,26,0,37,0,0,0,0,6,0,0,12,True
right,150,27,0,30,0,0,0,0,6,1,0,12,True
right,150,28,0,42,0,0,0,0,7,0,0,12,True
right,150,29,0,46,0,0,0,0,7,0,0,12,True
right,150,30,0,50,0,0,0,0,6,0,0,12,True
right,150,31,0,46,0,0,0,0,6,1,0,12,True
right,150,32,0,82,0,0,0,0,5,0,0,9,True
right,150,33,0,54,0,0,0,0,6,0,0,12,True
right,150,34,0,26,0,0,0,0,7,1,0,12,True
right,150,35,0,38,0,0,0,0,5,1,0,12,True
right,150,36,0,53,0,0,0,0,6,0,0,12,True
right,150,37,0,37,0,0,0,0,4,1,0,12,True
right,150,38,0,47,0,0,0,0,4,0,0,12,True
right,150,39,0,49,0,0,0,0,7,1,0,12,True
right,150,40,0,12,0,0,0,0,6,1,0,12,True
right,150,41,0,52,0,0,0,0,4,1,0,12,True
right,150,42,0,36,0,0,0,0,5,1,0,12,True
right,150,43,0,54,0,0,0,0,5,0,0,12,True
right,150,44,0,29,0,0,0,0,7,1,0,12,True
right,150,45,0,40,0,0,0,0,4,1,0,12,True
right,150,46,0,39,0,0,0,0,6,0,0,12,True
right,150,47,0,44,0,0,0,0,6,0,0,12,True
right,150,48,0,67,0,0,0,0,7,1,0,12,True
right,150,49,0,42,0,0,0,0,6,1,0,12,True
right,150,50,0,30,0,0,0,0,7,0,0,12,True
right,150,51,0,42,0,0,0,0,6,1,0,12,True
right,150,52,0,33,0,0,0,0,4,1,0,12,True
right,150,53,0,80,0,0,0,0,6,0,0,10,True
right,150,54,0,52,0,0,0,0,6,0,0,12,True
right,150,55,0,46,0,0,0,0,6,1,0,12,True
right,150,56,0,18,0,0,0,0,4,1,0,12,True
right,150,57,0,47,0,0,0,0,6,1,0,12,True
right,150,58,0,37,0,0,0,0,7,0,0,12,True
right,150,59,0,25,0,0,0,0,5,1,0,12,True
right,150,60,0,65,0,0,0,0,7,0,0,12,True
right,150,61,0,46,0,0,0,0,7,1,0,12,True
right,150,62,0,72,0,0,0,0,6,0,0,12,True
right,150,63,0,53,0,0,0,0,6,0,0,12,True
right,150,64,0,44,0,0,0,0,7,0,0,12,True
right,150,65,0,10,0,0,0,0,5,1,0,12,True
right,150,66,0,42,0,0,0,0,6,1,0,12,True
right,150,67,0,41,0,0,0,0,7,0,0,12,True
right,150,68,0,61,0,0,0,0,5,0,0,12,True
right,150,69,0,66,0,0,0,0,6,1,0,11,True
right,150,70,0,65,0,0,0,0,5,0,0,12,True
right,150,71,0,28,0,0,0,0,7,1,0,12,True
right,150,72,0,29,0,0,0,0,5,1,0,12,True
right,150,73,0,31,0,0,0,0,5,1,0,12,True
right,150,74,0,60,0,0,0,0,5,1,0,12,True
right,150,75,0,95,2,3,1,2,7,1,0,11,True
right,150,76,0,69,0,0,0,0,6,1,0,12,True
right,150,77,0,36,0,0,0,0,7,0,0,12,True
right,150,78,0,56,0,0,0,0,6,0,0,12,True
right,150,79,0,42,0,0,0,0,5,1,0,12,True
right,150,80,0,53,0,0,0,0,7,1,0,12,True
right,150,81,0,15,0,0,0,0,6,1,0,12,True
right,150,82,0,65,0,0,0,0,6,0,0,12,True
right,150,83,0,27,0,0,0,0,5,1,0,12,True
right,150,84,0,35,0,0,0,0,6,0,0,12,True
right,150,85,0,50,0,0,0,0,6,1,0,12,True
right,150,86,0,30,0,0,0,0,4,1,0,12,True
right,150,87,0,44,0,0,0,0,4,1,0,12,True
right,150,88,0,30,0,0,0,0,7,0,0,12,True
right,150,89,0,44,0,0,0,0,6,1,0,12,True
right,150,90,0,63,0,0,0,0,6,0,0,12,True
right,150,91,0,64,0,0,0,0,5,1,0,12,True
right,150,92,0,36,0,0,0,0,5,0,0,12,True
right,150,93,0,36,0,0,0,0,6,1,0,12,True
right,150,94,0,47,0,0,0,0,7,1,0,12,True
right,150,95,0,41,0,0,0,0,6,2,0,12,True
right,150,96,0,55,0,0,0,0,6,0,0,12,True
right,150,97,0,82,0,0,0,0,5,0,0,11,True
right,150,98,0,42,0,0,0,0,3,1,0,12,True
right,150,99,0,27,0,0,0,0,5,0,0,12,True
right,150,100,0,80,0,0,0,0,7,1,0,11,True
starve,60,1,0,0,0,0,0,0,4,7,0,0,True
starve,60,2,0,0,0,0,0,0,5,5,0,0,True
starve,60,3,0,0,0,0,0,0,6,6,0,0,True
starve,60,4,0,0,0,0,0,0,6,5,0,0,True
starve,60,5,0,0,0,0,0,0,6,5,0,0,True
starve,60,6,0,0,0,0,0,0,5,5,0,0,True
starve,60,7,0,0,0,0,0,0,6,5,0,0,True
starve,60,8,0,0,0,0,0,0,5,6,0,0,True
starve,60,9,0,0,0,0,0,0,7,6,0,0,True
starve,60,10,0,0,0,0,0,0,6,6,0,0,True
starve,60,11,0,0,0,0,0,0,5,5,0,0,True
starve,60,12,0,0,0,0,0,0,3,7,0,0,True
starve,60,13,0,0,0,0,0,0,6,5,0,0,True
starve,60,14,0,0,0,0,0,0,6,4,0,0,True
starve,60,15,0,0,0,0,0,0,7,4,0,0,True
starve,60,16,0,0,0,0,0,0,6,7,0,0,True
starve,60,17,0,0,0,0,0,0,7,5,0,0,True
starve,60,18,0,0,0,0,0,0,5,7,0,0,True
starve,60,19,0,0,0,0,0,0,7,6,0,0,True
starve,60,20,0,0,0,0,0,0,6,7,0,0,True
starve,60,21,0,0,0,0,0,0,4,5,0,0,True
starve,60,22,0,0,0,0,0,0,8,5,0,0,True
starve,60,23,0,0,0,0,0,0,7,5,0,0,True
starve,60,24,0,0,0,0,0,0,7,4,0,0,True
starve,60,25,0,0,0,0,0,0,7,5,0,0,True
starve,60,26,0,0,0,0,0,0,5,4,0,0,True
starve,60,27,0,0,0,0,0,0,6,4,0,0,True
starve,60,28,0,0,0,0,0,0,4,3,0,0,True
starve,60,29,0,0,2,3,1,1,8,7,0,0,True
starve,60,30,0,0,0,0,0,0,6,6,0,0,True
starve,60,31,0,0,0,0,0,0,5,8,0,0,True
starve,60,32,0,0,0,0,0,0,7,5,0,0,True
starve,60,33,0,0,0,0,0,0,6,7,0,0,True
starve,60,34,0,0,0,0,0,0,5,5,0,0,True
starve,60,35,0,0,0,0,0,0,6,6,0,0,True
starve,60,36,0,0,0,0,0,0,6,6,0,0,True
starve,60,37,0,0,0,0,0,0,7,7,0,0,True
starve,60,38,0,0,0,0,0,0,7,6,0,0,True
starve,60,39,0,0,0,0,0,0,6,5,0,0,True
starve,60,40,0,0,0,0,0,0,6,5,0,0,True
starve,60,41,0,0,0,0,0,0,5,6,0,0,True
starve,60,42,0,0,0,0,0,0,7,5,0,0,True
starve,60,43,0,0,0,0,0,0,5,7,0,0,True
starve,60,44,0,0,0,0,0,0,5,5,0,0,True
starve,60,45,0,0,0,0,0,0,5,7,0,0,True
starve,60,46,0,0,0,0,0,0,6,6,0,0,True
starve,60,47,0,0,0,0,0,0,6,5,0,0,True
starve,60,48,0,0,0,0,0,0,4,6,0,0,True
starve,60,49,0,0,0,0,0,0,6,5,0,0,True
starve,60,50,0,0,0,0,0,0,6,7,0,0,True
starve,60,51,0,0,0,0,0,0,5,5,0,0,True
starve,60,52,0,0,0,0,0,0,5,6,0,0,True
starve,60,53,0,0,0,0,0,0,7,4,0,0,True
starve,60,54,0,0,0,0,0,0,5,6,0,0,True
starve,60,55,0,0,0,0,0,0,4,5,0,0,True
starve,60,56,0,0,0,0,0,0,5,6,0,0,True
starve,60,57,0,0,0,0,0,0,5,7,0,0,True
starve,60,58,0,0,0,0,0,0,6,4,0,0,True
starve,60,59,0,0,0,0,0,0,4,6,0,0,True
starve,60,60,0,0,0,0,0,0,6,7,0,0,True
starve,60,61,0,0,0,0,0,0,5,5,0,0,True
starve,60,62,0,0,0,0,0,0,6,5,0,0,True
starve,60,63,0,0,0,0,0,0,6,4,0,0,True
starve,60,64,0,0,0,0,0,0,6,7,0,0,True
starve,60,65,0,0,0,0,0,0,6,5,0,0,True
starve,60,66,0,0,0,0,0,0,5,5,0,0,True
starve,60,67,0,0,0,0,0,0,7,8,0,0,True
starve,60,68,0,0,0,0,0,0,4,5,0,0,True
starve,60,69,0,0,0,0,0,0,5,6,0,0,True
starve,60,70,0,0,0,0,0,0,5,4,0,0,True
starve,60,71,0,0,0,0,0,0,6,5,0,0,True
starve,60,72,0,0,0,0,0,0,6,7,0,0,True
starve,60,73,0,0,0,0,0,0,4,6,0,0,True
starve,60,74,0,0,0,0,0,0,4,6,0,0,True
starve,60,75,0,0,0,0,0,0,5,7,0,0,True
starve,60,76,0,0,0,0,0,0,6,5,0,0,True
starve,60,77,0,0,0,0,0,0,5,5,0,0,True
starve,60,78,0,0,0,0,0,0,6,6,0,0,True
starve,60,79,0,0,0,0,0,0,6,4,0,0,True
starve,60,80,0,0,0,0,0,0,7,5,0,0,True
starve,60,81,0,0,0,0,0,0,4,6,0,0,True
starve,60,82,0,0,0,0,0,0,6,6,0,0,True
starve,60,83,0,0,0,0,0,0,7,5,0,0,True
starve,60,84,0,0,0,0,0,0,7,6,0,0,True
starve,60,85,0,0,0,0,0,0,7,6,0,0,True
starve,60,86,0,0,0,0,0,0,7,4,0,0,True
starve,60,87,0,0,0,0,0,0,4,5,0,0,True
starve,60,88,0,0,0,0,0,0,5,5,0,0,True
starve,60,89,0,0,0,0,0,0,6,4,0,0,True
starve,60,90,0,0,0,0,0,0,6,4,0,0,True
starve,60,91,0,0,0,0,0,0,6,5,0,0,True
starve,60,92,0,0,0,0,0,0,6,6,0,0,True
starve,60,93,0,0,0,0,0,0,6,6,0,0,True
starve,60,94,0,0,0,0,0,0,5,7,0,0,True
starve,60,95,0,0,0,0,0,0,6,5,0,0,True
starve,60,96,0,0,0,0,0,0,5,4,0,0,True
starve,60,97,0,0,0,0,0,0,6,5,0,0,True
starve,60,98,0,0,0,0,0,0,6,5,0,0,True
starve,60,99,0,0,0,0,0,0,5,6,0,0,True
starve,60,100,0,0,0,0,0,0,6,5,0,0,True
starve,150,1,0,0,0,0,0,0,4,7,0,0,True
starve,150,2,0,0,0,0,0,0,5,5,0,0,True
starve,150,3,0,0,0,0,0,0,6,6,0,0,True
starve,150,4,0,0,0,0,0,0,6,5,0,0,True
starve,150,5,0,0,0,0,0,0,6,5,0,0,True
starve,150,6,0,0,0,0,0,0,5,5,0,0,True
starve,150,7,0,0,0,0,0,0,6,5,0,0,True
starve,150,8,0,0,0,0,0,0,5,6,0,0,True
starve,150,9,0,0,0,0,0,0,7,6,0,0,True
starve,150,10,0,0,0,0,0,0,6,6,0,0,True
starve,150,11,0,0,0,0,0,0,5,5,0,0,True
starve,150,12,0,0,0,0,0,0,3,7,0,0,True
starve,150,13,0,0,0,0,0,0,6,5,0,0,True
starve,150,14,0,0,0,0,0,0,6,4,0,0,True
starve,150,15,0,0,0,0,0,0,7,4,0,0,True
starve,150,16,0,0,0,0,0,0,6,7,0,0,True
starve,150,17,0,0,0,0,0,0,7,5,0,0,True
starve,150,18,0,0,0,0,0,0,5,7,0,0,True
starve,150,19,0,0,0,0,0,0,7,6,0,0,True
starve,150,20,0,0,0,0,0,0,6,7,0,0,True
starve,150,21,0,0,0,0,0,0,4,5,0,0,True
starve,150,22,0,0,0,0,0,0,8,5,0,0,True
starve,150,23,0,0,0,0,0,0,7,5,0,0,True
starve,150,24,0,0,0,0,0,0,7,4,0,0,True
starve,150,25,0,0,0,0,0,0,7,5,0,0,True
starve,150,26,0,0,0,0,0,0,5,4,0,0,True
starve,150,27,0,0,0,0,0,0,6,4,0,0,True
starve,150,28,0,0,0,0,0,0,4,3,0,0,True
starve,150,29,0,0,0,0,0,0,8,7,0,0,True
starve,150,30,0,0,0,0,0,0,6,6,0,0,True
starve,150,31,0,0,0,0,0,0,5,8,0,0,True
starve,150,32,0,0,0,0,0,0,7,5,0,0,True
starve,150,33,0,0,0,0,0,0,6,7,0,0,True
starve,150,34,0,0,0,0,0,0,5,5,0,0,True
starve,150,35,0,0,0,0,0,0,6,6,0,0,True
starve,150,36,0,0,0,0,0,0,6,6,0,0,True
starve,150,37,0,0,0,0,0,0,7,7,0,0,True
starve,150,38,0,0,0,0,0,0,7,6,0,0,True
starve,150,39,0,0,0,0,0,0,6,5,0,0,True
starve,150,40,0,0,0,0,0,0,6,5,0,0,True
starve,150,41,0,0,0,0,0,0,5,6,0,0,True
starve,150,42,0,0,0,0,0,0,7,5,0,0,True
starve,150,43,0,0,0,0,0,0,5,7,0,0,True
starve,150,44,0,0,0,0,0,0,5,5,0,0,True
starve,150,45,0,0,0,0,0,0,5,7,0,0,True
starve,150,46,0,0,0,0,0,0,6,6,0,0,True
starve,150,47,0,0,0,0,0,0,6,5,0,0,True
starve,150,48,0,0,0,0,0,0,4,6,0,0,True
starve,150,49,0,0,0,0,0,0,6,5,0,0,True
starve,150,50,0,0,0,0,0,0,6,7,0,0,True
starve,150,51,0,0,0,0,0,0,5,5,0,0,True
starve,150,52,0,0,0,0,0,0,5,6,0,0,True
starve,150,53,0,0,0,0,0,0,7,4,0,0,True
starve,150,54,0,0,0,0,0,0,5,6,0,0,True
starve,150,55,0,0,0,0,0,0,4,5,0,0,True
starve,150,56,0,0,0,0,0,0,5,6,0,0,True
starve,150,57,0,0,0,0,0,0,5,7,0,0,True
starve,150,58,0,0,0,0,0,0,6,4,0,0,True
starve,150,59,0,0,0,0,0,0,4,6,0,0,True
starve,150,60,0,0,0,0,0,0,6,7,0,0,True
starve,150,61,0,0,0,0,0,0,5,5,0,0,True
starve,150,62,0,0,0,0,0,0,6,5,0,0,True
starve,150,63,0,0,0,0,0,0,6,4,0,0,True
starve,150,64,0,0,0,0,0,0,6,7,0,0,True
starve,150,65,0,0,0,0,0,0,6,5,0,0,True
starve,150,66,0,0,0,0,0,0,5,5,0,0,True
starve,150,67,0,0,0,0,0,0,7,8,0,0,True
starve,150,68,0,0,0,0,0,0,4,5,0,0,True
starve,150,69,0,0,0,0,0,0,5,6,0,0,True
starve,150,70,0,0,0,0,0,0,5,4,0,0,True
starve,150,71,0,0,0,0,0,0,6,5,0,0,True
starve,150,72,0,0,0,0,0,0,6,7,0,0,True
starve,150,73,0,0,0,0,0,0,4,6,0,0,True
starve,150,74,0,0,0,0,0,0,4,6,0,0,True
starve,150,75,0,0,0,0,0,0,5,7,0,0,True
starve,150,76,0,0,0,0,0,0,6,5,0,0,True
starve,150,77,0,0,0,0,0,0,5,5,0,0,True
starve,150,78,0,0,0,0,0,0,6,6,0,0,True
starve,150,79,0,0,0,0,0,0,6,4,0,0,True
starve,150,80,0,0,0,0,0,0,7,5,0,0,True
starve,150,81,0,0,0,0,0,0,4,6,0,0,True
starve,150,82,0,0,0,0,0,0,6,6,0,0,True
starve,150,83,0,0,0,0,0,0,7,5,0,0,True
starve,150,84,0,0,0,0,0,0,7,6,0,0,True
starve,150,85,0,0,0,0,0,0,7,6,0,0,True
starve,150,86,0,0,0,0,0,0,7,4,0,0,True
starve,150,87,0,0,0,0,0,0,4,5,0,0,True
starve,150,88,0,0,0,0,0,0,5,5,0,0,True
starve,150,89,0,0,0,0,0,0,6,4,0,0,True
starve,150,90,0,0,0,0,0,0,6,4,0,0,True
starve,150,91,0,0,0,0,0,0,6,5,0,0,True
starve,150,92,0,0,0,0,0,0,6,6,0,0,True
starve,150,93,0,0,0,0,0,0,6,6,0,0,True
starve,150,94,0,0,0,0,0,0,5,7,0,0,True
starve,150,95,0,0,0,0,0,0,6,5,0,0,True
starve,150,96,0,0,0,0,0,0,5,4,0,0,True
starve,150,97,0,0,0,0,0,0,6,5,0,0,True
starve,150,98,0,0,0,0,0,0,6,5,0,0,True
starve,150,99,0,0,0,0,0,0,5,6,0,0,True
starve,150,100,0,0,0,0,0,0,6,5,0,0,True
