start,eps,seed,cp,alive,n_α,n_β,n_γ,n_δ
α,0.0,4,5000,24,24,0,0,0
α,0.0,4,6000,22,23,0,0,0
α,0.0,4,7000,23,24,0,0,0
α,0.0,4,8000,22,23,0,0,0
α,0.0,4,9000,24,24,0,0,0
α,0.0,4,10000,23,24,0,0,0
α,0.0,4,11000,24,23,0,0,0
α,0.0,5,1000,24,24,0,0,0
α,0.0,5,2000,23,24,0,0,0
α,0.0,5,3000,22,22,0,0,0
α,0.0,5,4000,24,23,0,0,0
α,0.0,5,5000,23,24,0,0,0
α,0.0,5,6000,21,24,0,0,0
α,0.0,5,7000,23,24,0,0,0
α,0.0,5,8000,23,23,0,0,0
α,0.0,5,9000,24,24,0,0,0
α,0.0,5,10000,24,24,0,0,0
α,0.0,5,11000,24,24,0,0,0
α,0.0,6,1000,24,23,0,0,0
α,0.0,6,2000,23,23,0,0,0
α,0.0,6,3000,23,23,0,0,0
α,0.0,6,4000,23,23,0,0,0
α,0.0,6,5000,23,24,0,0,0
α,0.0,6,6000,23,23,0,0,0
α,0.0,6,7000,23,24,0,0,0
α,0.0,6,8000,24,24,0,0,0
α,0.0,6,9000,23,24,0,0,0
α,0.0,6,10000,24,22,0,0,0
α,0.0,6,11000,23,23,0,0,0
α,0.0,7,1000,24,24,0,0,0
α,0.0,7,2000,23,24,0,0,0
α,0.0,7,3000,23,23,0,0,0
α,0.0,7,4000,23,24,0,0,0
α,0.0,7,5000,22,23,0,0,0
α,0.0,7,6000,24,24,0,0,0
α,0.0,7,7000,22,23,0,0,0
α,0.0,7,8000,24,24,0,0,0
α,0.0,7,9000,24,23,0,0,0
α,0.0,7,10000,23,23,0,0,0
α,0.0,7,11000,23,22,0,0,0
α,0.0,8,1000,22,24,0,0,0
α,0.0,8,2000,24,23,0,0,0
α,0.0,8,3000,24,23,0,0,0
α,0.0,8,4000,24,23,0,0,0
α,0.0,8,5000,22,23,0,0,0
α,0.0,8,6000,23,23,0,0,0
α,0.0,8,7000,23,24,0,0,0
α,0.0,8,8000,23,23,0,0,0
α,0.0,8,9000,23,23,0,0,0
α,0.0,8,10000,22,24,0,0,0
α,0.0,8,11000,24,24,0,0,0
α,0.0,9,1000,24,24,0,0,0
α,0.0,9,2000,22,22,0,0,0
α,0.0,9,3000,23,23,0,0,0
α,0.0,9,4000,23,23,0,0,0
α,0.0,9,5000,24,23,0,0,0
α,0.0,9,6000,24,24,0,0,0
α,0.0,9,7000,23,24,0,0,0
α,0.0,9,8000,24,24,0,0,0
α,0.0,9,9000,24,24,0,0,0
α,0.0,9,10000,22,23,0,0,0
α,0.0,9,11000,23,23,0,0,0
α,0.0,10,1000,23,23,0,0,0
α,0.0,10,2000,21,23,0,0,0
α,0.0,10,3000,24,23,0,0,0
α,0.0,10,4000,23,23,0,0,0
α,0.0,10,5000,24,24,0,0,0
α,0.0,10,6000,24,23,0,0,0
α,0.0,10,7000,24,24,0,0,0
α,0.0,10,8000,23,24,0,0,0
α,0.0,10,9000,23,24,0,0,0
α,0.0,10,10000,24,24,0,0,0
α,0.0,10,11000,23,23,0,0,0
α,0.0,11,1000,23,22,0,0,0
α,0.0,11,2000,23,22,0,0,0
α,0.0,11,3000,22,24,0,0,0
α,0.0,11,4000,23,23,0,0,0
α,0.0,11,5000,23,23,0,0,0
α,0.0,11,6000,23,23,0,0,0
α,0.0,11,7000,24,24,0,0,0
α,0.0,11,8000,24,24,0,0,0
α,0.0,11,9000,23,22,0,0,0
α,0.0,11,10000,24,23,0,0,0
α,0.0,11,11000,22,24,0,0,0
α,0.0,12,1000,22,23,0,0,0
α,0.0,12,2000,23,24,0,0,0
α,0.0,12,3000,24,23,0,0,0
α,0.0,12,4000,23,24,0,0,0
α,0.0,12,5000,24,24,0,0,0
α,0.0,12,6000,23,23,0,0,0
α,0.0,12,7000,23,23,0,0,0
α,0.0,12,8000,24,22,0,0,0
α,0.0,12,9000,23,24,0,0,0
α,0.0,12,10000,24,24,0,0,0
α,0.0,12,11000,24,24,0,0,0
α,0.0,13,1000,24,22,0,0,0
α,0.0,13,2000,23,23,0,0,0
α,0.0,13,3000,24,24,0,0,0
α,0.0,13,4000,23,23,0,0,0
α,0.0,13,5000,22,23,0,0,0
α,0.0,13,6000,22,23,0,0,0
α,0.0,13,7000,23,23,0,0,0
α,0.0,13,8000,23,23,0,0,0
α,0.0,13,9000,23,24,0,0,0
α,0.0,13,10000,22,23,0,0,0
α,0.0,13,11000,23,23,0,0,0
α,0.0,14,1000,23,23,0,0,0
α,0.0,14,2000,23,23,0,0,0
α,0.0,14,3000,22,24,0,0,0
α,0.0,14,4000,23,23,0,0,0
α,0.0,14,5000,24,23,0,0,0
α,0.0,14,6000,24,24,0,0,0
α,0.0,14,7000,24,23,0,0,0
α,0.0,14,8000,24,24,0,0,0
α,0.0,14,9000,24,23,0,0,0
α,0.0,14,10000,24,24,0,0,0
α,0.0,14,11000,23,24,0,0,0
α,0.0,15,1000,24,23,0,0,0
α,0.0,15,2000,22,23,0,0,0
α,0.0,15,3000,23,23,0,0,0
α,0.0,15,4000,23,24,0,0,0
α,0.0,15,5000,24,23,0,0,0
α,0.0,15,6000,23,24,0,0,0
α,0.0,15,7000,24,23,0,0,0
α,0.0,15,8000,24,23,0,0,0
α,0.0,15,9000,23,23,0,0,0
α,0.0,15,10000,24,23,0,0,0
α,0.0,15,11000,24,23,0,0,0
α,0.0,16,1000,24,23,0,0,0
α,0.0,16,2000,23,24,0,0,0
α,0.0,16,3000,24,24,0,0,0
α,0.0,16,4000,23,24,0,0,0
α,0.0,16,5000,24,23,0,0,0
α,0.0,16,6000,23,24,0,0,0
α,0.0,16,7000,24,23,0,0,0
α,0.0,16,8000,24,24,0,0,0
α,0.0,16,9000,23,22,0,0,0
α,0.0,16,10000,24,22,0,0,0
α,0.0,16,11000,24,23,0,0,0
α,0.0,17,1000,24,22,0,0,0
α,0.0,17,2000,22,22,0,0,0
α,0.0,17,3000,23,24,0,0,0
α,0.0,17,4000,23,23,0,0,0
α,0.0,17,5000,24,23,0,0,0
α,0.0,17,6000,24,23,0,0,0
α,0.0,17,7000,24,23,0,0,0
α,0.0,17,8000,24,24,0,0,0
α,0.0,17,9000,24,22,0,0,0
α,0.0,17,10000,24,24,0,0,0
α,0.0,17,11000,24,24,0,0,0
α,0.0,18,1000,24,23,0,0,0
α,0.0,18,2000,23,23,0,0,0
α,0.0,18,3000,24,23,0,0,0
α,0.0,18,4000,24,23,0,0,0
α,0.0,18,5000,23,24,0,0,0
α,0.0,18,6000,24,24,0,0,0
α,0.0,18,7000,23,22,0,0,0
α,0.0,18,8000,24,24,0,0,0
α,0.0,18,9000,22,23,0,0,0
α,0.0,18,10000,22,22,0,0,0
α,0.0,18,11000,23,23,0,0,0
α,0.0,19,1000,24,24,0,0,0
α,0.0,19,2000,23,23,0,0,0
α,0.0,19,3000,23,24,0,0,0
α,0.0,19,4000,24,23,0,0,0
α,0.0,19,5000,23,24,0,0,0
α,0.0,19,6000,23,22,0,0,0
α,0.0,19,7000,22,24,0,0,0
α,0.0,19,8000,24,24,0,0,0
α,0.0,19,9000,23,24,0,0,0
α,0.0,19,10000,23,24,0,0,0
α,0.0,19,11000,24,24,0,0,0
α,0.0,20,1000,22,22,0,0,0
α,0.0,20,2000,23,23,0,0,0
α,0.0,20,3000,24,23,0,0,0
α,0.0,20,4000,24,24,0,0,0
α,0.0,20,5000,24,23,0,0,0
α,0.0,20,6000,24,23,0,0,0
α,0.0,20,7000,24,24,0,0,0
α,0.0,20,8000,23,23,0,0,0
α,0.0,20,9000,24,24,0,0,0
α,0.0,20,10000,23,24,0,0,0
α,0.0,20,11000,24,24,0,0,0
α,0.0,21,1000,23,23,0,0,0
α,0.0,21,2000,23,24,0,0,0
α,0.0,21,3000,23,23,0,0,0
α,0.0,21,4000,22,24,0,0,0
α,0.0,21,5000,23,24,0,0,0
α,0.0,21,6000,22,23,0,0,0
α,0.0,21,7000,23,23,0,0,0
α,0.0,21,8000,23,23,0,0,0
α,0.0,21,9000,23,24,0,0,0
α,0.0,21,10000,24,24,0,0,0
