ring,w,seed,dom
24,1.05,119,α
24,1.05,120,β
24,1.05,121,β
24,1.05,122,α
24,1.05,123,β
24,1.05,124,α
24,1.05,125,β
24,1.05,126,α
24,1.05,127,β
24,1.05,128,α
24,1.05,129,β
24,1.05,130,β
24,1.05,131,β
24,1.05,132,β
24,1.05,133,α
24,1.05,134,β
24,1.05,135,α
24,1.05,136,α
24,1.05,137,β
24,1.05,138,α
24,1.05,139,α
24,1.05,140,α
24,1.05,141,α
24,1.05,142,α
24,1.05,143,α
24,1.05,144,β
24,1.05,145,α
24,1.05,146,α
24,1.05,147,β
24,1.05,148,α
24,1.05,149,α
24,1.05,150,β
24,1.05,151,α
24,1.05,152,β
24,1.05,153,α
24,1.05,154,α
24,1.05,155,β
24,1.05,156,β
24,1.05,157,α
24,1.05,158,β
24,1.05,159,β
24,1.05,160,α
24,1.05,161,β
24,1.05,162,β
24,1.05,163,β
24,1.05,164,β
24,1.05,165,α
24,1.05,166,α
24,1.05,167,β
24,1.05,168,α
24,1.05,169,α
24,1.05,170,β
24,1.05,171,α
24,1.05,172,β
24,1.05,173,α
24,1.05,174,β
24,1.05,175,β
24,1.05,176,α
24,1.05,177,α
24,1.05,178,α
24,1.05,179,β
24,1.05,180,β
24,1.05,181,β
24,1.05,182,β
24,1.05,183,α
24,1.05,184,α
24,1.05,185,β
24,1.05,186,α
24,1.05,187,α
24,1.05,188,α
24,1.05,189,α
24,1.05,190,α
24,1.05,191,β
24,1.05,192,α
24,1.05,193,α
24,1.05,194,β
24,1.05,195,α
24,1.05,196,α
24,1.05,197,α
24,1.05,198,α
24,1.05,199,α
24,1.05,200,α
24,1.1,1,β
24,1.1,2,α
24,1.1,3,β
24,1.1,4,β
24,1.1,5,β
24,1.1,6,β
24,1.1,7,β
24,1.1,8,β
24,1.1,9,β
24,1.1,10,β
24,1.1,11,β
24,1.1,12,β
24,1.1,13,α
24,1.1,14,β
24,1.1,15,β
24,1.1,16,α
24,1.1,17,α
24,1.1,18,β
24,1.1,19,β
24,1.1,20,β
24,1.1,21,β
24,1.1,22,β
24,1.1,23,α
24,1.1,24,β
24,1.1,25,α
24,1.1,26,β
24,1.1,27,α
24,1.1,28,β
24,1.1,29,α
24,1.1,30,β
24,1.1,31,α
24,1.1,32,α
24,1.1,33,α
24,1.1,34,α
24,1.1,35,α
24,1.1,36,α
24,1.1,37,β
24,1.1,38,β
24,1.1,39,α
24,1.1,40,β
24,1.1,41,β
24,1.1,42,α
24,1.1,43,β
24,1.1,44,β
24,1.1,45,α
24,1.1,46,β
24,1.1,47,α
24,1.1,48,β
24,1.1,49,β
24,1.1,50,α
24,1.1,51,β
24,1.1,52,α
24,1.1,53,β
24,1.1,54,β
24,1.1,55,β
24,1.1,56,β
24,1.1,57,β
24,1.1,58,α
24,1.1,59,β
24,1.1,60,β
24,1.1,61,β
24,1.1,62,α
24,1.1,63,β
24,1.1,64,α
24,1.1,65,β
24,1.1,66,β
24,1.1,67,α
24,1.1,68,β
24,1.1,69,β
24,1.1,70,α
24,1.1,71,α
24,1.1,72,β
24,1.1,73,α
24,1.1,74,β
24,1.1,75,β
24,1.1,76,β
24,1.1,77,β
24,1.1,78,β
24,1.1,79,α
24,1.1,80,β
24,1.1,81,β
24,1.1,82,α
24,1.1,83,α
24,1.1,84,α
24,1.1,85,β
24,1.1,86,β
24,1.1,87,β
24,1.1,88,β
24,1.1,89,α
24,1.1,90,α
24,1.1,91,α
24,1.1,92,α
24,1.1,93,α
24,1.1,94,β
24,1.1,95,β
24,1.1,96,α
24,1.1,97,β
24,1.1,98,α
24,1.1,99,β
24,1.1,100,α
24,1.1,101,β
24,1.1,102,α
24,1.1,103,α
24,1.1,104,β
24,1.1,105,α
24,1.1,106,β
24,1.1,107,β
24,1.1,108,α
24,1.1,109,α
24,1.1,110,β
24,1.1,111,α
24,1.1,112,β
24,1.1,113,α
24,1.1,114,α
24,1.1,115,α
24,1.1,116,α
24,1.1,117,β
24,1.1,118,β
24,1.1,119,α
24,1.1,120,β
24,1.1,121,β
24,1.1,122,α
24,1.1,123,β
24,1.1,124,β
24,1.1,125,β
24,1.1,126,α
24,1.1,127,β
24,1.1,128,α
24,1.1,129,β
24,1.1,130,β
24,1.1,131,β
24,1.1,132,β
24,1.1,133,α
24,1.1,134,β
24,1.1,135,β
24,1.1,136,α
24,1.1,137,β
24,1.1,138,α
24,1.1,139,β
24,1.1,140,β
24,1.1,141,β
24,1.1,142,β
24,1.1,143,β
24,1.1,144,β
24,1.1,145,β
24,1.1,146,α
24,1.1,147,α
24,1.1,148,β
24,1.1,149,β
24,1.1,150,α
24,1.1,151,β
24,1.1,152,α
24,1.1,153,α
24,1.1,154,α
24,1.1,155,α
24,1.1,156,β
24,1.1,157,β
24,1.1,158,β
24,1.1,159,β
24,1.1,160,β
24,1.1,161,β
24,1.1,162,β
24,1.1,163,β
24,1.1,164,β
24,1.1,165,β
24,1.1,166,β
24,1.1,167,α
24,1.1,168,α
24,1.1,169,β
24,1.1,170,β
24,1.1,171,α
24,1.1,172,β
24,1.1,173,β
24,1.1,174,α
24,1.1,175,α
24,1.1,176,α
24,1.1,177,β
24,1.1,178,β
24,1.1,179,β
24,1.1,180,β
24,1.1,181,β
24,1.1,182,α
24,1.1,183,α
24,1.1,184,β
24,1.1,185,α
24,1.1,186,α
24,1.1,187,β
24,1.1,188,α
24,1.1,189,α
24,1.1,190,α
24,1.1,191,β
24,1.1,192,β
24,1.1,193,α
24,1.1,194,α
24,1.1,195,α
24,1.1,196,β
24,1.1,197,β
24,1.1,198,β
24,1.1,199,α
24,1.1,200,α
24,1.15,1,β
24,1.15,2,β
24,1.15,3,β
24,1.15,4,α
24,1.15,5,β
24,1.15,6,β
24,1.15,7,β
24,1.15,8,α
24,1.15,9,β
24,1.15,10,β
24,1.15,11,α
24,1.15,12,β
24,1.15,13,β
24,1.15,14,β
24,1.15,15,β
24,1.15,16,α
24,1.15,17,β
24,1.15,18,β
24,1.15,19,β
24,1.15,20,α
24,1.15,21,α
24,1.15,22,β
24,1.15,23,α
24,1.15,24,β
24,1.15,25,α
24,1.15,26,α
24,1.15,27,β
24,1.15,28,β
24,1.15,29,α
24,1.15,30,β
24,1.15,31,β
24,1.15,32,β
24,1.15,33,α
24,1.15,34,β
24,1.15,35,α
24,1.15,36,β
24,1.15,37,β
24,1.15,38,β
24,1.15,39,α
24,1.15,40,β
24,1.15,41,β
24,1.15,42,α
24,1.15,43,β
24,1.15,44,β
24,1.15,45,α
24,1.15,46,β
24,1.15,47,α
24,1.15,48,α
24,1.15,49,β
24,1.15,50,β
24,1.15,51,β
24,1.15,52,α
24,1.15,53,α
24,1.15,54,β
24,1.15,55,α
24,1.15,56,β
24,1.15,57,β
24,1.15,58,β
24,1.15,59,β
24,1.15,60,α
24,1.15,61,β
24,1.15,62,α
24,1.15,63,β
24,1.15,64,α
24,1.15,65,β
24,1.15,66,α
24,1.15,67,α
24,1.15,68,β
24,1.15,69,β
24,1.15,70,β
24,1.15,71,α
24,1.15,72,β
24,1.15,73,α
24,1.15,74,α
24,1.15,75,β
24,1.15,76,β
24,1.15,77,β
24,1.15,78,β
24,1.15,79,α
24,1.15,80,β
24,1.15,81,β
24,1.15,82,α
24,1.15,83,β
24,1.15,84,β
24,1.15,85,α
24,1.15,86,β
24,1.15,87,β
24,1.15,88,β
24,1.15,89,α
24,1.15,90,α
24,1.15,91,α
24,1.15,92,α
24,1.15,93,β
24,1.15,94,β
24,1.15,95,β
24,1.15,96,α
24,1.15,97,β
24,1.15,98,β
24,1.15,99,β
24,1.15,100,β
24,1.15,101,β
24,1.15,102,β
24,1.15,103,α
24,1.15,104,β
24,1.15,105,α
24,1.15,106,β
24,1.15,107,β
24,1.15,108,α
24,1.15,109,α
24,1.15,110,β
24,1.15,111,β
24,1.15,112,α
24,1.15,113,β
24,1.15,114,β
24,1.15,115,β
24,1.15,116,α
24,1.15,117,β
