glyph,arm,seed,pre_cls,pre_p,outcome,exact
α,gated,145,FIXED,1,REPAIR,True
α,gated,146,FIXED,1,REPAIR,True
α,gated,147,FIXED,1,REPAIR,True
α,gated,148,FIXED,1,REPAIR,True
α,gated,149,FIXED,1,REPAIR,True
α,gated,150,FIXED,1,REPAIR,True
α,gated,151,FIXED,1,REPAIR,True
α,gated,152,FIXED,1,REPAIR,True
α,gated,153,FIXED,1,REPAIR,True
α,gated,154,FIXED,1,REPAIR,True
α,gated,155,FIXED,1,REPAIR,True
α,gated,156,FIXED,1,REPAIR,True
α,gated,157,FIXED,1,REPAIR,True
α,gated,158,FIXED,1,REPAIR,True
α,gated,159,FIXED,1,REPAIR,True
α,gated,160,FIXED,1,REPAIR,True
α,gated,161,FIXED,1,REPAIR,True
α,gated,162,FIXED,1,REPAIR,True
α,gated,163,FIXED,1,REPAIR,True
α,gated,164,FIXED,1,REPAIR,True
α,gated,165,FIXED,1,REPAIR,True
α,gated,166,FIXED,1,REPAIR,True
α,gated,167,FIXED,1,REPAIR,True
α,gated,168,FIXED,1,REPAIR,True
α,gated,169,FIXED,1,REPAIR,True
α,gated,170,FIXED,1,REPAIR,True
α,gated,171,FIXED,1,REPAIR,True
α,gated,172,FIXED,1,REPAIR,True
α,gated,173,FIXED,1,REPAIR,True
α,gated,174,FIXED,1,REPAIR,True
α,gated,175,FIXED,1,REPAIR,True
α,gated,176,FIXED,1,REPAIR,True
α,gated,177,FIXED,1,REPAIR,True
α,gated,178,FIXED,1,REPAIR,True
α,gated,179,FIXED,1,REPAIR,True
α,gated,180,FIXED,1,REPAIR,True
α,gated,181,FIXED,1,REPAIR,True
α,gated,182,FIXED,1,REPAIR,True
α,gated,183,FIXED,1,REPAIR,True
α,gated,184,FIXED,1,REPAIR,True
α,gated,185,FIXED,1,REPAIR,True
α,gated,186,FIXED,1,REPAIR,True
α,gated,187,FIXED,1,REPAIR,True
α,gated,188,FIXED,1,REPAIR,True
α,gated,189,FIXED,1,REPAIR,True
α,gated,190,FIXED,1,REPAIR,True
α,gated,191,FIXED,1,REPAIR,True
α,gated,192,FIXED,1,REPAIR,True
α,gated,193,FIXED,1,REPAIR,True
α,gated,194,FIXED,1,REPAIR,True
α,gated,195,FIXED,1,REPAIR,True
α,gated,196,FIXED,1,REPAIR,True
α,gated,197,FIXED,1,REPAIR,True
α,gated,198,FIXED,1,REPAIR,True
α,gated,199,FIXED,1,REPAIR,True
α,gated,200,FIXED,1,REPAIR,True
α,plain,1,FIXED,1,REPAIR,True
α,plain,2,FIXED,1,REPAIR,True
α,plain,3,FIXED,1,REPAIR,True
α,plain,4,FIXED,1,REPAIR,True
α,plain,5,FIXED,1,REPAIR,True
α,plain,6,FIXED,1,REPAIR,True
α,plain,7,FIXED,1,REPAIR,True
α,plain,8,FIXED,1,REPAIR,True
α,plain,9,FIXED,1,REPAIR,True
α,plain,10,FIXED,1,REPAIR,True
α,plain,11,FIXED,1,REPAIR,True
α,plain,12,FIXED,1,REPAIR,True
α,plain,13,FIXED,1,REPAIR,True
α,plain,14,FIXED,1,REPAIR,True
α,plain,15,FIXED,1,REPAIR,True
α,plain,16,FIXED,1,REPAIR,True
