arm,seed,rescued,alive,gates_a,gates_m,qmarks,copiers,first_mu,events,exact
nowound,7,False,24,24,0,0,0,-1,2574,True
nowound,8,False,24,24,0,0,0,-1,1847,True
nowound,9,False,24,24,0,0,0,-1,2134,True
nowound,10,False,24,24,0,0,0,-1,2252,True
nowound,11,False,24,24,0,0,0,-1,2368,True
nowound,12,False,24,24,0,0,0,-1,2366,True
nowound,13,False,24,24,0,0,0,-1,1764,True
nowound,14,False,24,24,0,0,0,-1,1787,True
nowound,15,False,24,24,0,0,0,-1,2003,True
nowound,16,False,24,24,0,0,0,-1,2602,True
nowound,17,False,24,24,0,0,0,-1,2080,True
nowound,18,False,24,24,0,0,0,-1,2152,True
nowound,19,False,24,24,0,0,0,-1,2447,True
nowound,20,False,24,24,0,0,0,-1,2077,True
nowound,21,False,24,24,0,0,0,-1,2223,True
nowound,22,False,24,24,0,0,0,-1,2834,True
nowound,23,False,24,24,0,0,0,-1,2657,True
nowound,24,False,24,24,0,0,0,-1,2045,True
nowound,25,False,24,24,0,0,0,-1,1805,True
nowound,26,False,24,24,0,0,0,-1,2474,True
nowound,27,False,24,24,0,0,0,-1,2743,True
nowound,28,False,24,24,0,0,0,-1,2128,True
nowound,29,False,24,24,0,0,0,-1,1698,True
nowound,30,False,24,24,0,0,0,-1,2202,True
nowound,31,False,24,24,0,0,0,-1,2383,True
nowound,32,False,24,24,0,0,0,-1,1971,True
nowound,33,False,24,24,0,0,0,-1,2009,True
nowound,34,False,24,24,0,0,0,-1,1901,True
nowound,35,False,24,24,0,0,0,-1,1830,True
nowound,36,False,24,24,0,0,0,-1,2285,True
nowound,37,False,24,24,0,0,0,-1,1850,True
nowound,38,False,24,24,0,0,0,-1,2218,True
nowound,39,False,24,24,0,0,0,-1,1951,True
nowound,40,False,24,24,0,0,0,-1,2310,True
nowound,41,False,24,24,0,0,0,-1,2246,True
nowound,42,False,24,24,0,0,0,-1,2053,True
nowound,43,False,24,24,0,0,0,-1,2164,True
nowound,44,False,24,24,0,0,0,-1,2133,True
nowound,45,False,24,24,0,0,0,-1,1775,True
nowound,46,False,24,24,0,0,0,-1,2309,True
nowound,47,False,24,24,0,0,0,-1,1948,True
nowound,48,False,24,24,0,0,0,-1,1959,True
nowound,49,False,24,24,0,0,0,-1,1937,True
nowound,50,False,24,24,0,0,0,-1,2591,True
nowound,51,False,24,24,0,0,0,-1,2025,True
nowound,52,False,24,24,0,0,0,-1,1844,True
nowound,53,False,24,24,0,0,0,-1,2148,True
nowound,54,False,24,24,0,0,0,-1,2096,True
nowound,55,False,24,24,0,0,0,-1,2116,True
nowound,56,False,24,24,0,0,0,-1,2272,True
nowound,57,False,24,24,0,0,0,-1,2054,True
nowound,58,False,24,24,0,0,0,-1,2419,True
nowound,59,False,24,24,0,0,0,-1,1818,True
nowound,60,False,24,24,0,0,0,-1,2152,True
nowound,61,False,24,24,0,0,0,-1,2282,True
nowound,62,False,24,24,0,0,0,-1,1929,True
nowound,63,False,24,24,0,0,0,-1,2287,True
nowound,64,False,24,24,0,0,0,-1,2082,True
nowound,65,False,24,24,0,0,0,-1,1955,True
nowound,66,False,24,24,0,0,0,-1,2470,True
nowound,67,False,24,24,0,0,0,-1,2145,True
nowound,68,False,24,24,0,0,0,-1,2152,True
nowound,69,False,24,24,0,0,0,-1,1951,True
nowound,70,False,24,24,0,0,0,-1,1958,True
nowound,71,False,24,24,0,0,0,-1,1880,True
nowound,72,False,24,24,0,0,0,-1,2064,True
nowound,73,False,24,24,0,0,0,-1,2172,True
nowound,74,False,24,24,0,0,0,-1,2116,True
nowound,75,False,24,24,0,0,0,-1,2639,True
nowound,76,False,24,24,0,0,0,-1,2280,True
nowound,77,False,24,24,0,0,0,-1,2736,True
nowound,78,False,24,24,0,0,0,-1,1894,True
nowound,79,False,24,24,0,0,0,-1,2180,True
nowound,80,False,24,24,0,0,0,-1,2160,True
nowound,81,False,24,24,0,0,0,-1,2332,True
nowound,82,False,24,24,0,0,0,-1,2556,True
nowound,83,False,24,24,0,0,0,-1,2093,True
nowound,84,False,24,24,0,0,0,-1,1908,True
nowound,85,False,24,24,0,0,0,-1,2003,True
nowound,86,False,24,24,0,0,0,-1,2155,True
