start,eps,seed,exact,alive,winner,law_ext,tape_ext,n_applies,occupancy
α,0.01,23,True,24,COEX,,,11000,α:19;β:2;γ:3;δ:0
α,0.01,24,True,23,COEX,,,11000,α:15;β:7;γ:0;δ:0
α,0.01,25,True,23,COEX,,,11000,α:9;β:2;γ:12;δ:0
α,0.01,26,True,23,COEX,,,11000,α:10;β:0;γ:14;δ:0
α,0.01,27,True,23,COEX,,,11000,α:13;β:0;γ:10;δ:0
α,0.01,28,True,23,COEX,,,11000,α:19;β:5;γ:0;δ:0
α,0.01,29,True,24,α,,,10950,α:22;β:0;γ:0;δ:0
α,0.01,30,True,23,COEX,,,11000,α:21;β:0;γ:3;δ:0
α,0.01,31,True,0,DEAD,3466,3465,3466,α:0;β:0;γ:0;δ:0
α,0.01,32,True,23,COEX,,,11000,α:15;β:1;γ:8;δ:0
α,0.01,33,True,0,DEAD,7862,7861,7862,α:0;β:0;γ:0;δ:0
α,0.01,34,True,23,COEX,,,11000,α:23;β:0;γ:1;δ:0
α,0.01,35,True,0,DEAD,5106,5105,5106,α:0;β:0;γ:0;δ:0
α,0.01,36,True,23,COEX,,,11000,α:22;β:1;γ:0;δ:1
α,0.01,37,True,23,COEX,,,11000,α:14;β:9;γ:0;δ:0
α,0.01,38,True,24,COEX,,,11000,α:19;β:3;γ:1;δ:0
α,0.01,39,True,23,COEX,,,11000,α:20;β:3;γ:0;δ:0
α,0.01,40,True,23,COEX,,,11000,α:19;β:0;γ:5;δ:0
α,0.01,41,True,0,DEAD,1798,1797,1798,α:0;β:0;γ:0;δ:0
α,0.01,42,True,24,COEX,,,11000,α:20;β:2;γ:0;δ:0
α,0.01,43,True,0,DEAD,6525,6524,6525,α:0;β:0;γ:0;δ:0
α,0.01,44,True,0,DEAD,7423,7424,7424,α:0;β:0;γ:0;δ:0
α,0.01,45,True,24,COEX,,,11000,α:3;β:21;γ:0;δ:0
α,0.01,46,True,24,COEX,,,11000,α:17;β:0;γ:5;δ:0
α,0.01,47,True,24,COEX,,,11000,α:12;β:8;γ:2;δ:1
α,0.01,48,True,23,COEX,,,11000,α:16;β:0;γ:7;δ:0
α,0.01,49,True,0,DEAD,6886,6885,6886,α:0;β:0;γ:0;δ:0
α,0.01,50,True,24,COEX,,,11000,α:18;β:6;γ:0;δ:0
γ,0.0,1,True,0,DEAD,437,436,437,α:0;β:0;γ:0;δ:0
γ,0.0,2,True,0,DEAD,1031,1030,1031,α:0;β:0;γ:0;δ:0
γ,0.0,3,True,0,DEAD,545,544,545,α:0;β:0;γ:0;δ:0
γ,0.0,4,True,0,DEAD,680,679,680,α:0;β:0;γ:0;δ:0
γ,0.0,5,True,0,DEAD,626,625,626,α:0;β:0;γ:0;δ:0
γ,0.0,6,True,0,DEAD,1058,1057,1058,α:0;β:0;γ:0;δ:0
γ,0.0,7,True,0,DEAD,356,355,356,α:0;β:0;γ:0;δ:0
γ,0.0,8,True,0,DEAD,383,382,383,α:0;β:0;γ:0;δ:0
γ,0.0,9,True,0,DEAD,518,517,518,α:0;β:0;γ:0;δ:0
γ,0.0,10,True,0,DEAD,356,355,356,α:0;β:0;γ:0;δ:0
γ,0.0,11,True,0,DEAD,464,463,464,α:0;β:0;γ:0;δ:0
γ,0.0,12,True,0,DEAD,572,571,572,α:0;β:0;γ:0;δ:0
γ,0.0,13,True,0,DEAD,329,328,329,α:0;β:0;γ:0;δ:0
γ,0.0,14,True,0,DEAD,545,544,545,α:0;β:0;γ:0;δ:0
γ,0.0,15,True,0,DEAD,842,841,842,α:0;β:0;γ:0;δ:0
γ,0.0,16,True,0,DEAD,572,571,572,α:0;β:0;γ:0;δ:0
γ,0.0,17,True,0,DEAD,869,868,869,α:0;β:0;γ:0;δ:0
γ,0.0,18,True,0,DEAD,383,382,383,α:0;β:0;γ:0;δ:0
γ,0.0,19,True,0,DEAD,383,382,383,α:0;β:0;γ:0;δ:0
γ,0.0,20,True,0,DEAD,518,517,518,α:0;β:0;γ:0;δ:0
γ,0.0,21,True,0,DEAD,356,355,356,α:0;β:0;γ:0;δ:0
γ,0.0,22,True,0,DEAD,491,490,491,α:0;β:0;γ:0;δ:0
γ,0.0,23,True,0,DEAD,734,733,734,α:0;β:0;γ:0;δ:0
γ,0.0,24,True,0,DEAD,680,679,680,α:0;β:0;γ:0;δ:0
γ,0.0,25,True,0,DEAD,761,760,761,α:0;β:0;γ:0;δ:0
γ,0.0,26,True,0,DEAD,518,517,518,α:0;β:0;γ:0;δ:0
γ,0.0,27,True,0,DEAD,383,382,383,α:0;β:0;γ:0;δ:0
γ,0.0,28,True,0,DEAD,356,355,356,α:0;β:0;γ:0;δ:0
γ,0.0,29,True,0,DEAD,788,787,788,α:0;β:0;γ:0;δ:0
γ,0.0,30,True,0,DEAD,437,436,437,α:0;β:0;γ:0;δ:0
γ,0.0,31,True,0,DEAD,1490,1489,1490,α:0;β:0;γ:0;δ:0
γ,0.0,32,True,0,DEAD,302,301,302,α:0;β:0;γ:0;δ:0
γ,0.0,33,True,0,DEAD,572,571,572,α:0;β:0;γ:0;δ:0
γ,0.0,34,True,0,DEAD,329,328,329,α:0;β:0;γ:0;δ:0
γ,0.0,35,True,0,DEAD,302,301,302,α:0;β:0;γ:0;δ:0
γ,0.0,36,True,0,DEAD,383,382,383,α:0;β:0;γ:0;δ:0
γ,0.0,37,True,0,DEAD,788,787,788,α:0;β:0;γ:0;δ:0
γ,0.0,38,True,0,DEAD,410,409,410,α:0;β:0;γ:0;δ:0
γ,0.0,39,True,0,DEAD,356,355,356,α:0;β:0;γ:0;δ:0
γ,0.0,40,True,0,DEAD,869,868,869,α:0;β:0;γ:0;δ:0
γ,0.0,41,True,0,DEAD,491,490,491,α:0;β:0;γ:0;δ:0
γ,0.0,42,True,0,DEAD,950,949,950,α:0;β:0;γ:0;δ:0
γ,0.0,43,True,0,DEAD,842,841,842,α:0;β:0;γ:0;δ:0
γ,0.0,44,True,0,DEAD,464,463,464,α:0;β:0;γ:0;δ:0
γ,0.0,45,True,0,DEAD,275,274,275,α:0;β:0;γ:0;δ:0
γ,0.0,46,True,0,DEAD,1166,1165,1166,α:0;β:0;γ:0;δ:0
γ,0.0,47,True,0,DEAD,300,301,301,α:0;β:0;γ:0;δ:0
γ,0.0,48,True,0,DEAD,518,517,518,α:0;β:0;γ:0;δ:0
γ,0.0,49,True,0,DEAD,545,544,545,α:0;β:0;γ:0;δ:0
γ,0.0,50,True,0,DEAD,302,301,302,α:0;β:0;γ:0;δ:0
γ,0.01,1,True,0,DEAD,698,697,698,α:0;β:0;γ:0;δ:0
γ,0.01,2,True,23,COEX,,,11000,α:13;β:10;γ:0;δ:0
γ,0.01,3,True,24,COEX,,,11000,α:21;β:0;γ:2;δ:1
γ,0.01,4,True,1,γ,,,10550,α:0;β:0;γ:1;δ:0
γ,0.01,5,True,24,COEX,,,11000,α:14;β:4;γ:6;δ:0
γ,0.01,6,True,24,α,,,11000,α:24;β:0;γ:0;δ:0
γ,0.01,7,True,0,DEAD,4855,4856,4856,α:0;β:0;γ:0;δ:0
γ,0.01,8,True,0,DEAD,5588,5587,5588,α:0;β:0;γ:0;δ:0
γ,0.01,9,True,24,COEX,,,11000,α:15;β:3;γ:5;δ:0
γ,0.01,10,True,24,COEX,,,11000,α:17;β:0;γ:6;δ:1
γ,0.01,11,True,0,DEAD,475,474,475,α:0;β:0;γ:0;δ:0
γ,0.01,12,True,23,COEX,,,11000,α:16;β:0;γ:8;δ:0
γ,0.01,13,True,24,γ,,,11000,α:0;β:0;γ:24;δ:0
γ,0.01,14,True,24,COEX,,,11000,α:20;β:3;γ:0;δ:0
γ,0.01,15,True,5,γ,,,10600,α:0;β:0;γ:5;δ:0
γ,0.01,16,True,0,DEAD,7331,7332,7332,α:0;β:0;γ:0;δ:0
γ,0.01,17,True,24,COEX,,,11000,α:9;β:11;γ:2;δ:0
γ,0.01,18,True,0,DEAD,3459,3458,3459,α:0;β:0;γ:0;δ:0
γ,0.01,19,True,23,COEX,,,11000,α:11;β:3;γ:7;δ:3
γ,0.01,20,True,0,DEAD,5363,5362,5363,α:0;β:0;γ:0;δ:0
γ,0.01,21,True,0,DEAD,6619,6617,6619,α:0;β:0;γ:0;δ:0
γ,0.01,22,True,0,DEAD,598,597,598,α:0;β:0;γ:0;δ:0
γ,0.01,23,True,0,DEAD,373,372,373,α:0;β:0;γ:0;δ:0
γ,0.01,24,True,23,COEX,,,11000,α:15;β:7;γ:0;δ:0
γ,0.01,25,True,23,COEX,,,11000,α:9;β:2;γ:12;δ:0
γ,0.01,26,True,24,COEX,,,11000,α:15;β:9;γ:0;δ:0
γ,0.01,27,True,23,COEX,,,11000,α:13;β:0;γ:10;δ:0
γ,0.01,28,True,23,COEX,,,11000,α:19;β:5;γ:0;δ:0
γ,0.01,29,True,24,α,,,10950,α:22;β:0;γ:0;δ:0
γ,0.01,30,True,0,DEAD,398,397,398,α:0;β:0;γ:0;δ:0
γ,0.01,31,True,24,COEX,,,11000,α:21;β:0;γ:2;δ:0
γ,0.01,32,True,23,COEX,,,11000,α:15;β:1;γ:8;δ:0
γ,0.01,33,True,0,DEAD,7862,7861,7862,α:0;β:0;γ:0;δ:0
