arm,seed,dom,alive
mboost,99,β,24
mboost,100,β,24
polite,1,β,24
polite,2,β,24
polite,3,β,24
polite,4,β,24
polite,5,β,24
polite,6,β,24
polite,7,β,24
polite,8,β,24
polite,9,β,24
polite,10,β,24
polite,11,β,24
polite,12,β,24
polite,13,β,24
polite,14,β,24
polite,15,β,24
polite,16,β,24
polite,17,β,24
polite,18,β,24
polite,19,β,24
polite,20,β,24
polite,21,β,24
polite,22,β,24
polite,23,β,24
polite,24,β,24
polite,25,β,24
polite,26,β,24
polite,27,β,24
polite,28,β,24
polite,29,β,24
polite,30,β,24
polite,31,β,24
polite,32,β,24
polite,33,β,24
polite,34,β,24
polite,35,β,24
polite,36,β,24
polite,37,β,24
polite,38,β,24
polite,39,β,24
polite,40,β,24
polite,41,β,24
polite,42,β,24
polite,43,β,24
polite,44,β,24
polite,45,β,24
polite,46,β,24
polite,47,β,24
polite,48,β,24
polite,49,β,24
polite,50,β,24
polite,51,β,24
polite,52,β,24
polite,53,β,24
polite,54,β,24
polite,55,β,24
polite,56,β,24
polite,57,β,24
polite,58,β,24
polite,59,β,24
polite,60,β,24
polite,61,β,24
polite,62,β,24
polite,63,β,24
polite,64,β,24
polite,65,β,24
polite,66,β,24
polite,67,β,24
polite,68,β,24
polite,69,β,24
polite,70,β,24
polite,71,β,24
polite,72,β,24
polite,73,β,24
polite,74,β,24
polite,75,β,24
polite,76,β,24
polite,77,β,24
polite,78,β,24
polite,79,β,24
polite,80,β,24
polite,81,β,24
polite,82,β,24
polite,83,β,24
polite,84,β,24
polite,85,β,24
polite,86,β,24
polite,87,β,24
polite,88,β,24
polite,89,β,24
polite,90,β,24
polite,91,β,24
polite,92,β,24
polite,93,β,24
polite,94,β,24
polite,95,β,24
polite,96,β,24
polite,97,β,24
polite,98,β,24
polite,99,β,24
polite,100,β,24
